Name	X	Y
HBRRep1.recal.table	10	12.0
HBRRep1.recal.table	11	14.0
HBRRep1.recal.table	12	14.0
HBRRep1.recal.table	13	17.0
HBRRep1.recal.table	14	15.0
HBRRep1.recal.table	15	18.0
HBRRep1.recal.table	16	17.0
HBRRep1.recal.table	17	19.0
HBRRep1.recal.table	18	20.0
HBRRep1.recal.table	19	20.0
HBRRep1.recal.table	20	23.0
HBRRep1.recal.table	21	22.0
HBRRep1.recal.table	22	24.0
HBRRep1.recal.table	23	25.0
HBRRep1.recal.table	24	25.0
HBRRep1.recal.table	25	26.0
HBRRep1.recal.table	26	26.0
HBRRep1.recal.table	27	27.0
HBRRep1.recal.table	28	28.0
HBRRep1.recal.table	29	30.0
HBRRep1.recal.table	30	28.0
HBRRep1.recal.table	31	24.0
HBRRep1.recal.table	32	31.0
HBRRep1.recal.table	33	29.0
HBRRep1.recal.table	34	24.0
HBRRep1.recal.table	35	31.0
HBRRep1.recal.table	36	32.0
HBRRep1.recal.table	37	29.0
HBRRep1.recal.table	38	32.0
HBRRep1.recal.table	39	32.0
HBRRep1.recal.table	40	32.0
HBRRep1.recal.table	41	31.0
HBRRep1.recal.table	6	7.0
HBRRep1.recal.table	7	11.0
HBRRep1.recal.table	8	11.0
HBRRep1.recal.table	9	11.0
HBRRep3.recal.table	10	13.0
HBRRep3.recal.table	11	14.0
HBRRep3.recal.table	12	14.0
HBRRep3.recal.table	13	16.0
HBRRep3.recal.table	14	15.0
HBRRep3.recal.table	15	18.0
HBRRep3.recal.table	16	17.0
HBRRep3.recal.table	17	19.0
HBRRep3.recal.table	18	19.0
HBRRep3.recal.table	19	20.0
HBRRep3.recal.table	20	24.0
HBRRep3.recal.table	21	22.0
HBRRep3.recal.table	22	23.0
HBRRep3.recal.table	23	25.0
HBRRep3.recal.table	24	25.0
HBRRep3.recal.table	25	26.0
HBRRep3.recal.table	26	26.0
HBRRep3.recal.table	27	27.0
HBRRep3.recal.table	28	28.0
HBRRep3.recal.table	29	29.0
HBRRep3.recal.table	30	28.0
HBRRep3.recal.table	31	24.0
HBRRep3.recal.table	32	30.0
HBRRep3.recal.table	33	28.0
HBRRep3.recal.table	34	24.0
HBRRep3.recal.table	35	31.0
HBRRep3.recal.table	36	32.0
HBRRep3.recal.table	37	29.0
HBRRep3.recal.table	38	32.0
HBRRep3.recal.table	39	32.0
HBRRep3.recal.table	40	31.0
HBRRep3.recal.table	41	31.0
HBRRep3.recal.table	6	7.0
HBRRep3.recal.table	7	11.0
HBRRep3.recal.table	8	11.0
HBRRep3.recal.table	9	11.0
HBRRep2.recal.table	10	12.0
HBRRep2.recal.table	11	14.0
HBRRep2.recal.table	12	15.0
HBRRep2.recal.table	13	17.0
HBRRep2.recal.table	14	15.0
HBRRep2.recal.table	15	19.0
HBRRep2.recal.table	16	17.0
HBRRep2.recal.table	17	19.0
HBRRep2.recal.table	18	20.0
HBRRep2.recal.table	19	20.0
HBRRep2.recal.table	20	24.0
HBRRep2.recal.table	21	22.0
HBRRep2.recal.table	22	24.0
HBRRep2.recal.table	23	25.0
HBRRep2.recal.table	24	25.0
HBRRep2.recal.table	25	26.0
HBRRep2.recal.table	26	27.0
HBRRep2.recal.table	27	27.0
HBRRep2.recal.table	28	28.0
HBRRep2.recal.table	29	29.0
HBRRep2.recal.table	30	28.0
HBRRep2.recal.table	31	24.0
HBRRep2.recal.table	32	30.0
HBRRep2.recal.table	33	28.0
HBRRep2.recal.table	34	24.0
HBRRep2.recal.table	35	31.0
HBRRep2.recal.table	36	32.0
HBRRep2.recal.table	37	29.0
HBRRep2.recal.table	38	32.0
HBRRep2.recal.table	39	31.0
HBRRep2.recal.table	40	31.0
HBRRep2.recal.table	41	31.0
HBRRep2.recal.table	6	7.0
HBRRep2.recal.table	7	11.0
HBRRep2.recal.table	8	10.0
HBRRep2.recal.table	9	11.0
UHRRep1.recal.table	10	12.0
UHRRep1.recal.table	11	15.0
UHRRep1.recal.table	12	16.0
UHRRep1.recal.table	13	18.0
UHRRep1.recal.table	14	16.0
UHRRep1.recal.table	15	18.0
UHRRep1.recal.table	16	17.0
UHRRep1.recal.table	17	20.0
UHRRep1.recal.table	18	20.0
UHRRep1.recal.table	19	21.0
UHRRep1.recal.table	20	24.0
UHRRep1.recal.table	21	22.0
UHRRep1.recal.table	22	24.0
UHRRep1.recal.table	23	25.0
UHRRep1.recal.table	24	26.0
UHRRep1.recal.table	25	26.0
UHRRep1.recal.table	26	26.0
UHRRep1.recal.table	27	27.0
UHRRep1.recal.table	28	27.0
UHRRep1.recal.table	29	29.0
UHRRep1.recal.table	30	27.0
UHRRep1.recal.table	31	23.0
UHRRep1.recal.table	32	29.0
UHRRep1.recal.table	33	28.0
UHRRep1.recal.table	34	25.0
UHRRep1.recal.table	35	30.0
UHRRep1.recal.table	36	31.0
UHRRep1.recal.table	37	28.0
UHRRep1.recal.table	38	30.0
UHRRep1.recal.table	39	30.0
UHRRep1.recal.table	40	30.0
UHRRep1.recal.table	41	30.0
UHRRep1.recal.table	6	7.0
UHRRep1.recal.table	7	11.0
UHRRep1.recal.table	8	11.0
UHRRep1.recal.table	9	12.0
UHRRep3.recal.table	10	12.0
UHRRep3.recal.table	11	15.0
UHRRep3.recal.table	12	16.0
UHRRep3.recal.table	13	18.0
UHRRep3.recal.table	14	16.0
UHRRep3.recal.table	15	19.0
UHRRep3.recal.table	16	17.0
UHRRep3.recal.table	17	20.0
UHRRep3.recal.table	18	20.0
UHRRep3.recal.table	19	22.0
UHRRep3.recal.table	20	24.0
UHRRep3.recal.table	21	23.0
UHRRep3.recal.table	22	25.0
UHRRep3.recal.table	23	25.0
UHRRep3.recal.table	24	26.0
UHRRep3.recal.table	25	26.0
UHRRep3.recal.table	26	26.0
UHRRep3.recal.table	27	27.0
UHRRep3.recal.table	28	27.0
UHRRep3.recal.table	29	29.0
UHRRep3.recal.table	30	27.0
UHRRep3.recal.table	31	23.0
UHRRep3.recal.table	32	30.0
UHRRep3.recal.table	33	28.0
UHRRep3.recal.table	34	24.0
UHRRep3.recal.table	35	30.0
UHRRep3.recal.table	36	31.0
UHRRep3.recal.table	37	28.0
UHRRep3.recal.table	38	31.0
UHRRep3.recal.table	39	30.0
UHRRep3.recal.table	40	30.0
UHRRep3.recal.table	41	30.0
UHRRep3.recal.table	6	8.0
UHRRep3.recal.table	7	11.0
UHRRep3.recal.table	8	11.0
UHRRep3.recal.table	9	12.0
UHRRep2.recal.table	10	12.0
UHRRep2.recal.table	11	15.0
UHRRep2.recal.table	12	15.0
UHRRep2.recal.table	13	18.0
UHRRep2.recal.table	14	16.0
UHRRep2.recal.table	15	18.0
UHRRep2.recal.table	16	17.0
UHRRep2.recal.table	17	19.0
UHRRep2.recal.table	18	21.0
UHRRep2.recal.table	19	21.0
UHRRep2.recal.table	20	24.0
UHRRep2.recal.table	21	22.0
UHRRep2.recal.table	22	25.0
UHRRep2.recal.table	23	25.0
UHRRep2.recal.table	24	26.0
UHRRep2.recal.table	25	26.0
UHRRep2.recal.table	26	27.0
UHRRep2.recal.table	27	26.0
UHRRep2.recal.table	28	28.0
UHRRep2.recal.table	29	29.0
UHRRep2.recal.table	30	28.0
UHRRep2.recal.table	31	24.0
UHRRep2.recal.table	32	30.0
UHRRep2.recal.table	33	29.0
UHRRep2.recal.table	34	26.0
UHRRep2.recal.table	35	31.0
UHRRep2.recal.table	36	31.0
UHRRep2.recal.table	37	29.0
UHRRep2.recal.table	38	31.0
UHRRep2.recal.table	39	31.0
UHRRep2.recal.table	40	32.0
UHRRep2.recal.table	41	31.0
UHRRep2.recal.table	6	7.0
UHRRep2.recal.table	7	11.0
UHRRep2.recal.table	8	11.0
UHRRep2.recal.table	9	12.0
