Sample	fastqc_raw-percent_duplicates	fastqc_raw-percent_gc	fastqc_raw-avg_sequence_length	fastqc_raw-median_sequence_length	fastqc_raw-percent_fails	fastqc_raw-total_sequences	fastp_read_preprocessing-pct_duplication	fastp_read_preprocessing-after_filtering_q30_rate	fastp_read_preprocessing-after_filtering_q30_bases	fastp_read_preprocessing-filtering_result_passed_filter_reads	fastp_read_preprocessing-after_filtering_gc_content	fastp_read_preprocessing-pct_surviving	gatk4_markduplicates_mark_duplicates-PERCENT_DUPLICATION	samtools_flagstat_stats-error_rate	samtools_flagstat_stats-non_primary_alignments	samtools_flagstat_stats-reads_mapped	samtools_flagstat_stats-reads_mapped_percent	samtools_flagstat_stats-reads_properly_paired_percent	samtools_flagstat_stats-reads_MQ0_percent	samtools_flagstat_stats-raw_total_sequences	mosdepth-1_x_pc	mosdepth-5_x_pc	mosdepth-10_x_pc	mosdepth-30_x_pc	mosdepth-50_x_pc	mosdepth-median_coverage	bcftools_stats-number_of_records	bcftools_stats-number_of_SNPs	bcftools_stats-number_of_indels	bcftools_stats-tstv	bcftools_stats-number_of_MNPs	bcftools_stats-number_of_multiallelic_sites	bcftools_stats-number_of_multiallelic_SNP_sites
HBRRep1							10.549	95.1408	22.362648999999998	0.23504799999999998	50.2608	99.11698476018587																					
HBRRep1.haplotypecaller.filtered																											3282	2103	1179	2.54	0	8	1
HBRRep1.md													6.1521	0.2535945	0.0	0.15087599999999998	64.18944215649569	59.344474320138865	5.607790749123583	0.23504799999999998	0.0	0.0	0.0	0.0	0.0	0							
HBRRep1_1	42.68581693668773	50.0	100.0	100	9.090909090909092	0.118571																											
HBRRep1_2	43.55955503453627	50.0	100.0	100	9.090909090909092	0.118571																											
HBRRep2							11.9958	95.0133	27.251908999999998	0.28682199999999997	50.5722	99.02296548962202																					
HBRRep2.haplotypecaller.filtered																											3750	2514	1236	2.65	0	11	0
HBRRep2.md													7.272	0.2579175	0.0	0.18476399999999998	64.41765276024852	59.66348466993466	5.68296713641213	0.28682199999999997	0.0	0.0	0.0	0.0	0.0	0							
HBRRep2_1	44.349080966124866	50.0	100.0	100	9.090909090909092	0.14482599999999998																											
HBRRep2_2	45.194923563448555	50.0	100.0	100	0.0	0.14482599999999998																											
HBRRep3							11.072799999999999	95.0534	24.425107999999998	0.25696199999999997	50.322599999999994	98.99449863621655																					
HBRRep3.haplotypecaller.filtered																											3579	2363	1216	2.47	0	8	1
HBRRep3.md													6.4835	0.25737770000000004	0.0	0.165158	64.27331667717405	59.513858080183056	5.612113853410232	0.25696199999999997	0.0	0.0	0.0	0.0	0.0	0							
HBRRep3_1	43.329018538209056	50.0	100.0	100	9.090909090909092	0.12978599999999998																											
HBRRep3_2	44.05791071456089	50.0	100.0	100	0.0	0.12978599999999998																											
UHRRep1							14.5511	92.05680000000001	41.083830999999996	0.44628799999999996	49.384699999999995	98.13186039966226																					
UHRRep1.haplotypecaller.filtered																											4011	2631	1380	2.43	0	6	0
UHRRep1.md													10.2503	0.3459258	0.0	0.263915	59.135580611622984	53.789033090739615	4.837907360269602	0.44628799999999996	0.0	0.0	0.0	0.0	0.0	0							
UHRRep1_1	44.53446790661649	49.0	100.0	100	9.090909090909092	0.22739199999999998																											
UHRRep1_2	45.25801767783306	49.0	100.0	100	0.0	0.22739199999999998																											
UHRRep2							12.4805	91.9753	29.292676	0.318484	48.844300000000004	98.07172374717472																					
UHRRep2.haplotypecaller.filtered																											3782	2501	1281	2.29	0	9	0
UHRRep2.md													9.1914	0.3138323	0.0	0.206476	64.83088632395976	60.441340852287716	6.129036309516334	0.318484	0.0	0.0	0.0	0.0	0.0	0							
UHRRep2_1	46.779329075646814	48.0	100.0	100	9.090909090909092	0.162373																											
UHRRep2_2	47.404433003023904	49.0	100.0	100	9.090909090909092	0.162373																											
UHRRep3							13.758500000000002	92.1046	33.559402999999996	0.36436199999999996	49.4159	98.24149868961723																					
UHRRep3.haplotypecaller.filtered																											3931	2543	1388	2.44	0	6	0
UHRRep3.md													10.6384	0.3398081	0.0	0.22392499999999999	61.45673807916303	56.69252007618797	6.008310416563747	0.36436199999999996	0.0	0.0	0.0	0.0	0.0	0							
UHRRep3_1	51.462451871744264	49.0	100.0	100	18.181818181818183	0.185442																											
UHRRep3_2	52.71998792075151	49.0	100.0	100	9.090909090909092	0.185442																											
