Module	Section	Sample Name	Source
FastQC (raw)	all_sections	UHRRep1_1	/home/ash022/sarek/work/f6/6e0ed7f882f36f7af884e461cb25c8/13/UHRRep1_1_fastqc.zip
FastQC (raw)	all_sections	HBRRep3_2	/home/ash022/sarek/work/f6/6e0ed7f882f36f7af884e461cb25c8/4/HBRRep3_2_fastqc.zip
FastQC (raw)	all_sections	HBRRep1_2	/home/ash022/sarek/work/f6/6e0ed7f882f36f7af884e461cb25c8/10/HBRRep1_2_fastqc.zip
FastQC (raw)	all_sections	UHRRep1_2	/home/ash022/sarek/work/f6/6e0ed7f882f36f7af884e461cb25c8/14/UHRRep1_2_fastqc.zip
FastQC (raw)	all_sections	HBRRep2_1	/home/ash022/sarek/work/f6/6e0ed7f882f36f7af884e461cb25c8/11/HBRRep2_1_fastqc.zip
FastQC (raw)	all_sections	HBRRep1_1	/home/ash022/sarek/work/f6/6e0ed7f882f36f7af884e461cb25c8/9/HBRRep1_1_fastqc.zip
FastQC (raw)	all_sections	UHRRep3_1	/home/ash022/sarek/work/f6/6e0ed7f882f36f7af884e461cb25c8/5/UHRRep3_1_fastqc.zip
FastQC (raw)	all_sections	UHRRep3_2	/home/ash022/sarek/work/f6/6e0ed7f882f36f7af884e461cb25c8/6/UHRRep3_2_fastqc.zip
FastQC (raw)	all_sections	HBRRep3_1	/home/ash022/sarek/work/f6/6e0ed7f882f36f7af884e461cb25c8/3/HBRRep3_1_fastqc.zip
FastQC (raw)	all_sections	UHRRep2_2	/home/ash022/sarek/work/f6/6e0ed7f882f36f7af884e461cb25c8/8/UHRRep2_2_fastqc.zip
FastQC (raw)	all_sections	UHRRep2_1	/home/ash022/sarek/work/f6/6e0ed7f882f36f7af884e461cb25c8/7/UHRRep2_1_fastqc.zip
FastQC (raw)	all_sections	HBRRep2_2	/home/ash022/sarek/work/f6/6e0ed7f882f36f7af884e461cb25c8/12/HBRRep2_2_fastqc.zip
FastP (Read preprocessing)	all_sections	UHRRep1	/home/ash022/sarek/work/f6/6e0ed7f882f36f7af884e461cb25c8/24/UHRRep1.fastp.json
FastP (Read preprocessing)	all_sections	HBRRep3	/home/ash022/sarek/work/f6/6e0ed7f882f36f7af884e461cb25c8/25/HBRRep3.fastp.json
FastP (Read preprocessing)	all_sections	UHRRep2	/home/ash022/sarek/work/f6/6e0ed7f882f36f7af884e461cb25c8/23/UHRRep2.fastp.json
FastP (Read preprocessing)	all_sections	HBRRep1	/home/ash022/sarek/work/f6/6e0ed7f882f36f7af884e461cb25c8/26/HBRRep1.fastp.json
FastP (Read preprocessing)	all_sections	UHRRep3	/home/ash022/sarek/work/f6/6e0ed7f882f36f7af884e461cb25c8/21/UHRRep3.fastp.json
FastP (Read preprocessing)	all_sections	HBRRep2	/home/ash022/sarek/work/f6/6e0ed7f882f36f7af884e461cb25c8/22/HBRRep2.fastp.json
GATK4 MarkDuplicates	DuplicationMetrics	UHRRep3.md	/home/ash022/sarek/work/f6/6e0ed7f882f36f7af884e461cb25c8/28/UHRRep3.md.cram.metrics
GATK4 MarkDuplicates	DuplicationMetrics	UHRRep1.md	/home/ash022/sarek/work/f6/6e0ed7f882f36f7af884e461cb25c8/33/UHRRep1.md.cram.metrics
GATK4 MarkDuplicates	DuplicationMetrics	HBRRep1.md	/home/ash022/sarek/work/f6/6e0ed7f882f36f7af884e461cb25c8/38/HBRRep1.md.cram.metrics
GATK4 MarkDuplicates	DuplicationMetrics	HBRRep3.md	/home/ash022/sarek/work/f6/6e0ed7f882f36f7af884e461cb25c8/37/HBRRep3.md.cram.metrics
GATK4 MarkDuplicates	DuplicationMetrics	UHRRep2.md	/home/ash022/sarek/work/f6/6e0ed7f882f36f7af884e461cb25c8/32/UHRRep2.md.cram.metrics
