Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
HBRRep1_1	0.3748480345805755	6.808895042550317
HBRRep1_2	0.4491422396325813	4.14696744563015
HBRRep2_1	0.39057099405502554	7.451265035255081
HBRRep2_2	0.5004838932669708	4.849993087239043
HBRRep3_1	0.34251330710483685	7.01072282650621
HBRRep3_2	0.42428450204427987	4.499730000771426
UHRRep1_1	0.2718420936687668	2.9307838040269636
UHRRep1_2	0.35467242366832624	1.85751420892629
UHRRep2_1	0.5160302704838092	6.6108662642124365
UHRRep2_2	0.41973754058491664	3.548634001209832
UHRRep3_1	0.5287718881315286	5.987706998800947
UHRRep3_2	0.3791602303047325	3.320082529463235
