Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
HBRRep1_1	(1, 32.93000303930839)	(2, 33.12639301634473)	(3, 33.1862589490747)	(4, 36.50439855464001)	(5, 36.43456200189112)	(6, 36.4102644198298)	(7, 36.41386937727948)	(8, 36.414080440362014)	(9, 38.23619647440227)	(10, 38.22352002566527)	(12, 38.20953498581656)	(14, 39.76089085505876)	(16, 39.73400986086722)	(18, 39.71052698230447)	(20, 39.67836801530725)	(22, 39.620958073721354)	(24, 39.56607740448328)	(26, 39.481834185570975)	(28, 39.386338497910245)	(30, 39.2841569593207)	(32, 39.179378133681084)	(34, 39.04956688277001)	(36, 38.88289728774379)	(38, 38.738427410528885)	(40, 38.70102693258918)	(42, 38.705399989469754)	(44, 38.69901435303508)	(46, 38.54622485029675)	(48, 38.43324782703621)	(50, 38.22009975300479)	(52, 38.00985240270475)	(54, 37.78426912574322)	(56, 37.54163909066511)	(58, 37.24968086958678)	(60, 36.9471057938014)	(62, 36.61569992647738)	(64, 36.312715980843855)	(66, 35.99906537295091)	(68, 35.74908262038686)	(70, 35.504844137782)	(72, 35.206680476505795)	(74, 34.96032918668435)	(76, 33.458654736294704)	(78, 34.40200176261694)	(80, 34.397986278127206)	(82, 34.24205631610879)	(84, 34.06883003297298)	(86, 33.956386263690874)	(88, 33.83129690719605)	(90, 33.71451867377809)	(92, 33.70467496284097)	(94, 33.658570226639405)	(96, 33.63372848945754)	(98, 33.67084216977736)	(100, 33.74999656002752)
HBRRep1_2	(1, 32.738813656625695)	(2, 32.84956267729299)	(3, 32.87017931919492)	(4, 36.251536539240846)	(5, 36.228446238011614)	(6, 36.23976766175875)	(7, 36.2728707956234)	(8, 36.26242739429961)	(9, 38.05214102390923)	(10, 38.01713410104012)	(12, 37.998788497906254)	(14, 39.51403147372687)	(16, 39.45132463190598)	(18, 39.416165743617455)	(20, 39.37928396076708)	(22, 39.30090868483845)	(24, 39.24152224193982)	(26, 39.175988775602356)	(28, 39.075290355267754)	(30, 38.969249194049425)	(32, 38.86822455423756)	(34, 38.78806149895132)	(36, 38.6416209784408)	(38, 38.522402409561835)	(40, 38.34383725554909)	(42, 38.14561375413929)	(44, 37.998688638680655)	(46, 38.15262470138447)	(48, 38.201767063899496)	(50, 36.80025206462679)	(52, 36.920354289259066)	(54, 37.48733264842557)	(56, 37.33769076306215)	(58, 37.098224147261476)	(60, 36.80663415305283)	(62, 36.49143135265021)	(64, 36.15960028619969)	(66, 35.86705807323828)	(68, 35.581109894243184)	(70, 35.35616243498424)	(72, 35.124862881540096)	(74, 34.90819271078893)	(76, 34.66868532737283)	(78, 34.44366642185531)	(80, 34.20841028874865)	(82, 34.042414707217176)	(84, 33.857488664168514)	(86, 33.747995681441694)	(88, 33.63491863940689)	(90, 33.548450700536655)	(92, 33.47451503485472)	(94, 33.43543121850851)	(96, 33.41602403238268)	(98, 33.47664515434079)	(100, 33.58927768409219)
HBRRep2_1	(1, 32.91482095949122)	(2, 33.10203926448224)	(3, 33.16990183879442)	(4, 36.48464675791511)	(5, 36.4215816397069)	(6, 36.39407576386009)	(7, 36.40007604037052)	(8, 36.39879026683257)	(9, 38.22822480298631)	(10, 38.20987833540716)	(12, 38.183533803401076)	(14, 39.736654914973045)	(16, 39.69780519839624)	(18, 39.67218996267109)	(20, 39.645400504911294)	(22, 39.59647059381138)	(24, 39.53669423779084)	(26, 39.4455170731142)	(28, 39.361415896996114)	(30, 39.256552101266834)	(32, 39.14582817895885)	(34, 39.01028526939146)	(36, 38.83094690964744)	(38, 38.688798281476835)	(40, 38.65907096944194)	(42, 38.65537896560724)	(44, 38.64907211690372)	(46, 38.487211556766226)	(48, 38.37585332182071)	(50, 38.1477264643568)	(52, 37.928675165133555)	(54, 37.72982489829016)	(56, 37.47649409787603)	(58, 37.16435480502317)	(60, 36.869500976273635)	(62, 36.544413428176306)	(64, 36.23464864205714)	(66, 35.90909351395564)	(68, 35.663948853707694)	(70, 35.41307080075656)	(72, 35.122396297568464)	(74, 34.8834258734573)	(76, 33.38697153508748)	(78, 34.335706580608445)	(80, 34.332058773412506)	(82, 34.17681189339835)	(84, 34.01792724820104)	(86, 33.897227996969804)	(88, 33.77939335296922)	(90, 33.65806010578249)	(92, 33.6576903596429)	(94, 33.628393378160595)	(96, 33.62296625462791)	(98, 33.652068321468185)	(100, 33.71932527499915)
HBRRep2_2	(1, 32.70243329185677)	(2, 32.81188303608461)	(3, 32.838614682704275)	(4, 36.22514171159961)	(5, 36.20080879303194)	(6, 36.20808793031937)	(7, 36.2488179178764)	(8, 36.247711876123326)	(9, 38.03881515277202)	(10, 37.987194110327664)	(12, 37.96999516106733)	(14, 39.47578459836859)	(16, 39.40832642057238)	(18, 39.3826040370524)	(20, 39.34657221032782)	(22, 39.25583820167358)	(24, 39.18663918640029)	(26, 39.127809457172624)	(28, 39.04537568917428)	(30, 38.93201346275795)	(32, 38.82784488088099)	(34, 38.72900666994986)	(36, 38.58351019016211)	(38, 38.457407509048494)	(40, 38.26623015844643)	(42, 38.07694164266554)	(44, 37.928888966138146)	(46, 38.10183477603202)	(48, 38.13886306640697)	(50, 36.72650600092537)	(52, 36.83396019989904)	(54, 37.41291193429789)	(56, 37.26728271783911)	(58, 37.02251796355888)	(60, 36.70922784773681)	(62, 36.41176473762074)	(64, 36.0770192243872)	(66, 35.75972571255493)	(68, 35.49108125327587)	(70, 35.26146606663845)	(72, 35.023091581097674)	(74, 34.80497660921834)	(76, 34.55918002023015)	(78, 34.34239656090099)	(80, 34.10892779610528)	(82, 33.951004551416105)	(84, 33.78653990527867)	(86, 33.669468606701315)	(88, 33.57436413539404)	(90, 33.48234099236552)	(92, 33.419800826088434)	(94, 33.392574678236315)	(96, 33.3867619797811)	(98, 33.4514818038881)	(100, 33.553384731532105)
HBRRep3_1	(1, 32.91895394584587)	(2, 33.11758080691198)	(3, 33.18073748360719)	(4, 36.489662886677465)	(5, 36.421044511301396)	(6, 36.39799429144488)	(7, 36.41342281879194)	(8, 36.39709943685875)	(9, 38.22844249016431)	(10, 38.21164853814703)	(12, 38.18982488621461)	(14, 39.75105685412328)	(16, 39.71873408933118)	(18, 39.69168402375993)	(20, 39.65723212219393)	(22, 39.61742229717357)	(24, 39.55425843622099)	(26, 39.46943863041779)	(28, 39.37846209318373)	(30, 39.274121356873536)	(32, 39.17705536395685)	(34, 39.020263770255724)	(36, 38.86175113856615)	(38, 38.72295429240749)	(40, 38.68109738002981)	(42, 38.68341897752534)	(44, 38.68316623916232)	(46, 38.535892022322834)	(48, 38.406667676017705)	(50, 38.193438463576825)	(52, 37.97330085357483)	(54, 37.78099997986067)	(56, 37.51907930072395)	(58, 37.22173613404358)	(60, 36.92375040497801)	(62, 36.60316313345912)	(64, 36.285822662474764)	(66, 35.98535506344217)	(68, 35.74600879602245)	(70, 35.48179040816173)	(72, 35.17942052636946)	(74, 34.942978379081076)	(76, 33.4497814710456)	(78, 34.390993473931246)	(80, 34.38860572602666)	(82, 34.2325404846805)	(84, 34.06475761066177)	(86, 33.937392237659566)	(88, 33.82375365113485)	(90, 33.69263517944064)	(92, 33.69091288886597)	(94, 33.656591133491915)	(96, 33.650678098461626)	(98, 33.66517755664317)	(100, 33.72998311449381)
HBRRep3_2	(1, 32.71458767260665)	(2, 32.829213916531664)	(3, 32.845668440947314)	(4, 36.22548021291368)	(5, 36.20509141402453)	(6, 36.21316824809072)	(7, 36.24347759006403)	(8, 36.242906734552186)	(9, 38.04063874103217)	(10, 37.99060402684564)	(12, 37.95870940368742)	(14, 39.469752372136085)	(16, 39.418329090488314)	(18, 39.384112473964365)	(20, 39.356707616180685)	(22, 39.259077251417295)	(24, 39.194262448950646)	(26, 39.14117307895364)	(28, 39.03752282314055)	(30, 38.94028722658407)	(32, 38.82968451003701)	(34, 38.751564965167965)	(36, 38.608068289539375)	(38, 38.48203047508792)	(40, 38.295022614427)	(42, 38.10783783751984)	(44, 37.97234479331191)	(46, 38.13070316367925)	(48, 38.15717070844394)	(50, 36.77109153348812)	(52, 36.89577260385049)	(54, 37.47476752269317)	(56, 37.32639256926106)	(58, 37.066436570792)	(60, 36.75992239072502)	(62, 36.447976964984946)	(64, 36.12724034355598)	(66, 35.8356642739733)	(68, 35.54956779123204)	(70, 35.32956281986169)	(72, 35.09369493639855)	(74, 34.87451628802883)	(76, 34.62797324877725)	(78, 34.41250241542406)	(80, 34.174189633652205)	(82, 34.01564757632649)	(84, 33.83652718213465)	(86, 33.71286321325833)	(88, 33.60656096245383)	(90, 33.51512301909134)	(92, 33.450612647730196)	(94, 33.40768730565184)	(96, 33.41482081482043)	(98, 33.47548573819881)	(100, 33.60013360568338)
UHRRep1_1	(1, 32.4133497819095)	(2, 32.572784949552805)	(3, 32.56651980437943)	(4, 36.06156320218531)	(5, 35.97346785918844)	(6, 35.936714103185444)	(7, 35.966449310481565)	(8, 35.96336960831828)	(9, 37.693576243556414)	(10, 37.62827466184958)	(12, 37.59314887430057)	(14, 38.96019958584835)	(16, 38.937068775609106)	(18, 38.946459884566245)	(20, 38.90071571451675)	(22, 38.84123428802934)	(24, 38.76152210896249)	(26, 38.67155662109001)	(28, 38.554978573276834)	(30, 38.4795862631242)	(32, 38.382752540337194)	(34, 38.24425140832469)	(36, 38.12631874068339)	(38, 37.971053428015225)	(40, 37.830292263809426)	(42, 37.65797260742504)	(44, 37.526647495865774)	(46, 37.494923782369106)	(48, 37.37446438167326)	(50, 37.298364686348094)	(52, 37.07225498527216)	(54, 36.96836250374385)	(56, 36.83271673645703)	(58, 36.579299605641225)	(60, 36.296922648144786)	(62, 35.975726925911175)	(64, 35.65067341946644)	(66, 35.35225764237478)	(68, 35.12408145144282)	(70, 34.86104294580106)	(72, 34.55442326132676)	(74, 34.33410455372369)	(76, 32.718911574019856)	(78, 33.721158935660654)	(80, 33.82067400636701)	(82, 33.69369247471768)	(84, 33.527844012723065)	(86, 33.425270437176195)	(88, 33.32431067021096)	(90, 33.21312479949522)	(92, 33.238111847661365)	(94, 33.27036458217586)	(96, 33.27626449402352)	(98, 33.368446713391634)	(100, 33.550467269297165)
UHRRep1_2	(1, 31.909970480680265)	(2, 32.02074282944883)	(3, 32.04286028990615)	(4, 35.56511873815923)	(5, 35.585055293651145)	(6, 35.5964753051064)	(7, 35.629448825836015)	(8, 35.61902894655682)	(9, 37.25004185575186)	(10, 37.18278406837908)	(12, 37.162988500682914)	(14, 38.462475216989034)	(16, 38.40799224567124)	(18, 38.3606400101452)	(20, 38.340677517471335)	(22, 38.24206783538713)	(24, 38.176714905272846)	(26, 38.099998207963836)	(28, 37.973633430665046)	(30, 37.85766511040653)	(32, 37.768734137690934)	(34, 37.66270851219563)	(36, 37.50372606627606)	(38, 37.386063145905105)	(40, 37.218154610613354)	(42, 37.00394912999454)	(44, 36.73316483011818)	(46, 36.96546289389646)	(48, 36.94400185443338)	(50, 35.51878488297217)	(52, 35.61479784330942)	(54, 36.43776611571424)	(56, 36.36259103423206)	(58, 36.111063976049365)	(60, 35.82721966548266)	(62, 35.51968481229869)	(64, 35.205713029591166)	(66, 34.886143855867886)	(68, 34.60619395632243)	(70, 34.3799108082336)	(72, 34.16270118005012)	(74, 33.957972009174185)	(76, 33.72078414384048)	(78, 33.51815972204914)	(80, 33.28678936101784)	(82, 33.13497728254701)	(84, 32.97440120570358)	(86, 32.86131328502134)	(88, 32.7521541901957)	(90, 32.67777079979433)	(92, 32.65048326801651)	(94, 32.64889161604546)	(96, 32.7041545738261)	(98, 32.88637640215761)	(100, 33.25697955594636)
UHRRep2_1	(1, 32.383016678394625)	(2, 32.55413379751367)	(3, 32.52273372591139)	(4, 36.0206782464847)	(5, 35.914552547436514)	(6, 35.86628273026925)	(7, 35.90178141550313)	(8, 35.8985901756725)	(9, 37.617322815204375)	(10, 37.53637828228584)	(12, 37.50614792044739)	(14, 38.864005036850486)	(16, 38.822413984667236)	(18, 38.8346203227041)	(20, 38.805080665946534)	(22, 38.73516355349077)	(24, 38.66987543275498)	(26, 38.5848434262876)	(28, 38.450860335360645)	(30, 38.37911104949197)	(32, 38.29618093897628)	(34, 38.15889004859147)	(36, 38.05125621132535)	(38, 37.89641420044477)	(40, 37.762070057285186)	(42, 37.594906755760306)	(44, 37.446913648323715)	(46, 37.421509300494364)	(48, 37.323006793024064)	(50, 37.24102676906706)	(52, 37.047984984113796)	(54, 36.934712067185764)	(56, 36.829971558604214)	(58, 36.57773122555971)	(60, 36.30570230604023)	(62, 35.97267068811014)	(64, 35.66207522134846)	(66, 35.39423680478774)	(68, 35.14329412834988)	(70, 34.887045414289645)	(72, 34.582378095564586)	(74, 34.35760579550899)	(76, 32.709560229798484)	(78, 33.72316402825402)	(80, 33.81958446177081)	(82, 33.6956868928261)	(84, 33.509530848960004)	(86, 33.42354956668973)	(88, 33.30467029403085)	(90, 33.190508497901845)	(92, 33.20416073304618)	(94, 33.237967431987556)	(96, 33.23999562605928)	(98, 33.31110832627674)	(100, 33.455752077379195)
UHRRep2_2	(1, 31.90604668962878)	(2, 32.04746737775144)	(3, 32.04963396417417)	(4, 35.56723825043517)	(5, 35.55966445687197)	(6, 35.57449106823204)	(7, 35.6171006012123)	(8, 35.600132093873064)	(9, 37.240571336864065)	(10, 37.15991691665741)	(12, 37.135550535165365)	(14, 38.4290273199758)	(16, 38.37612187202943)	(18, 38.32909274965125)	(20, 38.314078525032)	(22, 38.206662866309244)	(24, 38.154496974356576)	(26, 38.08691536341649)	(28, 37.963983374333694)	(30, 37.85280242205275)	(32, 37.78433587227044)	(34, 37.66838825148949)	(36, 37.52151382690209)	(38, 37.41168146545705)	(40, 37.24473034755656)	(42, 37.01509432829232)	(44, 36.787251454243794)	(46, 37.02845254416023)	(48, 37.01086163427517)	(50, 35.594573620853694)	(52, 35.685778375028875)	(54, 36.5370812306848)	(56, 36.477555112649)	(58, 36.22755029022708)	(60, 35.94421487507516)	(62, 35.65375626170561)	(64, 35.3425304729339)	(66, 35.02774316447459)	(68, 34.758143956561554)	(70, 34.52556650046888)	(72, 34.307426490299235)	(74, 34.089200625191154)	(76, 33.832774697518445)	(78, 33.63086180036598)	(80, 33.40873727813351)	(82, 33.22884818681656)	(84, 33.05183071697205)	(86, 32.94920014026947)	(88, 32.82741961316581)	(90, 32.74922925434977)	(92, 32.72174150852565)	(94, 32.71988300576779)	(96, 32.77150140704277)	(98, 32.90851740353326)	(100, 33.10108891003277)
