Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
HBRRep1_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.5)	(6.0, 1.0)	(7.0, 1.0)	(8.0, 0.5)	(9.0, 0.5)	(10.0, 1.0)	(11.0, 0.5)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.5)	(15.0, 2.0)	(16.0, 3.0)	(17.0, 4.0)	(18.0, 4.5)	(19.0, 8.5)	(20.0, 11.5)	(21.0, 19.5)	(22.0, 27.0)	(23.0, 34.0)	(24.0, 47.0)	(25.0, 68.0)	(26.0, 98.5)	(27.0, 142.0)	(28.0, 199.5)	(29.0, 385.0)	(30.0, 670.5)	(31.0, 881.0)	(32.0, 931.0)	(33.0, 1122.0)	(34.0, 1410.5)	(35.0, 1718.5)	(36.0, 2468.0)	(37.0, 3172.5)	(38.0, 3426.5)	(39.0, 3049.5)	(40.0, 2286.0)	(41.0, 2233.0)	(42.0, 2420.5)	(43.0, 2486.0)	(44.0, 2969.5)	(45.0, 3386.0)	(46.0, 3872.5)	(47.0, 4190.0)	(48.0, 4162.0)	(49.0, 4255.0)	(50.0, 4448.0)	(51.0, 5022.0)	(52.0, 5914.0)	(53.0, 5965.5)	(54.0, 5196.0)	(55.0, 4828.0)	(56.0, 4405.0)	(57.0, 3996.0)	(58.0, 3843.5)	(59.0, 3386.5)	(60.0, 2918.0)	(61.0, 2651.0)	(62.0, 2562.0)	(63.0, 2337.5)	(64.0, 1933.0)	(65.0, 1656.5)	(66.0, 1437.5)	(67.0, 1175.0)	(68.0, 929.0)	(69.0, 736.0)	(70.0, 573.0)	(71.0, 436.5)	(72.0, 310.5)	(73.0, 225.0)	(74.0, 164.0)	(75.0, 120.5)	(76.0, 74.5)	(77.0, 52.5)	(78.0, 47.0)	(79.0, 30.5)	(80.0, 19.0)	(81.0, 12.0)	(82.0, 7.0)	(83.0, 2.5)	(84.0, 1.5)	(85.0, 1.5)	(86.0, 1.0)	(87.0, 0.5)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
HBRRep1_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.5)	(15.0, 4.0)	(16.0, 5.0)	(17.0, 3.5)	(18.0, 7.0)	(19.0, 10.0)	(20.0, 12.0)	(21.0, 14.5)	(22.0, 23.0)	(23.0, 40.0)	(24.0, 46.0)	(25.0, 56.0)	(26.0, 95.5)	(27.0, 128.5)	(28.0, 193.5)	(29.0, 303.5)	(30.0, 706.5)	(31.0, 966.5)	(32.0, 1052.0)	(33.0, 1210.0)	(34.0, 1481.5)	(35.0, 1933.5)	(36.0, 2300.5)	(37.0, 2599.0)	(38.0, 2778.0)	(39.0, 2995.5)	(40.0, 2901.0)	(41.0, 2423.0)	(42.0, 2237.0)	(43.0, 2357.5)	(44.0, 2712.0)	(45.0, 3188.0)	(46.0, 3662.5)	(47.0, 3993.0)	(48.0, 4192.0)	(49.0, 4418.0)	(50.0, 4366.0)	(51.0, 4554.5)	(52.0, 5258.0)	(53.0, 5728.5)	(54.0, 5546.0)	(55.0, 5183.0)	(56.0, 4903.5)	(57.0, 4515.0)	(58.0, 4297.0)	(59.0, 3794.5)	(60.0, 3095.0)	(61.0, 2789.5)	(62.0, 2549.5)	(63.0, 2308.0)	(64.0, 1980.5)	(65.0, 1653.5)	(66.0, 1415.5)	(67.0, 1186.0)	(68.0, 982.5)	(69.0, 791.0)	(70.0, 627.0)	(71.0, 495.5)	(72.0, 403.0)	(73.0, 330.0)	(74.0, 231.5)	(75.0, 156.5)	(76.0, 129.0)	(77.0, 111.0)	(78.0, 77.0)	(79.0, 48.0)	(80.0, 39.0)	(81.0, 30.0)	(82.0, 18.5)	(83.0, 8.0)	(84.0, 4.5)	(85.0, 3.0)	(86.0, 3.0)	(87.0, 2.5)	(88.0, 1.5)	(89.0, 1.5)	(90.0, 1.0)	(91.0, 0.5)	(92.0, 0.0)	(93.0, 0.5)	(94.0, 1.0)	(95.0, 1.0)	(96.0, 1.5)	(97.0, 2.0)	(98.0, 1.5)	(99.0, 0.5)	(100.0, 0.0)
HBRRep2_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 1.0)	(3.0, 2.0)	(4.0, 2.0)	(5.0, 2.0)	(6.0, 1.5)	(7.0, 0.5)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.5)	(15.0, 2.5)	(16.0, 3.5)	(17.0, 2.5)	(18.0, 3.0)	(19.0, 7.5)	(20.0, 14.0)	(21.0, 21.5)	(22.0, 26.5)	(23.0, 36.0)	(24.0, 61.0)	(25.0, 85.5)	(26.0, 95.0)	(27.0, 133.0)	(28.0, 207.0)	(29.0, 452.5)	(30.0, 775.5)	(31.0, 1024.5)	(32.0, 1068.0)	(33.0, 1201.0)	(34.0, 1523.0)	(35.0, 1896.0)	(36.0, 2734.5)	(37.0, 3608.0)	(38.0, 3958.0)	(39.0, 3615.5)	(40.0, 2745.0)	(41.0, 2629.5)	(42.0, 2868.5)	(43.0, 3044.0)	(44.0, 3665.5)	(45.0, 4112.5)	(46.0, 4649.0)	(47.0, 5195.0)	(48.0, 5330.5)	(49.0, 5342.5)	(50.0, 5528.0)	(51.0, 6293.0)	(52.0, 7342.0)	(53.0, 7354.5)	(54.0, 6449.5)	(55.0, 6019.5)	(56.0, 5454.0)	(57.0, 4898.0)	(58.0, 4734.0)	(59.0, 4213.5)	(60.0, 3678.0)	(61.0, 3359.5)	(62.0, 3195.5)	(63.0, 2893.5)	(64.0, 2453.0)	(65.0, 2091.5)	(66.0, 1758.5)	(67.0, 1460.0)	(68.0, 1188.0)	(69.0, 910.5)	(70.0, 692.0)	(71.0, 546.0)	(72.0, 425.0)	(73.0, 299.0)	(74.0, 229.5)	(75.0, 173.5)	(76.0, 119.5)	(77.0, 94.5)	(78.0, 73.0)	(79.0, 50.0)	(80.0, 26.5)	(81.0, 15.0)	(82.0, 10.0)	(83.0, 4.5)	(84.0, 4.0)	(85.0, 3.0)	(86.0, 1.5)	(87.0, 2.0)	(88.0, 1.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
HBRRep2_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 1.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 6.5)	(16.0, 6.0)	(17.0, 4.5)	(18.0, 9.5)	(19.0, 10.0)	(20.0, 11.5)	(21.0, 12.5)	(22.0, 20.0)	(23.0, 36.5)	(24.0, 49.5)	(25.0, 57.0)	(26.0, 89.5)	(27.0, 131.0)	(28.0, 202.0)	(29.0, 330.5)	(30.0, 693.0)	(31.0, 942.0)	(32.0, 1096.5)	(33.0, 1278.5)	(34.0, 1580.5)	(35.0, 2123.5)	(36.0, 2646.0)	(37.0, 3099.5)	(38.0, 3358.0)	(39.0, 3570.0)	(40.0, 3497.5)	(41.0, 2915.0)	(42.0, 2623.5)	(43.0, 2912.5)	(44.0, 3448.0)	(45.0, 3978.0)	(46.0, 4467.5)	(47.0, 4911.5)	(48.0, 5166.0)	(49.0, 5385.0)	(50.0, 5338.5)	(51.0, 5697.5)	(52.0, 6718.0)	(53.0, 7174.0)	(54.0, 6880.0)	(55.0, 6375.0)	(56.0, 5949.5)	(57.0, 5638.0)	(58.0, 5340.5)	(59.0, 4715.0)	(60.0, 3902.5)	(61.0, 3431.5)	(62.0, 3116.0)	(63.0, 2858.0)	(64.0, 2499.0)	(65.0, 2135.0)	(66.0, 1821.5)	(67.0, 1463.5)	(68.0, 1223.5)	(69.0, 1004.0)	(70.0, 805.5)	(71.0, 647.5)	(72.0, 505.0)	(73.0, 403.5)	(74.0, 302.0)	(75.0, 217.5)	(76.0, 174.0)	(77.0, 132.0)	(78.0, 104.0)	(79.0, 77.0)	(80.0, 47.0)	(81.0, 37.5)	(82.0, 31.0)	(83.0, 17.0)	(84.0, 9.5)	(85.0, 7.0)	(86.0, 3.5)	(87.0, 3.0)	(88.0, 3.0)	(89.0, 3.0)	(90.0, 2.5)	(91.0, 2.0)	(92.0, 2.0)	(93.0, 1.5)	(94.0, 1.0)	(95.0, 1.0)	(96.0, 1.0)	(97.0, 1.0)	(98.0, 0.5)	(99.0, 0.0)	(100.0, 0.0)
HBRRep3_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.5)	(9.0, 1.5)	(10.0, 2.0)	(11.0, 2.5)	(12.0, 2.5)	(13.0, 2.0)	(14.0, 2.0)	(15.0, 2.0)	(16.0, 4.0)	(17.0, 5.5)	(18.0, 5.5)	(19.0, 7.0)	(20.0, 12.0)	(21.0, 21.5)	(22.0, 27.0)	(23.0, 29.0)	(24.0, 52.0)	(25.0, 77.0)	(26.0, 100.0)	(27.0, 145.5)	(28.0, 223.5)	(29.0, 446.5)	(30.0, 712.5)	(31.0, 911.0)	(32.0, 946.5)	(33.0, 1126.5)	(34.0, 1472.0)	(35.0, 1831.0)	(36.0, 2619.5)	(37.0, 3473.5)	(38.0, 3779.5)	(39.0, 3321.5)	(40.0, 2498.0)	(41.0, 2457.0)	(42.0, 2704.0)	(43.0, 2816.0)	(44.0, 3291.0)	(45.0, 3691.5)	(46.0, 4249.0)	(47.0, 4588.0)	(48.0, 4553.5)	(49.0, 4707.5)	(50.0, 4921.0)	(51.0, 5582.0)	(52.0, 6585.0)	(53.0, 6557.5)	(54.0, 5618.0)	(55.0, 5203.5)	(56.0, 4838.5)	(57.0, 4375.5)	(58.0, 4157.5)	(59.0, 3755.0)	(60.0, 3283.0)	(61.0, 2950.0)	(62.0, 2785.0)	(63.0, 2554.0)	(64.0, 2170.0)	(65.0, 1821.0)	(66.0, 1552.0)	(67.0, 1250.5)	(68.0, 992.5)	(69.0, 797.0)	(70.0, 626.5)	(71.0, 491.0)	(72.0, 370.0)	(73.0, 269.0)	(74.0, 204.5)	(75.0, 145.5)	(76.0, 92.0)	(77.0, 68.5)	(78.0, 54.0)	(79.0, 42.5)	(80.0, 25.0)	(81.0, 9.0)	(82.0, 5.5)	(83.0, 3.0)	(84.0, 2.0)	(85.0, 1.0)	(86.0, 0.5)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
HBRRep3_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 2.0)	(16.0, 4.0)	(17.0, 5.5)	(18.0, 9.5)	(19.0, 10.0)	(20.0, 13.0)	(21.0, 13.5)	(22.0, 18.0)	(23.0, 32.0)	(24.0, 42.0)	(25.0, 64.5)	(26.0, 94.0)	(27.0, 132.5)	(28.0, 209.5)	(29.0, 326.0)	(30.0, 727.0)	(31.0, 966.5)	(32.0, 1099.5)	(33.0, 1324.0)	(34.0, 1614.5)	(35.0, 2105.5)	(36.0, 2527.0)	(37.0, 2855.0)	(38.0, 3056.5)	(39.0, 3274.0)	(40.0, 3182.0)	(41.0, 2685.0)	(42.0, 2451.5)	(43.0, 2618.0)	(44.0, 3090.5)	(45.0, 3577.5)	(46.0, 3949.5)	(47.0, 4308.0)	(48.0, 4599.5)	(49.0, 4792.5)	(50.0, 4691.5)	(51.0, 5069.5)	(52.0, 5924.5)	(53.0, 6239.5)	(54.0, 6015.5)	(55.0, 5677.5)	(56.0, 5317.5)	(57.0, 4965.0)	(58.0, 4721.5)	(59.0, 4185.0)	(60.0, 3512.0)	(61.0, 3074.0)	(62.0, 2746.0)	(63.0, 2484.0)	(64.0, 2130.0)	(65.0, 1836.5)	(66.0, 1589.0)	(67.0, 1301.5)	(68.0, 1061.0)	(69.0, 833.5)	(70.0, 691.5)	(71.0, 590.5)	(72.0, 451.5)	(73.0, 338.0)	(74.0, 252.5)	(75.0, 174.0)	(76.0, 126.5)	(77.0, 103.5)	(78.0, 84.0)	(79.0, 58.5)	(80.0, 36.0)	(81.0, 27.0)	(82.0, 17.5)	(83.0, 11.5)	(84.0, 9.5)	(85.0, 8.0)	(86.0, 6.5)	(87.0, 4.5)	(88.0, 4.0)	(89.0, 3.5)	(90.0, 2.0)	(91.0, 1.0)	(92.0, 1.0)	(93.0, 1.0)	(94.0, 0.5)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
UHRRep1_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.5)	(11.0, 1.5)	(12.0, 1.5)	(13.0, 2.0)	(14.0, 2.5)	(15.0, 3.5)	(16.0, 4.0)	(17.0, 6.0)	(18.0, 10.0)	(19.0, 22.0)	(20.0, 30.0)	(21.0, 29.5)	(22.0, 37.5)	(23.0, 61.0)	(24.0, 96.5)	(25.0, 131.0)	(26.0, 181.5)	(27.0, 291.0)	(28.0, 450.5)	(29.0, 791.0)	(30.0, 1231.5)	(31.0, 1592.5)	(32.0, 1837.5)	(33.0, 2126.0)	(34.0, 2598.5)	(35.0, 3084.5)	(36.0, 4056.0)	(37.0, 5156.5)	(38.0, 5762.0)	(39.0, 5423.0)	(40.0, 4923.0)	(41.0, 5065.5)	(42.0, 5281.0)	(43.0, 5879.0)	(44.0, 7278.5)	(45.0, 9042.0)	(46.0, 9779.5)	(47.0, 9797.0)	(48.0, 10241.0)	(49.0, 9568.5)	(50.0, 8474.0)	(51.0, 9118.5)	(52.0, 10143.5)	(53.0, 10197.0)	(54.0, 9334.5)	(55.0, 9076.0)	(56.0, 8055.5)	(57.0, 6589.0)	(58.0, 6309.0)	(59.0, 6264.0)	(60.0, 5971.5)	(61.0, 5218.5)	(62.0, 4722.0)	(63.0, 4216.0)	(64.0, 3339.5)	(65.0, 2509.5)	(66.0, 2009.5)	(67.0, 1667.5)	(68.0, 1372.0)	(69.0, 1041.5)	(70.0, 757.0)	(71.0, 567.5)	(72.0, 419.5)	(73.0, 284.5)	(74.0, 180.5)	(75.0, 112.0)	(76.0, 73.0)	(77.0, 43.0)	(78.0, 27.0)	(79.0, 20.5)	(80.0, 7.5)	(81.0, 2.0)	(82.0, 4.0)	(83.0, 2.5)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.5)	(89.0, 1.0)	(90.0, 1.0)	(91.0, 0.5)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
UHRRep1_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.5)	(3.0, 1.0)	(4.0, 1.0)	(5.0, 1.0)	(6.0, 0.5)	(7.0, 0.0)	(8.0, 0.5)	(9.0, 1.0)	(10.0, 1.5)	(11.0, 2.0)	(12.0, 2.0)	(13.0, 1.0)	(14.0, 1.5)	(15.0, 6.5)	(16.0, 5.0)	(17.0, 3.0)	(18.0, 13.5)	(19.0, 22.0)	(20.0, 22.5)	(21.0, 30.0)	(22.0, 51.0)	(23.0, 74.5)	(24.0, 85.5)	(25.0, 123.5)	(26.0, 198.0)	(27.0, 264.5)	(28.0, 425.5)	(29.0, 652.0)	(30.0, 982.0)	(31.0, 1882.0)	(32.0, 2337.0)	(33.0, 2241.0)	(34.0, 2814.0)	(35.0, 3783.5)	(36.0, 4084.0)	(37.0, 4430.5)	(38.0, 5588.5)	(39.0, 5754.5)	(40.0, 5924.0)	(41.0, 5763.0)	(42.0, 5113.0)	(43.0, 5981.5)	(44.0, 7028.0)	(45.0, 7476.0)	(46.0, 8530.0)	(47.0, 9599.5)	(48.0, 10208.5)	(49.0, 9818.0)	(50.0, 9127.5)	(51.0, 9050.5)	(52.0, 9048.5)	(53.0, 9659.5)	(54.0, 9457.0)	(55.0, 9125.0)	(56.0, 8733.5)	(57.0, 8193.5)	(58.0, 8090.0)	(59.0, 7149.5)	(60.0, 6251.0)	(61.0, 5454.0)	(62.0, 4459.0)	(63.0, 3919.5)	(64.0, 3333.0)	(65.0, 2541.5)	(66.0, 2027.0)	(67.0, 1684.0)	(68.0, 1426.5)	(69.0, 1189.0)	(70.0, 854.5)	(71.0, 632.0)	(72.0, 492.0)	(73.0, 364.5)	(74.0, 251.5)	(75.0, 166.0)	(76.0, 116.0)	(77.0, 79.5)	(78.0, 55.0)	(79.0, 43.0)	(80.0, 41.0)	(81.0, 30.0)	(82.0, 18.0)	(83.0, 8.5)	(84.0, 6.0)	(85.0, 5.5)	(86.0, 3.5)	(87.0, 3.0)	(88.0, 2.5)	(89.0, 1.5)	(90.0, 1.5)	(91.0, 2.0)	(92.0, 2.5)	(93.0, 2.5)	(94.0, 1.5)	(95.0, 0.5)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
UHRRep2_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.5)	(10.0, 0.5)	(11.0, 0.0)	(12.0, 1.0)	(13.0, 3.0)	(14.0, 2.5)	(15.0, 4.5)	(16.0, 5.5)	(17.0, 8.5)	(18.0, 16.0)	(19.0, 23.5)	(20.0, 28.5)	(21.0, 36.5)	(22.0, 54.0)	(23.0, 79.0)	(24.0, 108.0)	(25.0, 137.5)	(26.0, 212.0)	(27.0, 326.0)	(28.0, 483.0)	(29.0, 755.0)	(30.0, 1060.5)	(31.0, 1291.5)	(32.0, 1371.0)	(33.0, 1652.0)	(34.0, 2019.0)	(35.0, 2392.5)	(36.0, 3382.0)	(37.0, 4492.0)	(38.0, 4865.5)	(39.0, 4294.0)	(40.0, 3445.5)	(41.0, 3914.5)	(42.0, 4444.5)	(43.0, 4467.0)	(44.0, 5210.0)	(45.0, 6063.5)	(46.0, 7046.0)	(47.0, 7598.0)	(48.0, 7258.5)	(49.0, 6492.5)	(50.0, 6101.5)	(51.0, 6399.5)	(52.0, 7081.5)	(53.0, 7026.0)	(54.0, 6201.0)	(55.0, 5963.0)	(56.0, 5308.0)	(57.0, 4523.0)	(58.0, 4390.5)	(59.0, 4301.0)	(60.0, 3964.5)	(61.0, 3379.5)	(62.0, 3045.0)	(63.0, 2592.0)	(64.0, 1971.5)	(65.0, 1547.0)	(66.0, 1278.0)	(67.0, 1115.0)	(68.0, 910.0)	(69.0, 644.5)	(70.0, 461.5)	(71.0, 351.0)	(72.0, 251.5)	(73.0, 159.5)	(74.0, 103.0)	(75.0, 69.5)	(76.0, 35.0)	(77.0, 20.0)	(78.0, 13.0)	(79.0, 10.5)	(80.0, 4.5)	(81.0, 2.5)	(82.0, 3.0)	(83.0, 1.5)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
UHRRep2_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 1.0)	(8.0, 2.5)	(9.0, 3.0)	(10.0, 3.0)	(11.0, 2.0)	(12.0, 0.5)	(13.0, 0.0)	(14.0, 2.0)	(15.0, 5.0)	(16.0, 7.5)	(17.0, 9.0)	(18.0, 16.0)	(19.0, 22.5)	(20.0, 24.5)	(21.0, 34.0)	(22.0, 47.0)	(23.0, 70.5)	(24.0, 101.0)	(25.0, 131.0)	(26.0, 194.5)	(27.0, 275.0)	(28.0, 393.0)	(29.0, 584.5)	(30.0, 1188.0)	(31.0, 1518.5)	(32.0, 1642.0)	(33.0, 1931.5)	(34.0, 2381.5)	(35.0, 2954.5)	(36.0, 3335.5)	(37.0, 3735.5)	(38.0, 4049.5)	(39.0, 4412.5)	(40.0, 4330.0)	(41.0, 4076.5)	(42.0, 4144.0)	(43.0, 4189.5)	(44.0, 4764.5)	(45.0, 5361.5)	(46.0, 5724.0)	(47.0, 6676.0)	(48.0, 7505.5)	(49.0, 7262.0)	(50.0, 6453.5)	(51.0, 6216.5)	(52.0, 6456.0)	(53.0, 6586.0)	(54.0, 6467.0)	(55.0, 6329.0)	(56.0, 6147.0)	(57.0, 5653.5)	(58.0, 5326.0)	(59.0, 4956.0)	(60.0, 4252.0)	(61.0, 3591.0)	(62.0, 3026.0)	(63.0, 2604.0)	(64.0, 2172.0)	(65.0, 1752.0)	(66.0, 1391.0)	(67.0, 1100.5)	(68.0, 927.0)	(69.0, 768.0)	(70.0, 586.5)	(71.0, 435.5)	(72.0, 294.5)	(73.0, 205.5)	(74.0, 163.0)	(75.0, 113.0)	(76.0, 83.0)	(77.0, 54.5)	(78.0, 34.0)	(79.0, 23.0)	(80.0, 14.5)	(81.0, 9.5)	(82.0, 8.5)	(83.0, 7.5)	(84.0, 5.5)	(85.0, 5.0)	(86.0, 5.5)	(87.0, 6.0)	(88.0, 4.5)	(89.0, 3.0)	(90.0, 2.5)	(91.0, 2.0)	(92.0, 1.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
