Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
HBRRep1_1	(22.0, 1.0)	(23.0, 17.0)	(24.0, 42.0)	(25.0, 116.0)	(26.0, 244.0)	(27.0, 452.0)	(28.0, 689.0)	(29.0, 1065.0)	(30.0, 1434.0)	(31.0, 1947.0)	(32.0, 2591.0)	(33.0, 3590.0)	(34.0, 5414.0)	(35.0, 9179.0)	(36.0, 19763.0)	(37.0, 33266.0)	(38.0, 28886.0)	(39.0, 9734.0)	(40.0, 18.0)			
HBRRep1_2	(20.0, 4.0)	(21.0, 18.0)	(22.0, 50.0)	(23.0, 108.0)	(24.0, 191.0)	(25.0, 340.0)	(26.0, 537.0)	(27.0, 809.0)	(28.0, 949.0)	(29.0, 1286.0)	(30.0, 1674.0)	(31.0, 2252.0)	(32.0, 2784.0)	(33.0, 4011.0)	(34.0, 5637.0)	(35.0, 9442.0)	(36.0, 20926.0)	(37.0, 34386.0)	(38.0, 23797.0)	(39.0, 9239.0)	(40.0, 8.0)	
HBRRep2_1	(21.0, 1.0)	(22.0, 3.0)	(23.0, 26.0)	(24.0, 50.0)	(25.0, 144.0)	(26.0, 348.0)	(27.0, 572.0)	(28.0, 899.0)	(29.0, 1355.0)	(30.0, 1810.0)	(31.0, 2408.0)	(32.0, 3164.0)	(33.0, 4444.0)	(34.0, 6832.0)	(35.0, 11666.0)	(36.0, 24445.0)	(37.0, 41109.0)	(38.0, 34571.0)	(39.0, 10790.0)	(40.0, 23.0)		
HBRRep2_2	(19.0, 2.0)	(20.0, 6.0)	(21.0, 22.0)	(22.0, 71.0)	(23.0, 159.0)	(24.0, 275.0)	(25.0, 476.0)	(26.0, 685.0)	(27.0, 925.0)	(28.0, 1219.0)	(29.0, 1629.0)	(30.0, 2063.0)	(31.0, 2866.0)	(32.0, 3565.0)	(33.0, 5011.0)	(34.0, 7122.0)	(35.0, 11999.0)	(36.0, 25912.0)	(37.0, 41979.0)	(38.0, 28425.0)	(39.0, 10245.0)	(40.0, 4.0)
HBRRep3_1	(22.0, 5.0)	(23.0, 16.0)	(24.0, 46.0)	(25.0, 150.0)	(26.0, 323.0)	(27.0, 524.0)	(28.0, 819.0)	(29.0, 1175.0)	(30.0, 1616.0)	(31.0, 2041.0)	(32.0, 2804.0)	(33.0, 3907.0)	(34.0, 5936.0)	(35.0, 10211.0)	(36.0, 21496.0)	(37.0, 36555.0)	(38.0, 31582.0)	(39.0, 10407.0)	(40.0, 17.0)			
HBRRep3_2	(20.0, 1.0)	(21.0, 27.0)	(22.0, 71.0)	(23.0, 128.0)	(24.0, 249.0)	(25.0, 420.0)	(26.0, 638.0)	(27.0, 882.0)	(28.0, 1105.0)	(29.0, 1491.0)	(30.0, 1883.0)	(31.0, 2456.0)	(32.0, 3110.0)	(33.0, 4314.0)	(34.0, 6317.0)	(35.0, 10294.0)	(36.0, 22675.0)	(37.0, 37737.0)	(38.0, 25998.0)	(39.0, 9823.0)	(40.0, 11.0)	
UHRRep1_1	(22.0, 11.0)	(23.0, 66.0)	(24.0, 186.0)	(25.0, 473.0)	(26.0, 1054.0)	(27.0, 1705.0)	(28.0, 2735.0)	(29.0, 3785.0)	(30.0, 4962.0)	(31.0, 6542.0)	(32.0, 8392.0)	(33.0, 10944.0)	(34.0, 14999.0)	(35.0, 21914.0)	(36.0, 37452.0)	(37.0, 55524.0)	(38.0, 44299.0)	(39.0, 11906.0)	(40.0, 21.0)			
UHRRep1_2	(19.0, 2.0)	(20.0, 32.0)	(21.0, 94.0)	(22.0, 264.0)	(23.0, 524.0)	(24.0, 919.0)	(25.0, 1612.0)	(26.0, 2189.0)	(27.0, 3016.0)	(28.0, 4031.0)	(29.0, 5020.0)	(30.0, 6229.0)	(31.0, 7743.0)	(32.0, 9500.0)	(33.0, 12464.0)	(34.0, 16076.0)	(35.0, 23397.0)	(36.0, 39166.0)	(37.0, 52419.0)	(38.0, 32624.0)	(39.0, 9648.0)	(40.0, 1.0)
UHRRep2_1	(21.0, 1.0)	(22.0, 12.0)	(23.0, 49.0)	(24.0, 181.0)	(25.0, 424.0)	(26.0, 809.0)	(27.0, 1445.0)	(28.0, 2308.0)	(29.0, 2933.0)	(30.0, 3809.0)	(31.0, 4861.0)	(32.0, 5990.0)	(33.0, 7848.0)	(34.0, 10444.0)	(35.0, 15036.0)	(36.0, 25589.0)	(37.0, 38808.0)	(38.0, 32299.0)	(39.0, 9139.0)	(40.0, 21.0)		
UHRRep2_2	(19.0, 4.0)	(20.0, 12.0)	(21.0, 68.0)	(22.0, 182.0)	(23.0, 369.0)	(24.0, 672.0)	(25.0, 1119.0)	(26.0, 1604.0)	(27.0, 2178.0)	(28.0, 2913.0)	(29.0, 3610.0)	(30.0, 4485.0)	(31.0, 5431.0)	(32.0, 6592.0)	(33.0, 8506.0)	(34.0, 11168.0)	(35.0, 16158.0)	(36.0, 27143.0)	(37.0, 37048.0)	(38.0, 24950.0)	(39.0, 7775.0)	(40.0, 19.0)
UHRRep3_1	(21.0, 1.0)	(22.0, 8.0)	(23.0, 57.0)	(24.0, 171.0)	(25.0, 423.0)	(26.0, 848.0)	(27.0, 1549.0)	(28.0, 2278.0)	(29.0, 3181.0)	(30.0, 4256.0)	(31.0, 5395.0)	(32.0, 7089.0)	(33.0, 9052.0)	(34.0, 12342.0)	(35.0, 17816.0)	(36.0, 30622.0)	(37.0, 45259.0)	(38.0, 35508.0)	(39.0, 9273.0)	(40.0, 18.0)		
UHRRep3_2	(19.0, 2.0)	(20.0, 20.0)	(21.0, 62.0)	(22.0, 148.0)	(23.0, 361.0)	(24.0, 688.0)	(25.0, 1134.0)	(26.0, 1738.0)	(27.0, 2393.0)	(28.0, 3159.0)	(29.0, 3843.0)	(30.0, 4944.0)	(31.0, 6139.0)	(32.0, 7742.0)	(33.0, 9951.0)	(34.0, 13278.0)	(35.0, 19092.0)	(36.0, 32420.0)	(37.0, 43832.0)	(38.0, 26520.0)	(39.0, 7677.0)	(40.0, 3.0)
