Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
HBRRep1_1	(1.0, 50.640787518573546)	(2.0, 7.40915844927732)	(3.0, 2.910137781980278)	(4.0, 1.9046332567877886)	(5.0, 1.4732203160880726)	(6.0, 1.0738889639335403)	(7.0, 1.0992165338376334)	(8.0, 0.8780224233418885)	(9.0, 0.8130149939213831)	('>10', 16.64021342698906)	('>50', 6.464440091854653)	('>100', 8.693266243414833)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
HBRRep1_2	(1.0, 50.10046602728624)	(2.0, 6.858705930028367)	(3.0, 2.5783466162366606)	(4.0, 1.6547345670674052)	(5.0, 1.4014588680264757)	(6.0, 1.3524922328785627)	(7.0, 1.0755774685938133)	(8.0, 0.9725786843171688)	(9.0, 0.9573821423747129)	('>10', 20.197892746183978)	('>50', 6.7042077536134)	('>100', 5.6970147237606374)	('>500', 0.4491422396325813)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
HBRRep2_1	(1.0, 48.83105212221761)	(2.0, 7.786533941656297)	(3.0, 3.073413521360431)	(4.0, 1.8692105626987416)	(5.0, 1.3894649523019493)	(6.0, 1.0825383658233099)	(7.0, 0.9435918705931148)	(8.0, 0.92907507258399)	(9.0, 0.740356698465367)	('>10', 15.893128715609015)	('>50', 6.834646757915111)	('>100', 10.236416424720034)	('>500', 0.39057099405502554)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
HBRRep2_2	(1.0, 48.527581916217336)	(2.0, 6.923821374256878)	(3.0, 2.751970136872667)	(4.0, 1.7171298216507673)	(5.0, 1.2373842112539748)	(6.0, 1.2028204064703443)	(7.0, 1.0887598506843632)	(8.0, 0.8516521498686576)	(9.0, 0.8585649108253837)	('>10', 18.766763445320063)	('>50', 8.08101755841283)	('>100', 7.492050324899766)	('>500', 0.5004838932669708)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
HBRRep3_1	(1.0, 50.13499961428681)	(2.0, 7.232893620303941)	(3.0, 3.0201342281879198)	(4.0, 1.888451747280722)	(5.0, 1.3191390881740337)	(6.0, 0.9719972228650776)	(7.0, 1.106996837151894)	(8.0, 0.950397284579187)	(9.0, 0.9095116871094653)	('>10', 15.804983414333101)	('>50', 6.614981100054)	('>100', 10.04551415567384)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
HBRRep3_2	(1.0, 49.74157216693666)	(2.0, 6.938208747975006)	(3.0, 2.3929645915297386)	(4.0, 1.7310807683406622)	(5.0, 1.2959962971534367)	(6.0, 1.166396667438093)	(7.0, 1.0151970994368587)	(8.0, 0.9380544627015353)	(9.0, 0.8400833140476741)	('>10', 19.22008794260588)	('>50', 7.583121191082311)	('>100', 6.712952248707861)	('>500', 0.42428450204427987)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
UHRRep1_1	(1.0, 48.28879123398025)	(2.0, 8.784771953982098)	(3.0, 3.3058668911032534)	(4.0, 2.0007518379881355)	(5.0, 1.3961553460748626)	(6.0, 1.1432859952241152)	(7.0, 0.9515362078917172)	(8.0, 0.8378866842325191)	(9.0, 0.8323156291511858)	('>10', 13.93989402451203)	('>50', 7.427330634433474)	('>100', 10.148233936156629)	('>500', 0.9431796252697173)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
UHRRep1_2	(1.0, 48.88098964458984)	(2.0, 8.440215036603323)	(3.0, 2.966426622424896)	(4.0, 1.6399333845067607)	(5.0, 1.2427386625877046)	(6.0, 1.0709926631752114)	(7.0, 0.7989521582802922)	(8.0, 0.7877623521419127)	(9.0, 0.7502765015783416)	('>10', 17.035920355375783)	('>50', 7.580534168445154)	('>100', 8.35486875322101)	('>500', 0.45038969706977255)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
UHRRep2_1	(1.0, 47.224794143426784)	(2.0, 6.219522733725912)	(3.0, 2.911003296174216)	(4.0, 1.9184474649087073)	(5.0, 1.574015777193437)	(6.0, 1.2258805229435947)	(7.0, 1.1406984926484203)	(8.0, 1.0073700974038)	(9.0, 0.96107551572164)	('>10', 16.552473365184007)	('>50', 7.287384417861068)	('>100', 10.467513548880905)	('>500', 1.509820623927509)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
UHRRep2_2	(1.0, 47.318617828969295)	(2.0, 5.692381763638384)	(3.0, 2.485093144698345)	(4.0, 1.725862005110922)	(5.0, 1.4567361702652988)	(6.0, 1.1962519906670124)	(7.0, 1.1579818031430935)	(8.0, 1.0814414280952558)	(9.0, 0.877745268693752)	('>10', 20.26159524955866)	('>50', 7.9416811723022604)	('>100', 8.384874634272805)	('>500', 0.41973754058491664)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
UHRRep3_1	(1.0, 42.06572110658615)	(2.0, 6.677973059099306)	(3.0, 3.2001771574865243)	(4.0, 2.1410130383589165)	(5.0, 1.7364674365095656)	(6.0, 1.237941948516306)	(7.0, 1.1228976051332462)	(8.0, 0.9678848044246162)	(9.0, 1.0305380618538882)	('>10', 17.678480766530196)	('>50', 8.40795912415067)	('>100', 12.931416287686476)	('>500', 0.8015296036641353)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
UHRRep3_2	(1.0, 41.62822853315762)	(2.0, 6.165944713901462)	(3.0, 2.7626845840579866)	(4.0, 1.86663497996176)	(5.0, 1.4772125781815433)	(6.0, 1.318959091743813)	(7.0, 1.1228976051332462)	(8.0, 0.9160338327590118)	(9.0, 0.9916498331046849)	('>10', 22.036662957881887)	('>50', 8.867596383394726)	('>100', 10.46633467641753)	('>500', 0.3791602303047325)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
