Sample	Strand inference method	Status	Provided strandedness	Inferred strandedness	Sense (%)	Antisense (%)	Unstranded (%)
HBRRep1	RSeQC	pass	auto	reverse	1.1699999824259426	93.60000008419156	5.229999933382495
HBRRep1 	Salmon	pass	auto	reverse	1.3366187996314205	98.66338120036858	0.0
HBRRep2	RSeQC	pass	auto	reverse	1.4100000157207249	92.27999976068735	6.3100002235919215
HBRRep2 	Salmon	pass	auto	reverse	1.3366574299455063	98.6633425700545	0.0
HBRRep3	RSeQC	pass	auto	reverse	1.199999999254942	93.17999991420656	5.620000086538493
HBRRep3 	Salmon	pass	auto	reverse	1.4139352009375827	98.58606479906243	0.0
UHRRep1	RSeQC	pass	auto	reverse	1.3000000316649676	91.15999971017241	7.540000258162618
UHRRep1 	Salmon	pass	auto	reverse	0.7415912610211627	99.25840873897884	0.0
UHRRep2	RSeQC	pass	auto	reverse	4.69000014714897	89.81999955669045	5.490000296160585
UHRRep2 	Salmon	pass	auto	reverse	1.2874751491053678	98.71252485089464	0.0
UHRRep3	RSeQC	pass	auto	reverse	1.0999999694526201	92.83000023297964	6.069999797567729
UHRRep3 	Salmon	pass	auto	reverse	0.9883620052566978	99.01163799474331	0.0
