Sample	Custom content: DupRadar_mqc_generalstats_custom_content_dupradar_dupRadar_intercept	Custom content: Biotype Counts_mqc_generalstats_custom_content_biotype_counts_percent_rRNA	Picard: Mark Duplicates_mqc_generalstats_picard_mark_duplicates_PERCENT_DUPLICATION	QualiMap: RNASeq_mqc_generalstats_qualimap_rnaseq_mqc_5_3_bias	QualiMap: RNASeq_mqc_generalstats_qualimap_rnaseq_reads_aligned	RSeQC: Bam Stat_mqc_generalstats_rseqc_bam_stat_proper_pairs_percent	Samtools: stats_mqc_generalstats_samtools_stats_error_rate	Samtools: stats_mqc_generalstats_samtools_stats_non_primary_alignments	Samtools: stats_mqc_generalstats_samtools_stats_reads_mapped	Samtools: stats_mqc_generalstats_samtools_stats_reads_mapped_percent	Samtools: stats_mqc_generalstats_samtools_stats_reads_properly_paired_percent	Samtools: stats_mqc_generalstats_samtools_stats_reads_MQ0_percent	Samtools: stats_mqc_generalstats_samtools_stats_raw_total_sequences_1	Samtools: flagstat_mqc_generalstats_samtools_flagstat_flagstat_total_1	Samtools: flagstat_mqc_generalstats_samtools_flagstat_mapped_passed_1	Samtools: flagstat_mqc_generalstats_samtools_flagstat_mapped_passed_pct_1	STAR_mqc_generalstats_star_total_reads_1	STAR_mqc_generalstats_star_mapped_1	STAR_mqc_generalstats_star_mapped_percent_1	STAR_mqc_generalstats_star_uniquely_mapped_1	STAR_mqc_generalstats_star_uniquely_mapped_percent_1	STAR_mqc_generalstats_star_multimapped_1	FastQC (raw)_mqc_generalstats_fastqc_raw_percent_duplicates	FastQC (raw)_mqc_generalstats_fastqc_raw_percent_gc	FastQC (raw)_mqc_generalstats_fastqc_raw_avg_sequence_length	FastQC (raw)_mqc_generalstats_fastqc_raw_median_sequence_length	FastQC (raw)_mqc_generalstats_fastqc_raw_percent_fails	FastQC (raw)_mqc_generalstats_fastqc_raw_total_sequences	Cutadapt_mqc_generalstats_cutadapt_percent_trimmed	FastQC (trimmed)_mqc_generalstats_fastqc_trimmed_percent_duplicates_1	FastQC (trimmed)_mqc_generalstats_fastqc_trimmed_percent_gc_1	FastQC (trimmed)_mqc_generalstats_fastqc_trimmed_avg_sequence_length_1	FastQC (trimmed)_mqc_generalstats_fastqc_trimmed_median_sequence_length_1	FastQC (trimmed)_mqc_generalstats_fastqc_trimmed_percent_fails_1	FastQC (trimmed)_mqc_generalstats_fastqc_trimmed_total_sequences_1
HBRRep1	0.00321143260103349	0.0	14.251800000000001	1.31	0.118111	84.31999060725757	0.1172831	0.00226	0.236222	100.0	100.0	0.022013190981364988	0.236222	0.238482	0.238482	100.0	0.118448	0.118111	99.71	0.117362	99.08	0.000749													
HBRRep1_1																							42.68581693668773	50.0	100.0	100	9.090909090909092	0.118571	0.9803071577367147	42.447318654599485	49.0	197.99280697014723	100	9.090909090909092	0.118448
HBRRep1_2																							43.55955503453627	50.0	100.0	100	9.090909090909092	0.118571	1.4622631166136746	43.21812103201405	50.0	197.15551127921114	100	9.090909090909092	0.118448
HBRRep2	0.00599499428804956	0.0	16.0225	1.22	0.14418	82.4851928788477	0.1171027	0.002882	0.288363	100.0	99.9989596446146	0.018726396937193746	0.288363	0.291245	0.291245	100.0	0.14465999999999998	0.144183	99.67	0.143195	98.99	0.000988													
HBRRep2_1																							44.349080966124866	50.0	100.0	100	9.090909090909092	0.14482599999999998	1.0181804372143122	44.06885109912899	50.0	197.91338310521223	100	9.090909090909092	0.14465999999999998
HBRRep2_2																							45.194923563448555	50.0	100.0	100	0.0	0.14482599999999998	1.5035214671398782	44.8029863127333	50.0	197.0935296557445	100	9.090909090909092	0.14465999999999998
HBRRep3	0.0033534340491044	0.0	14.913599999999999	1.37	0.12925699999999998	83.61308807869395	0.119717	0.002546	0.25851599999999997	100.0	99.99922635349456	0.02243574865772331	0.25851599999999997	0.26106199999999996	0.26106199999999996	100.0	0.12963	0.12925899999999999	99.71	0.128401	99.05	0.0008579999999999999													
HBRRep3_1																							43.329018538209056	50.0	100.0	100	9.090909090909092	0.12978599999999998	1.0196862527545343	43.05947697292294	50.0	197.91572166936666	100	9.090909090909092	0.12963
HBRRep3_2																							44.05791071456089	50.0	100.0	100	0.0	0.12978599999999998	1.544473209745273	43.67353236133611	50.0	197.0291984880043	100	9.090909090909092	0.12963
UHRRep1	0.00983289040123407	0.0	21.1218	1.45	0.22661599999999998	74.39106045501212	0.1465891	0.017216	0.453233	100.0	99.99977936293253	0.15532849549790062	0.453233	0.470449	0.470449	100.0	0.22696999999999998	0.22661699999999999	99.85	0.22183899999999998	97.74	0.004778													
UHRRep1_1																							44.53446790661649	49.0	100.0	100	9.090909090909092	0.22739199999999998	1.1760220236419927	44.079207319030814	49.0	197.61325725866854	100	9.090909090909092	0.22696999999999998
