Module	Section	Sample Name	Source
Picard	DuplicationMetrics	UHRRep2	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/51/UHRRep2.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	UHRRep3	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/53/UHRRep3.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	HBRRep2	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/56/HBRRep2.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	UHRRep1	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/54/UHRRep1.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	HBRRep1	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/52/HBRRep1.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	HBRRep3	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/55/HBRRep3.markdup.sorted.MarkDuplicates.metrics.txt
QualiMap	rna_genome_results	HBRRep3	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/49/HBRRep3/rnaseq_qc_results.txt
QualiMap	rna_genome_results	UHRRep3	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/47/UHRRep3/rnaseq_qc_results.txt
QualiMap	rna_genome_results	HBRRep2	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/50/HBRRep2/rnaseq_qc_results.txt
QualiMap	rna_genome_results	HBRRep1	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/46/HBRRep1/rnaseq_qc_results.txt
QualiMap	rna_genome_results	UHRRep2	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/45/UHRRep2/rnaseq_qc_results.txt
QualiMap	rna_genome_results	UHRRep1	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/48/UHRRep1/rnaseq_qc_results.txt
QualiMap	rna_coverage_histogram	HBRRep3	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/49/HBRRep3/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	UHRRep3	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/47/UHRRep3/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	HBRRep2	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/50/HBRRep2/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	HBRRep1	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/46/HBRRep1/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	UHRRep2	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/45/UHRRep2/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	UHRRep1	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/48/UHRRep1/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
RSeQC	read_distribution	HBRRep3	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/58/HBRRep3.read_distribution.txt
RSeQC	read_distribution	UHRRep1	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/60/UHRRep1.read_distribution.txt
RSeQC	read_distribution	UHRRep2	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/57/UHRRep2.read_distribution.txt
RSeQC	read_distribution	UHRRep3	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/59/UHRRep3.read_distribution.txt
RSeQC	read_distribution	HBRRep2	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/62/HBRRep2.read_distribution.txt
RSeQC	read_distribution	HBRRep1	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/61/HBRRep1.read_distribution.txt
RSeQC	inner_distance	UHRRep1	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/161/UHRRep1.inner_distance_freq.txt
RSeQC	inner_distance	HBRRep3	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/160/HBRRep3.inner_distance_freq.txt
RSeQC	inner_distance	UHRRep2	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/156/UHRRep2.inner_distance_freq.txt
RSeQC	inner_distance	HBRRep2	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/157/HBRRep2.inner_distance_freq.txt
RSeQC	inner_distance	UHRRep3	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/158/UHRRep3.inner_distance_freq.txt
RSeQC	inner_distance	HBRRep1	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/159/HBRRep1.inner_distance_freq.txt
RSeQC	read_duplication	HBRRep3	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/124/HBRRep3.pos.DupRate.xls
RSeQC	read_duplication	UHRRep1	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/120/UHRRep1.pos.DupRate.xls
RSeQC	read_duplication	HBRRep1	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/122/HBRRep1.pos.DupRate.xls
RSeQC	read_duplication	UHRRep2	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/119/UHRRep2.pos.DupRate.xls
RSeQC	read_duplication	UHRRep3	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/123/UHRRep3.pos.DupRate.xls
RSeQC	read_duplication	HBRRep2	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/121/HBRRep2.pos.DupRate.xls
RSeQC	junction_annotation	UHRRep3	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/153/UHRRep3.junction_annotation.log
RSeQC	junction_annotation	UHRRep2	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/150/UHRRep2.junction_annotation.log
RSeQC	junction_annotation	HBRRep1	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/155/HBRRep1.junction_annotation.log
RSeQC	junction_annotation	HBRRep3	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/151/HBRRep3.junction_annotation.log
RSeQC	junction_annotation	HBRRep2	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/152/HBRRep2.junction_annotation.log
RSeQC	junction_annotation	UHRRep1	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/154/UHRRep1.junction_annotation.log
RSeQC	junction_saturation	HBRRep2	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/95/HBRRep2.junctionSaturation_plot.r
RSeQC	junction_saturation	UHRRep1	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/98/UHRRep1.junctionSaturation_plot.r
RSeQC	junction_saturation	HBRRep1	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/97/HBRRep1.junctionSaturation_plot.r
RSeQC	junction_saturation	UHRRep3	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/96/UHRRep3.junctionSaturation_plot.r
RSeQC	junction_saturation	HBRRep3	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/94/HBRRep3.junctionSaturation_plot.r
RSeQC	junction_saturation	UHRRep2	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/93/UHRRep2.junctionSaturation_plot.r
RSeQC	infer_experiment	UHRRep1	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/71/UHRRep1.infer_experiment.txt
RSeQC	infer_experiment	HBRRep3	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/70/HBRRep3.infer_experiment.txt
RSeQC	infer_experiment	HBRRep2	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/72/HBRRep2.infer_experiment.txt
RSeQC	infer_experiment	UHRRep3	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/73/UHRRep3.infer_experiment.txt
RSeQC	infer_experiment	UHRRep2	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/69/UHRRep2.infer_experiment.txt
RSeQC	infer_experiment	HBRRep1	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/74/HBRRep1.infer_experiment.txt
RSeQC	bam_stat	UHRRep3	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/68/UHRRep3.bam_stat.txt
RSeQC	bam_stat	HBRRep3	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/64/HBRRep3.bam_stat.txt
RSeQC	bam_stat	HBRRep2	/home/ash022/rnaseq_nextflow/work/87/7438735532de1ceb4992a6942dd98d/65/HBRRep2.bam_stat.txt
