UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	1
0	1
0	2
0	1
0	0
1	0
0	0
0	0
0	0
0	1
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	4
0	4
0	4
11	0
1	2
2	1
0	0
0	1
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
7	6
0	3
0	3
7	5
0	0
6	0
2	0
0	6
0	62
0	62
0	0
0	0
0	41
1	41
0	2
1	2
0	27
1	27
7	23
0	16
1	20
0	1
0	5
0	0
0	0
0	24
0	25
0	24
0	25
0	22
0	25
0	0
0	0
0	0
0	1
0	1
1	0
0	0
0	0
0	0
0	49
1	51
0	51
3	0
0	0
0	1
21	56
0	0
0	11
1	91
1	81
0	12
9	11
0	17
0	1
0	0
0	0
8	433
0	344
3	267
1	2
0	134
0	124
1	74
0	81
0	60
0	6
0	18
0	251
0	233
0	253
0	242
1	246
0	242
0	239
0	163
0	154
0	7
5	30
0	228
0	153
0	2
2	55
2	40
0	28
0	37
0	25
0	34
0	36
0	24
0	15
0	16
0	16
0	20
0	8
0	12
0	6
0	7
0	0
0	0
66	386
5	171
6	14
15	8
0	8
0	7
2	0
0	13
0	13
0	194
3	179
4	13
0	194
0	194
55	62
0	181
0	10
0	1
0	1
0	28
0	0
4	0
9	0
0	0
0	0
1	0
1	0
1	81
78	95
1	47
0	86
0	0
0	19
0	0
0	0
0	0
1	7
1	77
3	0
7	77
3	77
2	24
8	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	5
1	7
0	4
0	1
0	3
0	6
0	1
4	22
0	19
0	29
0	45
0	27
0	29
0	28
0	6
0	0
0	0
2	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	1
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	46
1	51
20	46
1	46
12	11
0	52
2	0
0	38
0	83
0	81
0	78
0	67
8	54
1	93
0	78
0	83
6	35
0	3
0	3
0	6
0	12
0	0
6	5
0	0
1	0
163	9
8	17
0	4
0	0
1	17
