UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
1	0
0	0
0	0
0	0
0	0
2	0
1	0
2	0
0	0
0	0
1	0
1	0
0	0
0	0
0	0
0	7
0	5
0	5
1	0
0	0
2	0
0	0
0	0
0	0
11	84
1	108
2	51
33	66
3	6
9	0
0	0
0	0
0	0
2	11
29	0
0	28
2	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	2
0	9
1	10
1	4
45	11
1	4
2	9
2	0
0	4
1	3
0	3
12	2
0	0
1	4
0	0
0	0
0	0
0	0
0	0
1	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
16	0
0	0
0	0
0	0
0	0
0	0
0	0
7	3
0	0
0	0
8	3
0	0
2	0
0	0
0	3
2	64
0	64
0	0
0	0
0	5
0	5
0	0
0	0
0	64
2	64
6	46
0	31
0	42
0	2
0	10
0	1
0	1
0	24
0	26
0	25
0	23
0	20
0	24
0	0
0	0
0	0
0	1
0	2
0	0
1	0
0	0
0	0
0	43
0	48
0	43
0	0
0	0
0	2
27	49
0	0
0	15
0	2
0	2
0	0
1	0
0	0
0	0
2	0
0	0
3	167
1	123
0	102
0	2
0	56
0	57
0	28
1	29
1	21
0	7
0	17
0	145
0	131
2	143
0	135
0	140
0	141
0	133
0	117
0	112
0	3
6	19
0	134
0	117
0	1
0	43
0	58
0	45
0	60
0	44
0	53
0	60
2	44
0	36
0	29
0	25
0	30
0	17
0	20
0	5
0	9
0	0
2	0
23	98
1	38
1	7
8	1
0	1
0	2
1	0
0	4
0	4
0	53
1	45
0	1
0	52
0	53
22	20
0	55
0	1
0	0
0	0
0	8
0	0
0	0
2	0
0	0
0	0
0	0
2	0
0	55
70	60
0	24
0	9
0	0
0	4
0	0
0	0
0	0
0	0
0	2
8	0
0	2
1	2
0	0
15	2
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
1	1
0	1
0	1
0	1
0	1
0	0
0	0
3	67
1	62
0	68
0	73
0	22
0	25
0	25
2	0
0	0
0	0
2	16
0	0
0	0
0	0
0	1
0	1
1	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	2
0	0
0	0
0	0
0	0
0	16
0	16
2	16
0	13
4	0
0	14
0	0
0	12
0	13
0	14
0	12
0	17
0	8
0	20
0	12
0	13
5	14
0	2
0	0
0	0
0	3
0	0
1	2
0	0
0	0
5	0
0	0
0	0
0	0
0	0
