## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT HBRRep1.sorted.bam --OUTPUT HBRRep1.markdup.sorted.bam --METRICS_FILE HBRRep1.markdup.sorted.MarkDuplicates.metrics.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --TMP_DIR tmp --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE chr22_with_ERCC92.fa --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Oct 17 11:55:53 GMT 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	118111	2260	0	0	16833	1	0.142518	374004

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.000007	92730	0	92731
2.0	1.729216	5442	1	5441
3.0	2.260959	1500	0	1500
4.0	2.648708	641	0	641
5.0	2.931456	306	0	306
6.0	3.137637	206	0	206
7.0	3.287985	126	0	126
8.0	3.397619	93	0	93
9.0	3.477565	69	0	69
10.0	3.535862	37	0	37
11.0	3.578373	23	0	23
12.0	3.609371	17	0	17
13.0	3.631976	21	0	21
14.0	3.648459	14	0	14
15.0	3.660479	9	0	9
16.0	3.669243	8	0	8
17.0	3.675635	7	0	7
18.0	3.680295	5	0	5
19.0	3.683694	4	0	4
20.0	3.686172	4	0	4
21.0	3.687979	3	0	3
22.0	3.689297	1	0	1
23.0	3.690258	3	0	3
24.0	3.690959	0	0	0
25.0	3.69147	0	0	0
26.0	3.691842	1	0	1
27.0	3.692114	2	0	2
28.0	3.692312	0	0	0
29.0	3.692456	1	0	1
30.0	3.692562	1	0	1
31.0	3.692639	0	0	0
32.0	3.692695	0	0	0
33.0	3.692735	0	0	0
34.0	3.692765	1	0	1
35.0	3.692787	0	0	0
36.0	3.692803	0	0	0
37.0	3.692814	0	0	0
38.0	3.692823	1	0	1
39.0	3.692829	0	0	0
40.0	3.692833	0	0	0
41.0	3.692837	0	0	0
42.0	3.692839	0	0	0
43.0	3.692841	0	0	0
44.0	3.692842	0	0	0
45.0	3.692843	0	0	0
46.0	3.692844	0	0	0
47.0	3.692844	0	0	0
48.0	3.692844	0	0	0
49.0	3.692845	1	0	1
50.0	3.692845	0	0	0
51.0	3.692845	0	0	0
52.0	3.692845	0	0	0
53.0	3.692845	0	0	0
54.0	3.692845	0	0	0
55.0	3.692845	0	0	0
56.0	3.692845	0	0	0
57.0	3.692845	0	0	0
58.0	3.692845	0	0	0
59.0	3.692845	0	0	0
60.0	3.692845	0	0	0
61.0	3.692845	0	0	0
62.0	3.692845	0	0	0
63.0	3.692845	0	0	0
64.0	3.692845	0	0	0
65.0	3.692845	0	0	0
66.0	3.692845	0	0	0
67.0	3.692845	0	0	0
68.0	3.692845	0	0	0
69.0	3.692845	0	0	0
70.0	3.692845	0	0	0
71.0	3.692845	0	0	0
72.0	3.692845	0	0	0
73.0	3.692845	0	0	0
74.0	3.692845	0	0	0
75.0	3.692845	0	0	0
76.0	3.692845	0	0	0
77.0	3.692845	0	0	0
78.0	3.692845	0	0	0
79.0	3.692845	0	0	0
80.0	3.692845	0	0	0
81.0	3.692845	0	0	0
82.0	3.692845	1	0	1
83.0	3.692845	0	0	0
84.0	3.692845	0	0	0
85.0	3.692845	0	0	0
86.0	3.692845	0	0	0
87.0	3.692845	0	0	0
88.0	3.692845	0	0	0
89.0	3.692845	0	0	0
90.0	3.692845	0	0	0
91.0	3.692845	0	0	0
92.0	3.692845	0	0	0
93.0	3.692845	0	0	0
94.0	3.692845	0	0	0
95.0	3.692845	0	0	0
96.0	3.692845	0	0	0
97.0	3.692845	0	0	0
98.0	3.692845	0	0	0
99.0	3.692845	0	0	0
100.0	3.692845	0	0	0

