## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT HBRRep3.sorted.bam --OUTPUT HBRRep3.markdup.sorted.bam --METRICS_FILE HBRRep3.markdup.sorted.MarkDuplicates.metrics.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --TMP_DIR tmp --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE chr22_with_ERCC92.fa --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Oct 17 11:55:47 GMT 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	2	129257	2546	0	0	19277	0	0.149136	389098

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	100366	100366
2.0	1.717346	6002	6002
3.0	2.231932	1734	1734
4.0	2.601068	761	761
5.0	2.865866	376	376
6.0	3.055818	237	237
7.0	3.19208	125	125
8.0	3.289827	90	90
9.0	3.359945	68	68
10.0	3.410244	45	45
11.0	3.446326	36	36
12.0	3.472209	32	32
13.0	3.490776	24	24
14.0	3.504095	17	17
15.0	3.51365	14	14
16.0	3.520503	8	8
17.0	3.52542	9	9
18.0	3.528947	6	6
19.0	3.531477	3	3
20.0	3.533292	5	5
21.0	3.534594	5	5
22.0	3.535528	2	2
23.0	3.536198	2	2
24.0	3.536678	4	4
25.0	3.537023	3	3
26.0	3.53727	0	0
27.0	3.537448	2	2
28.0	3.537575	2	2
29.0	3.537666	0	0
30.0	3.537732	0	0
31.0	3.537779	0	0
32.0	3.537812	0	0
33.0	3.537836	0	0
34.0	3.537854	0	0
35.0	3.537866	0	0
36.0	3.537875	0	0
37.0	3.537882	0	0
38.0	3.537886	0	0
39.0	3.537889	0	0
40.0	3.537892	0	0
41.0	3.537893	1	1
42.0	3.537895	0	0
43.0	3.537896	0	0
44.0	3.537896	0	0
45.0	3.537897	0	0
46.0	3.537897	0	0
47.0	3.537897	0	0
48.0	3.537897	0	0
49.0	3.537897	0	0
50.0	3.537898	0	0
51.0	3.537898	0	0
52.0	3.537898	0	0
53.0	3.537898	0	0
54.0	3.537898	0	0
55.0	3.537898	0	0
56.0	3.537898	0	0
57.0	3.537898	0	0
58.0	3.537898	0	0
59.0	3.537898	0	0
60.0	3.537898	0	0
61.0	3.537898	0	0
62.0	3.537898	0	0
63.0	3.537898	0	0
64.0	3.537898	0	0
65.0	3.537898	0	0
66.0	3.537898	0	0
67.0	3.537898	0	0
68.0	3.537898	0	0
69.0	3.537898	0	0
70.0	3.537898	0	0
71.0	3.537898	0	0
72.0	3.537898	0	0
73.0	3.537898	0	0
74.0	3.537898	0	0
75.0	3.537898	0	0
76.0	3.537898	0	0
77.0	3.537898	0	0
78.0	3.537898	0	0
79.0	3.537898	1	1
80.0	3.537898	0	0
81.0	3.537898	0	0
82.0	3.537898	0	0
83.0	3.537898	0	0
84.0	3.537898	0	0
85.0	3.537898	0	0
86.0	3.537898	0	0
87.0	3.537898	0	0
88.0	3.537898	0	0
89.0	3.537898	0	0
90.0	3.537898	0	0
91.0	3.537898	0	0
92.0	3.537898	0	0
93.0	3.537898	0	0
94.0	3.537898	0	0
95.0	3.537898	0	0
96.0	3.537898	0	0
97.0	3.537898	0	0
98.0	3.537898	0	0
99.0	3.537898	0	0
100.0	3.537898	0	0

