## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT UHRRep3.sorted.bam --OUTPUT UHRRep3.markdup.sorted.bam --METRICS_FILE UHRRep3.markdup.sorted.MarkDuplicates.metrics.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --TMP_DIR tmp --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE chr22_with_ERCC92.fa --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Oct 17 11:55:23 GMT 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	184615	12832	0	0	36561	3	0.198039	402314

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.000013	130993	0	130996
2.0	1.63201	10325	3	10322
3.0	2.031425	3128	0	3128
4.0	2.283852	1352	0	1352
5.0	2.443382	739	0	739
6.0	2.544204	436	0	436
7.0	2.607922	266	0	266
8.0	2.648192	210	0	210
9.0	2.673641	124	0	124
10.0	2.689725	101	0	101
11.0	2.69989	76	0	76
12.0	2.706314	63	0	63
13.0	2.710374	48	0	48
14.0	2.71294	29	0	29
15.0	2.714562	29	0	29
16.0	2.715586	20	0	20
17.0	2.716234	20	0	20
18.0	2.716643	13	0	13
19.0	2.716902	15	0	15
20.0	2.717066	13	0	13
21.0	2.717169	2	0	2
22.0	2.717234	6	0	6
23.0	2.717276	5	0	5
24.0	2.717302	5	0	5
25.0	2.717318	2	0	2
26.0	2.717328	5	0	5
27.0	2.717335	5	0	5
28.0	2.717339	3	0	3
29.0	2.717342	1	0	1
30.0	2.717344	2	0	2
31.0	2.717345	1	0	1
32.0	2.717345	2	0	2
33.0	2.717346	2	0	2
34.0	2.717346	2	0	2
35.0	2.717346	0	0	0
36.0	2.717346	3	0	3
37.0	2.717346	0	0	0
38.0	2.717346	0	0	0
39.0	2.717346	1	0	1
40.0	2.717346	1	0	1
41.0	2.717346	0	0	0
42.0	2.717346	0	0	0
43.0	2.717346	0	0	0
44.0	2.717346	0	0	0
45.0	2.717346	0	0	0
46.0	2.717346	0	0	0
47.0	2.717346	0	0	0
48.0	2.717346	0	0	0
49.0	2.717346	1	0	1
50.0	2.717346	0	0	0
51.0	2.717346	1	0	1
52.0	2.717346	1	0	1
53.0	2.717346	0	0	0
54.0	2.717346	0	0	0
55.0	2.717346	0	0	0
56.0	2.717346	0	0	0
57.0	2.717346	0	0	0
58.0	2.717346	0	0	0
59.0	2.717346	0	0	0
60.0	2.717346	0	0	0
61.0	2.717346	0	0	0
62.0	2.717346	0	0	0
63.0	2.717346	0	0	0
64.0	2.717346	0	0	0
65.0	2.717346	0	0	0
66.0	2.717346	0	0	0
67.0	2.717346	0	0	0
68.0	2.717346	0	0	0
69.0	2.717346	0	0	0
70.0	2.717346	0	0	0
71.0	2.717346	1	0	1
72.0	2.717346	0	0	0
73.0	2.717346	0	0	0
74.0	2.717346	0	0	0
75.0	2.717346	0	0	0
76.0	2.717346	1	0	1
77.0	2.717346	0	0	0
78.0	2.717346	0	0	0
79.0	2.717346	0	0	0
80.0	2.717346	0	0	0
81.0	2.717346	0	0	0
82.0	2.717346	0	0	0
83.0	2.717346	0	0	0
84.0	2.717346	0	0	0
85.0	2.717346	0	0	0
86.0	2.717346	0	0	0
87.0	2.717346	0	0	0
88.0	2.717346	0	0	0
89.0	2.717346	0	0	0
90.0	2.717346	0	0	0
91.0	2.717346	0	0	0
92.0	2.717346	0	0	0
93.0	2.717346	1	0	1
94.0	2.717346	0	0	0
95.0	2.717346	0	0	0
96.0	2.717346	0	0	0
97.0	2.717346	0	0	0
98.0	2.717346	0	0	0
99.0	2.717346	0	0	0
100.0	2.717346	0	0	0

