#Transcript position	Transcript coverage profile
0.0	68.55452618783175
1.0	94.98323127261298
2.0	121.91950414241448
3.0	146.848636254947
4.0	174.5167878972933
5.0	192.71979118582527
6.0	216.81776183310083
7.0	240.04210547921937
8.0	259.83507770190283
9.0	268.7788901453427
10.0	272.9162561400167
11.0	283.2553422948675
12.0	289.9121353331593
13.0	297.94081240161654
14.0	303.65628567354514
15.0	311.13700384681465
16.0	316.6068129570749
17.0	318.16265688379866
18.0	317.16365624902403
19.0	312.77626651743805
20.0	312.3213775625461
21.0	311.36804734906127
22.0	313.7480849640604
23.0	317.81052997507146
24.0	324.3980820862978
25.0	317.5411964120566
26.0	315.52155569170077
27.0	306.56702741056665
28.0	296.6443949568987
29.0	293.25529723880544
30.0	290.72074317213287
31.0	295.06152809606647
32.0	298.77214776172787
33.0	298.8941112456105
34.0	302.8246009315959
35.0	312.10702816480665
36.0	319.79256664613206
37.0	328.54433595350287
38.0	338.2621353660413
39.0	333.0142122316681
40.0	326.2972712341351
41.0	333.02113629038803
42.0	325.74234277805715
43.0	322.06658442724085
44.0	318.49973177161837
45.0	315.79974050135934
46.0	316.251547050565
47.0	317.6112001320071
48.0	306.55703099920873
49.0	304.79243157532966
50.0	303.86115810939657
51.0	297.48016993100595
52.0	297.5179516594419
53.0	300.52785024459183
54.0	292.63872046005895
55.0	281.51520286351956
56.0	279.30955150406095
57.0	277.1902622911106
58.0	278.7978285357582
59.0	278.9771583464994
60.0	281.80407781429676
61.0	280.8072516805185
62.0	275.84352386738294
63.0	273.18694812358956
64.0	280.11140889760594
65.0	289.3640429741797
66.0	287.4532338249475
67.0	284.8809947651125
68.0	282.6031246856524
69.0	274.1948954995216
70.0	268.17010490911713
71.0	267.1259228208422
72.0	264.58424280803894
73.0	263.01365082542037
74.0	262.2516803488353
75.0	256.97751450067716
76.0	250.6960927922283
77.0	242.1328464190033
78.0	236.15750909268374
79.0	230.78991977776
80.0	222.03335211271207
81.0	200.6180361641084
82.0	188.10758053224643
83.0	179.65033205093985
84.0	174.78688340233307
85.0	174.03547186291496
86.0	167.11203636609335
87.0	159.19658543528575
88.0	151.86871611647774
89.0	139.680414748923
90.0	127.78205322498752
91.0	118.50302144342487
92.0	103.06790128743847
93.0	87.0655719569041
94.0	71.7528576539775
95.0	62.06684275190836
96.0	49.06148598875558
97.0	37.55067046243495
98.0	23.362262488133332
99.0	7.538954069869308
