#Transcript position	Transcript coverage profile
0.0	116.58285786262688
1.0	146.90303379171425
2.0	176.90767297159172
3.0	205.14728978887413
4.0	236.11377606520435
5.0	256.40231686513596
6.0	282.63645825686723
7.0	307.27596992496575
8.0	327.9563785775201
9.0	339.4079706302132
10.0	346.08862813994057
11.0	357.52470814044904
12.0	365.2329489575242
13.0	373.57848643263253
14.0	379.88937871102434
15.0	388.0362787443842
16.0	394.5425537730915
17.0	396.60096176095016
18.0	396.4738975287346
19.0	393.10826210743164
20.0	393.05952637666957
21.0	392.7713738957357
22.0	396.3646802228032
23.0	401.06045685300734
24.0	407.815728333317
25.0	401.38922140843556
26.0	398.75065249138953
27.0	389.9349327367821
28.0	380.1621285654046
29.0	377.5758259932173
30.0	375.2043343259923
31.0	379.92905355030496
32.0	384.03500599255
33.0	384.71529029148314
34.0	388.8132727752218
35.0	397.95670229563166
36.0	405.63921831214316
37.0	413.7534750801104
38.0	423.6860801220669
39.0	419.1774518987424
40.0	412.40879055977535
41.0	419.0692923586207
42.0	412.65944969497536
43.0	408.88812089035446
44.0	406.1547195849608
45.0	403.54223978612333
46.0	403.83581392394404
47.0	404.55143194756363
48.0	394.4386183793913
49.0	392.4813791663212
50.0	390.40103747104115
51.0	383.53272935098397
52.0	383.31512829802705
53.0	387.63315399267765
54.0	380.8119473724985
55.0	369.49447561649976
56.0	366.1780986778258
57.0	364.0804315752377
58.0	365.8609560303769
59.0	367.10412023695807
60.0	370.58127795954124
61.0	370.27550399198975
62.0	366.0227941623508
63.0	362.744838417877
64.0	368.6300386028469
65.0	377.1366626235
66.0	375.5312863471632
67.0	373.6716332121276
68.0	370.5161808637072
69.0	361.4256281492088
70.0	355.6192422466406
71.0	355.2574510631772
72.0	353.3585859901063
73.0	352.7387844750453
74.0	352.46950796193005
75.0	345.88003812584134
76.0	338.6536287341679
77.0	330.7390884746871
78.0	325.9073662447107
79.0	322.74344659921167
80.0	314.37849771763223
81.0	293.11032528917536
82.0	279.90151988981484
83.0	269.6749227483497
84.0	263.78495012788323
85.0	262.67508371928534
86.0	253.56032885560126
87.0	244.1697052761962
88.0	236.4845364475637
89.0	221.41626884170384
90.0	206.94277679606623
91.0	193.9094642125765
92.0	173.1640459128995
93.0	151.54706209690386
94.0	129.15155939819698
95.0	111.00903552025333
96.0	88.18466783101512
97.0	66.15850682189946
98.0	40.83103460103422
99.0	12.602296086605126
