#Transcript position	Transcript coverage profile
0.0	0.7432926590268193
1.0	0.8540505413017918
2.0	0.9416662574058656
3.0	0.9304257044128983
4.0	0.9978876744956865
5.0	1.151159546390513
6.0	1.319662263172154
7.0	1.29168227794715
8.0	1.2424085207457747
9.0	1.184118811670845
10.0	1.1781259223249076
11.0	1.1187708568390635
12.0	1.2240267585275897
13.0	1.2429462825678539
14.0	1.2507925726959386
15.0	1.2653893589347522
16.0	1.2353542217093485
17.0	1.2516686917485844
18.0	1.2223072042039982
19.0	1.2113280062189453
20.0	1.2007620386751183
21.0	1.2359360516718736
22.0	1.2182260646889869
23.0	1.2539141670134895
24.0	1.2497340131321348
25.0	1.148507664601362
26.0	1.1193259243675653
27.0	1.1526761647249717
28.0	1.13112296118319
29.0	1.1962239575919917
30.0	1.3336120594351681
31.0	1.3695036020777724
32.0	1.4386802456750143
33.0	1.398260810267758
34.0	1.3931990123699571
35.0	1.3612938851875374
36.0	1.4682689285891972
37.0	1.503627977521823
38.0	1.470210528702915
39.0	1.3950399435350902
40.0	1.511571148498751
41.0	1.5236908130955984
42.0	1.4287224822987143
43.0	1.375295357564975
44.0	1.3698012078059287
45.0	1.323085941179932
46.0	1.3631818323305813
47.0	1.4286090428142297
48.0	1.469703409037451
49.0	1.3643901464786836
50.0	1.4909397379281626
51.0	1.404302733906802
52.0	1.493039643403942
53.0	1.5521522626805684
54.0	1.6766970588713843
55.0	1.6287876392255858
56.0	1.5686927539971744
57.0	1.605479583452174
58.0	1.5159300607529667
59.0	1.5550964231108169
60.0	1.5618598826320749
61.0	1.5506694282917077
62.0	1.5491371839398604
63.0	1.476927793044503
64.0	1.4601697780423752
65.0	1.4448522748409276
66.0	1.419817084133325
67.0	1.4704266287128471
68.0	1.5228832718046712
69.0	1.5037840863663987
70.0	1.590955526130692
71.0	1.5984489765790346
72.0	1.549021372263561
73.0	1.4389018339034834
74.0	1.4933656244284041
75.0	1.4570163041254007
76.0	1.3701309388614187
77.0	1.311217409197403
78.0	1.2797222441031502
79.0	1.267304405910911
80.0	1.194672924157683
81.0	1.2374419632154305
82.0	1.3272740068315192
83.0	1.3213293211476198
84.0	1.3370422529400892
85.0	1.2655160116108366
86.0	1.2208933170410057
87.0	1.1226210125762202
88.0	1.116853364243321
89.0	1.165996113213982
90.0	1.1605987041378452
91.0	1.050637673660614
92.0	0.9895371808836728
93.0	1.001680670954583
94.0	0.897342040987368
95.0	0.7663840798006827
96.0	0.5634543949256048
97.0	0.3167255387695157
98.0	0.1704544518908653
99.0	0.06683003079793172
