#Transcript position	Transcript coverage profile
0.0	101.88216346556304
1.0	135.93389986454244
2.0	171.5629565458229
3.0	205.6424216149931
4.0	241.85946459508625
5.0	264.7136036142757
6.0	292.89225109092837
7.0	319.1612842850045
8.0	344.90882567978434
9.0	356.2900282495006
10.0	360.8726637683948
11.0	365.9657768617241
12.0	380.80405862231595
13.0	393.992396272823
14.0	398.4254243500898
15.0	408.97577280844473
16.0	414.3586091435771
17.0	415.2334628392612
18.0	427.8800121280237
19.0	426.1867642792503
20.0	430.5934897457481
21.0	424.6470806649194
22.0	417.2580765672655
23.0	417.6554770909773
24.0	422.80538154414404
25.0	416.27160009175327
26.0	411.2401665202398
27.0	401.0002394339617
28.0	395.35516335212304
29.0	398.64540443636537
30.0	400.6922008445951
31.0	403.62579203387253
32.0	402.17685534460236
33.0	404.2102528276453
34.0	405.9068815962617
35.0	410.1227407930957
36.0	414.53945965822965
37.0	420.45298303663037
38.0	429.41122804413
39.0	427.3004745696447
40.0	420.7818771466985
41.0	427.12273749313994
42.0	418.607385381303
43.0	417.55413597976417
44.0	413.91124896354995
45.0	411.6666554367217
46.0	409.748743297474
47.0	410.27368355383305
48.0	402.41001785988595
49.0	404.7581487832992
50.0	402.655127684027
51.0	395.5604572879167
52.0	400.07889954065405
53.0	403.31550584140575
54.0	395.78846007852525
55.0	387.2599446565254
56.0	385.5893435214011
57.0	380.203253614677
58.0	377.7707978359369
59.0	378.14372561735104
60.0	379.6371550510923
61.0	380.28154317391443
62.0	377.627477545342
63.0	378.4390248177893
64.0	384.5363942853316
65.0	401.5926421514996
66.0	401.1613214173299
67.0	402.67859055147767
68.0	404.77357318454045
69.0	395.7937160768873
70.0	390.2932144830446
71.0	392.5187774826951
72.0	393.1353974923628
73.0	387.51594885981723
74.0	378.13239828592094
75.0	372.2026968309522
76.0	369.59159339437343
77.0	363.697201832174
78.0	358.8456042675331
79.0	348.50156140206644
80.0	334.8081687853848
81.0	311.38023547803584
82.0	293.0574828379036
83.0	280.55909666199915
84.0	273.6739280599016
85.0	277.2098832448056
86.0	269.4701264171154
87.0	253.4722866612084
88.0	233.92229523504398
89.0	208.41435929459595
90.0	182.74019746275667
91.0	164.38961782887097
92.0	138.24180478557201
93.0	113.75401671409767
94.0	91.75381237033902
95.0	80.55596519284015
96.0	59.55046218829554
97.0	44.61615255189148
98.0	28.41472865288695
99.0	10.108606324774396
