#Transcript position	Transcript coverage profile
0.0	203.02267907120108
1.0	244.6607267154829
2.0	291.2336589683715
3.0	335.75489942852346
4.0	382.3653871253856
5.0	413.02052890471634
6.0	449.1868915304574
7.0	481.9865886669234
8.0	513.8797675743357
9.0	531.6245174110489
10.0	540.5839073979621
11.0	547.2919724607542
12.0	570.8729276022913
13.0	590.7222263026497
14.0	601.8433525678768
15.0	616.6640065567691
16.0	622.9445047991067
17.0	623.2664463572617
18.0	637.986421379535
19.0	636.6381839555626
20.0	643.8083691895115
21.0	639.9045466442866
22.0	633.8892521443908
23.0	631.2540608674044
24.0	639.2755571768429
25.0	632.515932668013
26.0	627.0057380239873
27.0	612.781261299499
28.0	605.2437409531047
29.0	610.216331633686
30.0	617.4339882659433
31.0	623.1206738180161
32.0	622.2169472212835
33.0	627.7568733001673
34.0	631.8376987517308
35.0	636.8002942125613
36.0	644.7457797467434
37.0	651.4728439920307
38.0	658.6639984615774
39.0	654.2648043455906
40.0	646.750451640942
41.0	653.3850976587404
42.0	643.106003308261
43.0	642.9252126298663
44.0	638.3623123501397
45.0	632.991132817306
46.0	629.6610593254507
47.0	632.2136974672115
48.0	622.9624565803873
49.0	626.8256722661622
50.0	624.3388787916094
51.0	617.2682501161707
52.0	622.8433128185999
53.0	625.0802865516922
54.0	620.6452020770198
55.0	610.0033302292666
56.0	606.2601410047643
57.0	596.8543473677754
58.0	593.8662071889912
59.0	592.5484962883563
60.0	592.3094948924454
61.0	591.0179398243909
62.0	583.8830529207302
63.0	584.3581033118255
64.0	589.6635072718764
65.0	601.5736553383874
66.0	599.6917228222974
67.0	602.6054415564859
68.0	603.742376357777
69.0	595.6542513239872
70.0	590.7026992095675
71.0	594.9991597492651
72.0	598.7762908187633
73.0	596.3936519977992
74.0	589.5248344035172
75.0	584.1199316054494
76.0	582.047736230849
77.0	571.5717328670042
78.0	563.6349718283051
79.0	553.6476532385218
80.0	539.9579028060534
81.0	519.1935310268926
82.0	500.8529214694475
83.0	481.4181821406923
84.0	468.40731126483445
85.0	468.7096746516392
86.0	462.44988608714795
87.0	438.8805347906825
88.0	410.91143651565847
89.0	373.0646247139096
90.0	336.97308573399954
91.0	308.6641167858975
92.0	271.66243636903124
93.0	235.30977928956708
94.0	198.75997975760254
95.0	172.18908576980604
96.0	130.09014027452426
97.0	97.17053378492
98.0	60.504475972826285
99.0	20.059366424092463
