-250	-245	0
-245	-240	0
-240	-235	0
-235	-230	0
-230	-225	0
-225	-220	0
-220	-215	0
-215	-210	0
-210	-205	0
-205	-200	0
-200	-195	0
-195	-190	0
-190	-185	0
-185	-180	0
-180	-175	0
-175	-170	0
-170	-165	0
-165	-160	0
-160	-155	0
-155	-150	0
-150	-145	0
-145	-140	0
-140	-135	0
-135	-130	0
-130	-125	0
-125	-120	0
-120	-115	0
-115	-110	0
-110	-105	0
-105	-100	187
-100	-95	2576
-95	-90	3165
-90	-85	3890
-85	-80	4568
-80	-75	5019
-75	-70	5414
-70	-65	5752
-65	-60	5657
-60	-55	5618
-55	-50	5522
-50	-45	5395
-45	-40	5108
-40	-35	5012
-35	-30	4630
-30	-25	4261
-25	-20	4033
-20	-15	3870
-15	-10	3471
-10	-5	3253
-5	0	3134
0	5	2717
5	10	2629
10	15	2325
15	20	2163
20	25	1926
25	30	1810
30	35	1627
35	40	1430
40	45	1377
45	50	1255
50	55	1036
55	60	975
60	65	900
65	70	857
70	75	752
75	80	654
80	85	598
85	90	529
90	95	531
95	100	466
100	105	416
105	110	371
110	115	350
115	120	343
120	125	279
125	130	260
130	135	220
135	140	218
140	145	176
145	150	165
150	155	159
155	160	135
160	165	137
165	170	101
170	175	109
175	180	72
180	185	66
185	190	62
190	195	63
195	200	59
200	205	19
205	210	9
210	215	4
215	220	11
220	225	5
225	230	8
230	235	5
235	240	1
240	245	8
245	250	1
