-250	-245	0
-245	-240	0
-240	-235	0
-235	-230	0
-230	-225	0
-225	-220	0
-220	-215	0
-215	-210	0
-210	-205	0
-205	-200	0
-200	-195	0
-195	-190	0
-190	-185	0
-185	-180	0
-180	-175	0
-175	-170	0
-170	-165	0
-165	-160	0
-160	-155	0
-155	-150	0
-150	-145	0
-145	-140	0
-140	-135	0
-135	-130	0
-130	-125	0
-125	-120	0
-120	-115	0
-115	-110	0
-110	-105	0
-105	-100	100
-100	-95	1705
-95	-90	2358
-90	-85	3089
-85	-80	4064
-80	-75	4971
-75	-70	5585
-70	-65	6167
-65	-60	6803
-60	-55	7038
-55	-50	7211
-50	-45	7279
-45	-40	7261
-40	-35	7220
-35	-30	7068
-30	-25	6681
-25	-20	6349
-20	-15	6283
-15	-10	5822
-10	-5	5440
-5	0	5416
0	5	4812
5	10	4652
10	15	4322
15	20	3828
20	25	3613
25	30	3333
30	35	3094
35	40	2932
40	45	2586
45	50	2442
50	55	2286
55	60	2052
60	65	1895
65	70	1679
70	75	1604
75	80	1479
80	85	1319
85	90	1149
90	95	1090
95	100	989
100	105	972
105	110	855
110	115	796
115	120	746
120	125	747
125	130	638
130	135	586
135	140	480
140	145	435
145	150	403
150	155	380
155	160	332
160	165	294
165	170	272
170	175	249
175	180	216
180	185	195
185	190	175
190	195	167
195	200	149
200	205	71
205	210	37
210	215	23
215	220	16
220	225	23
225	230	24
230	235	13
235	240	11
240	245	14
245	250	9
