gene_id	gene_name	HBRRep1	HBRRep2	HBRRep3	UHRRep1	UHRRep2	UHRRep3
ENSG00000008735	MAPK8IP2	394	533	471	13	17	8
ENSG00000015475	BID	38.999	42	48	103	64.001	101
ENSG00000025708	TYMP	12	11	17.999	45	16	25.999
ENSG00000025770	NCAPH2	76	77.999	71	193	117	156
ENSG00000040608	RTN4R	68	90	81	18	8	11
ENSG00000054611	TBC1D22A	35	44	40	69	48	64
ENSG00000056487	PHF21B	11	9	4	11	10	7
ENSG00000063515	GSC2	0	0	0	0	0	0
ENSG00000069998	CECR5	25	40.001	32	124	75.999	137.999
ENSG00000070010	UFD1L	42	66	52	237	166	173.001
ENSG00000070371	CLTCL1	26	32.999	28	81	48	65.001
ENSG00000070413	DGCR2	297	340	302	297	158	262.001
ENSG00000073146	MOV10L1	3	5	1	0	4	0
ENSG00000073150	PANX2	50	65	70	6	7	6
ENSG00000073169	SELO	45	53	30	60	29	62
ENSG00000075218	GTSE1	2	2	1	133	92.001	108
ENSG00000075234	TTC38	19	23	17	80	62	69.001
ENSG00000075240	GRAMD4	89	100	65	146	88	129
ENSG00000075275	CELSR1	0	2	0	225	123	186
ENSG00000077935	SMC1B	0	0	0	3	4	4
ENSG00000077942	FBLN1	40	46	32.999	118	86	105
ENSG00000079974	RABL2B	60.001	56	47	59.999	40	42.001
ENSG00000093000	NUP50	127	159	145.999	394	283.999	312
ENSG00000093009	CDC45	0	0	0	181.002	117.999	159
ENSG00000093010	COMT	79	97	78.001	190	108	169
ENSG00000093072	CECR1	27	25	28	37	26	22
ENSG00000093100	XXbac-B461K10.4	29.881	50.364	27.341	8.35	3.503	3.512
ENSG00000099889	ARVCF	116.001	130	113	67	32	41
ENSG00000099899	TRMT2A	52	71.999	42	175	80	132.001
ENSG00000099901	RANBP1	53	75.246	70.999	576	388.999	468
ENSG00000099904	ZDHHC8	83.001	78	82	95	73	77.001
ENSG00000099910	KLHL22	55	75.001	74	57	41	56.001
ENSG00000099917	MED15	84.999	102	85	231.001	140.001	195.999
ENSG00000099937	SERPIND1	1	2	0	148	100	116
ENSG00000099940	SNAP29	41	54	49.999	129	86	88
ENSG00000099942	CRKL	330	416	363	748	471	599
ENSG00000099949	LZTR1	112	140.999	108.001	270.001	162.999	206
ENSG00000099953	MMP11	1	0	2	37	19	26
ENSG00000099954	CECR2	105	77.001	111.999	107	76	93
ENSG00000099956	SMARCB1	61.001	73.001	57	157	126	132
ENSG00000099957	P2RX6	18	14	15	20.999	12	25
ENSG00000099958	DERL3	2	1	4	66	38	62
ENSG00000099960	SLC7A4	19	25	15	1	0	1
ENSG00000099968	BCL2L13	200	268	250	233.001	159	191
ENSG00000099974	DDTL	1.09	1.093	1.111	5.59	1.078	4.494
ENSG00000099977	DDT	35.91	35.908	34.889	113.41	87.922	131.506
ENSG00000099984	GSTT2	0	0	0	0	0	0
ENSG00000099985	OSM	0	0	0	0	0	1
ENSG00000099991	CABIN1	252	281.999	271	458	263	341
ENSG00000099992	TBC1D10A	13.914	15.943	25	45.736	35.064	45
ENSG00000099994	SUSD2	8	8	7	11	14	10
ENSG00000099995	SF3A1	174	234	174	366.999	248	285
ENSG00000099998	GGT5	20	30	18	9	2	3
ENSG00000099999	RNF215	53	61	41	53	36	43
ENSG00000100003	SEC14L2	64.185	83.115	74.799	33	21	30
ENSG00000100012	SEC14L3	0	0	0	0	0	0
ENSG00000100014	SPECC1L	245.609	331	297.969	429	258	288.001
ENSG00000100023	PPIL2	62	63	72	229.001	136.955	207.641
ENSG00000100024	UPB1	0	1	1	1	4	1
ENSG00000100027	YPEL1	59	94	69	31	15	20
ENSG00000100028	SNRPD3	61	85	86	276.001	197	244
ENSG00000100029	PES1	61	70	59	252	188.001	241.999
ENSG00000100030	MAPK1	730	936.999	887	817.001	484	647.001
ENSG00000100031	GGT1	6	12	11	88.986	43	61.985
ENSG00000100033	PRODH	110.001	134.002	141	46	28.001	44
ENSG00000100034	PPM1F	85	111.001	116	237.999	156	191
ENSG00000100036	SLC35E4	17.001	34	28	21	13.001	13
ENSG00000100038	TOP3B	39	55	55.999	185.774	162	171.396
ENSG00000100053	CRYBB3	0	0	0	0	0	0
ENSG00000100055	CYTH4	10	18	12	18	16	10
ENSG00000100056	DGCR14	45	51	36	76	39	64
ENSG00000100058	CRYBB2P1	18.001	24	19	48	28	46
ENSG00000100060	MFNG	4	5	6	70	28	43
ENSG00000100065	CARD10	1	5	5	85	63	67
ENSG00000100068	LRP5L	7	4	4	30.001	17	24
ENSG00000100075	SLC25A1	28	43	32	205	123	204.999
ENSG00000100077	GRK3	193	271.001	249	162.001	115	115
ENSG00000100078	PLA2G3	0	1	0	12	9	6
ENSG00000100079	LGALS2	0	0	0	2	1	1
ENSG00000100083	GGA1	97	129.001	110	268.999	165.999	194.999
ENSG00000100084	HIRA	71	87	53	182.479	118.368	147
ENSG00000100092	SH3BP1	17.001	16.509	24.185	74	42	70.055
ENSG00000100095	SEZ6L	392.001	499.999	452	15	13	19
ENSG00000100097	LGALS1	71	88	71	704	416	596
ENSG00000100099	HPS4	105	162.999	165.001	288.999	185	240.999
ENSG00000100100	PIK3IP1	104	150	122	40	24	28
ENSG00000100101	RP1-37E16.12	0	0	0	0	0	1.245
ENSG00000100104	SRRD	44	55	63	80	60	70
ENSG00000100105	PATZ1	69.001	69	55.999	183.999	110	133
ENSG00000100106	TRIOBP	38	29	27	178.001	110	144.87
ENSG00000100109	TFIP11	60.001	87	47.999	160	79	103
ENSG00000100116	GCAT	32	26	30	63	44	46.999
ENSG00000100121	GGTLC2	0	0	0	0	0	0
