tx	gene_id	HBRRep1	HBRRep2	HBRRep3	UHRRep1	UHRRep2	UHRRep3
ENST00000615943	ENSG00000277248	0	0	0	0	0	0
ENST00000635667	ENSG00000283047	0	0	0	0	0	0
ENST00000623473	ENSG00000280363	0	0	0	0	0	0
ENST00000624155	ENSG00000279973	0	0	0	0	0	0
ENST00000422332	ENSG00000226444	0	0	0	0	0	0
ENST00000612732	ENSG00000276871	0	0	0	0	0	0
ENST00000634617	ENSG00000283023	0	0	0	0	0	0
ENST00000613107	ENSG00000276138	0	0	0	0	0	0
ENST00000623391	ENSG00000280341	0	0	0	0	0	0
ENST00000448473	ENSG00000236235	0	0	0	0	0	0
ENST00000623199	ENSG00000279442	0	0	0	0	2	0
ENST00000425869	ENSG00000184624	0	0	0	0	1	0
ENST00000441221	ENSG00000236097	0	0	0	0	0	0
ENST00000429435	ENSG00000236831	0	0	0	0	0	0
ENST00000252835	ENSG00000130538	0	0	0	0	0	0
ENST00000412729	ENSG00000237299	0	0	0	0	0	0
ENST00000443989	ENSG00000235759	0	0	0	0	2	0
ENST00000444162	ENSG00000233408	0	0	0	0	1	0
ENST00000417863	ENSG00000215268	0	0	0	0	2	0
ENST00000456143	ENSG00000213727	0	0	0	0	0	0
ENST00000447704	ENSG00000230643	0	0	0	0	0	0
ENST00000428118	ENSG00000230471	0	0	0	0	1	0
ENST00000438441	ENSG00000231565	0	0	0	0	1	0
ENST00000440999	ENSG00000226474	0	0	0	0	0	0
ENST00000426025	ENSG00000224435	0	0	0	1	0	0
ENST00000435410	ENSG00000234381	0	0	0	0	0	0
ENST00000343518	ENSG00000198062	0	0	0	6.318	6	10
ENST00000621704	ENSG00000198062	0	0	1	0	0	0
ENST00000452800	ENSG00000198062	0	0	0	1.682	0	0
ENST00000422014	ENSG00000236666	0	0	0	0	1	0
ENST00000390914	ENSG00000212216	0	0	0	0	0	0
ENST00000417657	ENSG00000241838	0	0	0	2	2	2
ENST00000453395	ENSG00000225255	0	0	0	2	0	0
ENST00000423297	ENSG00000235992	0	0	0	0	0	0
ENST00000438574	ENSG00000225255	0	0	0	0	0	0
ENST00000413768	ENSG00000206195	0	3	1.377	44.791	53.882	22.578
ENST00000437781	ENSG00000206195	1.27	0	0	71.232	31.002	56.336
ENST00000383038	ENSG00000206195	6.73	0	2	16.39	27.062	33.136
ENST00000447898	ENSG00000206195	1	0	3.623	82.349	48.225	50.232
ENST00000458623	ENSG00000206195	0	0	0	1.206	5.1	1.163
ENST00000603308	ENSG00000271127	0	1	0	15	9	19
ENST00000440946	ENSG00000232775	0	0	0	0	0	0
ENST00000609679	ENSG00000232775	0	0	0	0	0	0
ENST00000414726	ENSG00000232775	0	0	0	0	0	0
ENST00000607933	ENSG00000206195	0	1	0	2.032	5.728	6.555
ENST00000608286	ENSG00000272872	3	2	0	77	29	44
ENST00000456786	ENSG00000271672	0	0	0	0	0	0
ENST00000420638	ENSG00000223875	0	0	0	1	2	1
ENST00000398242	ENSG00000215270	0	0	0	0	0	0
ENST00000448070	ENSG00000229286	0	0	0	0	0	0
ENST00000424770	ENSG00000233866	0	0	0	0	0	0
ENST00000612550	ENSG00000278188	0	0	0	0	0	0
ENST00000399687	ENSG00000225293	0	0	0	0	0	0
ENST00000427602	ENSG00000226160	0	0	0	0	0	0
ENST00000426076	ENSG00000229658	0	0	0	0	1	0
ENST00000421957	ENSG00000227367	0	0	0	0	0	0
ENST00000623630	ENSG00000280263	0	0	0	0	0	0
ENST00000450340	ENSG00000235969	0	0	0	0	0	0
ENST00000609641	ENSG00000273362	0	0	0	0	0	0
ENST00000454360	ENSG00000233995	0	0	0	0	0	0
ENST00000493696	ENSG00000239435	0	0	0	2	0	1
ENST00000472972	ENSG00000239435	0	0	0	0	0	0
ENST00000359963	ENSG00000198445	0	0	0	1	0	0
ENST00000430910	ENSG00000240122	0	0	0	0	0	0
ENST00000558085	ENSG00000100181	0	1	0	1	1.031	2.095
ENST00000592918	ENSG00000283633	0	0	0	4.537	0	11.415
ENST00000400593	ENSG00000100181	0	1.721	0	0	4.234	2.001
ENST00000592107	ENSG00000283633	0	2.043	1.842	6.36	2.523	5.982
ENST00000426585	ENSG00000100181	16	11	11	98.253	52.993	73.983
ENST00000591299	ENSG00000283633	1	1.941	0	5.692	3.218	2.156
ENST00000588548	ENSG00000283633	0	2.295	1.158	5.411	8.412	4.368
ENST00000438850	ENSG00000267338	0	0	0	1	2	1
ENST00000383140	ENSG00000100181	0	0	0	0	0	0
ENST00000585784	ENSG00000100181	0	0	0	1.117	1.496	0
ENST00000636884	ENSG00000100181	0	0	0	0	0	0
ENST00000588424	ENSG00000100181	2	3	3	9	12.688	11
ENST00000508033	ENSG00000249288	0	0	0	0	0	0
ENST00000415121	ENSG00000100181	0	0	0	1.63	1.405	0
ENST00000510265	ENSG00000249263	0	0	0	0	0	0
ENST00000456726	ENSG00000189295	0	0	0	0	0	0
ENST00000457060	ENSG00000189295	0	0	0	0	0	0
ENST00000434304	ENSG00000259271	0	0	0	0	0	0
ENST00000423580	ENSG00000273244	0	0	0	0	0	0
ENST00000457911	ENSG00000241717	2	2	4	0	1	0
ENST00000422917	ENSG00000235343	0	0	0	0	0	0
ENST00000331428	ENSG00000172967	0	0	0	1	1	6
ENST00000425038	ENSG00000229027	0	0	0	0	0	0
ENST00000423928	ENSG00000229027	0	0	0	0	0	0
ENST00000442797	ENSG00000234121	0	0	0	0	0	0
ENST00000637740	ENSG00000283535	0	0	0	0	0	0
ENST00000422608	ENSG00000237835	0	0	0	0	0	0
ENST00000404435	ENSG00000220248	0	0	0	1	0	0
ENST00000442403	ENSG00000237689	1	2	1	1	0	1
ENST00000448961	ENSG00000228122	0	0	0	0	0	0
ENST00000412238	ENSG00000237358	0	0	0	0	0	0
ENST00000427470	ENSG00000225480	0	0	0	0	0	0
ENST00000458718	ENSG00000230481	0	0	0	0	0	0
ENST00000523309	ENSG00000253691	0	0	0	0	0	0
ENST00000521969	ENSG00000253460	0	0	0	0	0	0
ENST00000517943	ENSG00000254264	0	0	0	0	0	0
ENST00000521497	ENSG00000253481	0	0	0	0	0	0
ENST00000623130	ENSG00000280156	1	1	1	0	16	1
ENST00000400588	ENSG00000215568	0	0	0	0	0	0
ENST00000465611	ENSG00000215568	0	0	0	0	0	0
ENST00000520505	ENSG00000215568	0	0	0	0	0	0
ENST00000523144	ENSG00000215568	0	0	0	0	0	0
ENST00000605217	ENSG00000270226	0	0	0	0	0	0
ENST00000614184	ENSG00000276400	0	0	0	0	0	0
ENST00000441006	ENSG00000237438	2.962	10.357	10.023	15.699	8.223	10.663
ENST00000414401	ENSG00000237438	2.039	0	0	0	0	1.18
ENST00000609932	ENSG00000237438	0	0	1.406	0	0	2.456
ENST00000609596	ENSG00000237438	10.999	9.643	12.571	8.301	9.777	6.701
ENST00000636648	ENSG00000237438	0	0	0	0	0	0
ENST00000608373	ENSG00000273203	7	6	3	3	2	4
ENST00000609791	ENSG00000273442	0	2	2	0	0	1
ENST00000477874	ENSG00000177663	0	0	0	0	0	0
ENST00000319363	ENSG00000177663	56	0	56	86	66	78
ENST00000612619	ENSG00000177663	0	62	0	0	0	0
ENST00000459971	ENSG00000177663	0	0	1	1	0	0
ENST00000429106	ENSG00000235328	0	0	0	0	0	0
ENST00000399875	ENSG00000183307	16.211	38.885	26.799	9	5	4
ENST00000331437	ENSG00000183307	8.789	3.115	3.201	0	0	0
ENST00000428078	ENSG00000235478	0	0	0	0	0	0
ENST00000441544	ENSG00000235478	2	3	1	0	0	0
ENST00000155674	ENSG00000069998	15.385	0	0	0	0	72.855
ENST00000336737	ENSG00000069998	0	20.959	18.014	109.717	62.144	46.649
ENST00000477157	ENSG00000069998	6.989	11.882	8.986	8.267	11.393	13.338
ENST00000399852	ENSG00000069998	0	0	0	0	0	0
ENST00000486462	ENSG00000069998	0	5.869	0	2.184	0	0
ENST00000463033	ENSG00000069998	0	0	5	0	0	0
ENST00000480451	ENSG00000069998	2.626	1.291	0	3.832	2.462	5.157
ENST00000329743	ENSG00000185837	0	0	0	1	1	0
ENST00000431923	ENSG00000185837	0	0	1	0	0	0
ENST00000610390	ENSG00000093072	0	0	7.328	0	0	0
ENST00000399837	ENSG00000093072	0	0	0	5.313	26	0
ENST00000449907	ENSG00000093072	0	0	0	0	0	0
ENST00000399839	ENSG00000093072	0	0	0	0	0	0
ENST00000330232	ENSG00000093072	10.059	0	20.672	31.687	0	0
ENST00000262607	ENSG00000093072	16.941	25	0	0	0	22
ENST00000469063	ENSG00000093072	0	0	0	0	0	0
ENST00000480276	ENSG00000093072	0	0	0	0	0	0
ENST00000428401	ENSG00000236325	0	0	0	0	0	0
ENST00000543038	ENSG00000093072	0	0	0	0	0	0
ENST00000441548	ENSG00000093072	0	0	0	0	0	0
ENST00000344033	ENSG00000203416	0	1	0	0	0	0
ENST00000428828	ENSG00000241832	0	0	1	0	1	0
ENST00000453421	ENSG00000231004	0	0	0	0	0	0
ENST00000485262	ENSG00000239547	0	0	0	0	0	0
ENST00000400585	ENSG00000099954	0	0	0	0	0	9.709
ENST00000342247	ENSG00000099954	0	3.469	0	0	0	0
ENST00000262608	ENSG00000099954	26.469	24.891	34.08	24.096	0	0
ENST00000455617	ENSG00000229492	0	3	0	0	0	1
ENST00000455251	ENSG00000232305	0	0	0	0	0	0
ENST00000497534	ENSG00000099954	0	0	1.939	0	0	2.044
ENST00000612582	ENSG00000099954	69.613	48.641	73.961	82.904	76	81.247
ENST00000437347	ENSG00000228045	0	0	0	0	0	0
ENST00000355219	ENSG00000099954	8.918	0	2.019	0	0	0
ENST00000327451	ENSG00000182902	33.928	68.11	45.098	0	0	0
ENST00000399813	ENSG00000182902	48.338	22.921	25.922	1	2	4
ENST00000496051	ENSG00000182902	0	1.819	1.211	0	0	0
ENST00000467228	ENSG00000182902	4.733	10.15	1.093	0	1	0
ENST00000497401	ENSG00000182902	0	0	2.676	0	0	0
ENST00000469889	ENSG00000182902	0	0	0	0	0	0
ENST00000443935	ENSG00000236754	2	0	0	1	2	0
ENST00000611039	ENSG00000236754	0	0	0	0	0	0
ENST00000253413	ENSG00000131100	374.141	422.226	378.091	227.171	166.082	196.971
ENST00000399796	ENSG00000131100	0	0	0	8.751	4.053	0
ENST00000399798	ENSG00000131100	0	21.462	0	6.054	0	0
ENST00000473248	ENSG00000131100	0	1.005	1	2.024	0	2.029
ENST00000413576	ENSG00000131100	0	0	0	0	0	0
ENST00000481365	ENSG00000131100	2.024	0	0	0	0	0
ENST00000484653	ENSG00000131100	0	1.307	0	0	0	0
ENST00000478963	ENSG00000131100	0	0	1.909	0	1.526	0
ENST00000460085	ENSG00000131100	3.835	0	0	0	1.339	0
ENST00000399781	ENSG00000099968	0	0	0	2.311	0	0
ENST00000399782	ENSG00000099968	1.161	0	2.53	0	0	1.598
ENST00000543133	ENSG00000099968	0	0	15.229	0	0	0
ENST00000611738	ENSG00000099968	0	0	19.471	0	0	0
ENST00000418951	ENSG00000099968	17.98	0	41.905	0	40.508	11.867
ENST00000616863	ENSG00000099968	0	0	0	0	0	0
ENST00000337612	ENSG00000099968	59.991	90.872	10.841	15.879	0	22.552
ENST00000618481	ENSG00000099968	46.911	71.355	43.404	0	0	0
ENST00000538149	ENSG00000099968	0	0	0	0	0	0
ENST00000317582	ENSG00000099968	0	0	56.698	78.502	8.422	57.363
ENST00000498133	ENSG00000099968	0	49.232	0	11.875	34.095	27.111
ENST00000464649	ENSG00000099968	0	0	0	0	0	0
ENST00000493680	ENSG00000099968	2.702	8.255	5.882	9.932	11.634	3.086
ENST00000355028	ENSG00000099968	21.23	39.373	0	66.032	0	29.769
ENST00000399777	ENSG00000099968	25.834	0	32.149	48.47	64.341	31.379
ENST00000479296	ENSG00000099968	0	0	0	0	0	0
ENST00000485631	ENSG00000099968	24.191	8.913	21.891	0	0	6.275
ENST00000317361	ENSG00000015475	4.61	28.703	13.571	0	2.751	2.571
ENST00000615414	ENSG00000015475	0	0	0	0	0	0
ENST00000622694	ENSG00000015475	0	0	0	39.669	0	0
ENST00000614949	ENSG00000015475	0	0	0	0	0	3.882
ENST00000399767	ENSG00000015475	0	0	0	13.727	0	0
ENST00000399774	ENSG00000015475	33.012	0	9.344	0	24.606	49.052
ENST00000399765	ENSG00000015475	0	0	12.475	5.563	15.171	11.035
ENST00000494097	ENSG00000015475	1.377	0	2.499	3.034	0	0
ENST00000342111	ENSG00000015475	0	0	0	0	0	0
ENST00000550946	ENSG00000015475	0	0	0	0	1.273	2.993
ENST00000551952	ENSG00000015475	0	13.297	10.111	41.007	20.2	28.897
ENST00000611040	ENSG00000015475	0	0	0	0	0	0
ENST00000473439	ENSG00000015475	0	0	0	0	0	2.57
ENST00000552886	ENSG00000015475	0	0	0	0	0	0
ENST00000617586	ENSG00000015475	0	0	0	0	0	0
ENST00000583102	ENSG00000264757	0	0	0	0	0	0
ENST00000600723	ENSG00000269220	0	0	0	1	2	4
ENST00000441493	ENSG00000243156	219.828	300.131	345.163	139.691	92.25	141.121
ENST00000476405	ENSG00000093100	29.881	50.364	27.341	8.35	3.503	3.512
ENST00000252134	ENSG00000243156	5.621	8.709	10.739	0	2.336	3.337
ENST00000580469	ENSG00000243156	12.581	15.636	15.702	7.427	8.173	10.014
ENST00000577821	ENSG00000243156	0	0	1.104	0	0	0
ENST00000579997	ENSG00000243156	0	0	0	0	0	0
ENST00000584751	ENSG00000243156	3	2	4	0	1	1
ENST00000498573	ENSG00000243156	0	0	0	2.469	0	1.592
ENST00000578984	ENSG00000243156	0	0	0	0	0	3.068
ENST00000400561	ENSG00000243156	0	0	41.135	0	0	0
ENST00000495076	ENSG00000243156	35.584	12.826	26.265	10.62	3.395	12.203
ENST00000578905	ENSG00000243156	1.572	10.449	2.289	1.301	0	0
ENST00000414725	ENSG00000243156	0	0	0	0	0	0
ENST00000383094	ENSG00000243156	56.263	89.376	0	47.765	19.617	34.538
ENST00000461307	ENSG00000243156	51.671	65.292	68.26	31.378	28.725	22.614
ENST00000585038	ENSG00000243156	0	0	0	0	0	0
ENST00000462645	ENSG00000243156	0	1.217	0	0	0	0
ENST00000465886	ENSG00000243156	0	0	0	0	0	0
ENST00000498345	ENSG00000243156	0	0	0	0	0	1
ENST00000424046	ENSG00000243156	0	0	0	0	0	0
ENST00000385046	ENSG00000207780	0	0	0	0	0	0
ENST00000429618	ENSG00000235445	0	4	2	1	0	1
ENST00000441167	ENSG00000234913	1	9	3	0	2	2
ENST00000411920	ENSG00000237446	0	0	0	0	0	0
ENST00000443243	ENSG00000235295	0	0	0	0	0	0
ENST00000426483	ENSG00000225335	0	1	1	0	0	0
ENST00000607927	ENSG00000225335	2	1	2	1	2	2
ENST00000610387	ENSG00000215193	52.499	44.864	48.191	70.645	30.687	58.4
ENST00000329627	ENSG00000215193	61.103	101.552	64.337	112.828	90.5	104.552
ENST00000399744	ENSG00000215193	34.397	30.584	28.472	24.071	14.814	24.639
ENST00000474897	ENSG00000215193	0	0	0	3.456	0	2.409
ENST00000622035	ENSG00000225335	0	0	0	0	0	0
ENST00000428061	ENSG00000215193	0	0	0	0	0	0
ENST00000427227	ENSG00000236890	0	0	0	0	0	0
ENST00000450866	ENSG00000235617	0	0	0	0	0	0
ENST00000446487	ENSG00000225225	0	0	0	0	0	0
ENST00000426208	ENSG00000183785	0	1.225	4.142	0	0	0
ENST00000316027	ENSG00000183785	29.611	43.276	54.679	0	0	0
ENST00000623543	ENSG00000280007	1	3	0	3	8	1
ENST00000330423	ENSG00000183785	44.981	23.818	17.565	0	0	0
ENST00000416740	ENSG00000183785	4.868	19.917	18.73	0	3	0
ENST00000608634	ENSG00000183785	2.54	2.765	5.884	0	0	0
ENST00000215794	ENSG00000184979	4	8	5	35.73	17	23
ENST00000434390	ENSG00000187979	0	0	0	0	0	0
ENST00000617623	ENSG00000276160	0	1	0	0	1	0
