tx	gene_id	HBRRep1	HBRRep2	HBRRep3	UHRRep1	UHRRep2	UHRRep3
ENST00000615943	ENSG00000277248	5.932	5.995	5.913	5.66	5.963	5.953
ENST00000635667	ENSG00000283047	576.124	579.388	577.064	566.327	578.035	579.524
ENST00000623473	ENSG00000280363	54	54	54	54	54	54
ENST00000624155	ENSG00000279973	8.77	8.786	8.669	8.119	8.622	8.672
ENST00000422332	ENSG00000226444	1068.124	1071.374	1069.05	1058.324	1070.013	1071.52
ENST00000612732	ENSG00000276871	22.111	22.441	22.019	19.428	21.961	21.977
ENST00000634617	ENSG00000283023	601.124	604.388	602.064	591.327	603.035	604.524
ENST00000613107	ENSG00000276138	3.494	3.491	3.622	3.632	3.558	3.556
ENST00000623391	ENSG00000280341	5941.124	5944.374	5942.05	5931.324	5943.013	5944.52
ENST00000448473	ENSG00000236235	198.977	201.918	199.804	189.188	200.682	202.186
ENST00000623199	ENSG00000279442	6006.124	6009.374	6007.05	5996.324	6008.013	6009.52
ENST00000425869	ENSG00000184624	1735.124	1738.374	1736.05	1725.324	1737.013	1738.52
ENST00000441221	ENSG00000236097	404.124	407.394	405.064	394.327	406.035	407.524
ENST00000429435	ENSG00000236831	129.894	132.173	130.636	121.469	131.04	132.085
ENST00000252835	ENSG00000130538	809.124	812.388	810.058	799.327	811.035	812.524
ENST00000412729	ENSG00000237299	395.124	398.394	396.064	385.327	397.035	398.524
ENST00000443989	ENSG00000235759	2335.124	2338.374	2336.05	2325.324	2337.013	2338.52
ENST00000444162	ENSG00000233408	1121.124	1124.374	1122.05	1111.324	1123.013	1124.52
ENST00000417863	ENSG00000215268	2087.124	2090.374	2088.05	2077.324	2089.013	2090.52
ENST00000456143	ENSG00000213727	1004.124	1007.374	1005.05	994.324	1006.013	1007.52
ENST00000447704	ENSG00000230643	7.903	7.982	7.878	7.402	7.853	7.892
ENST00000428118	ENSG00000230471	1557.124	1560.374	1558.05	1547.324	1559.013	1560.52
ENST00000438441	ENSG00000231565	1165.124	1168.374	1166.05	1155.324	1167.013	1168.52
ENST00000440999	ENSG00000226474	36.186	37.1	36.297	31.96	36.265	36.459
ENST00000426025	ENSG00000224435	1476.124	1479.374	1477.05	1466.324	1478.013	1479.52
ENST00000435410	ENSG00000234381	649.124	652.388	650.064	639.327	651.035	652.524
ENST00000343518	ENSG00000198062	1755.124	1758.374	1756.05	1745.324	1757.013	1758.52
ENST00000621704	ENSG00000198062	1701.124	1704.374	1702.05	1691.324	1703.013	1704.52
ENST00000452800	ENSG00000198062	1791.124	1794.374	1792.05	1781.324	1793.013	1794.52
ENST00000422014	ENSG00000236666	2393.124	2396.374	2394.05	2383.324	2395.013	2396.52
ENST00000390914	ENSG00000212216	3.494	3.491	3.622	3.632	3.558	3.556
ENST00000417657	ENSG00000241838	950.124	953.374	951.05	940.324	952.013	953.52
ENST00000453395	ENSG00000225255	451.124	454.394	452.064	441.327	453.035	454.524
ENST00000423297	ENSG00000235992	924.124	927.374	925.05	914.324	926.013	927.52
ENST00000438574	ENSG00000225255	346.136	349.394	347.064	336.327	348.043	349.524
ENST00000413768	ENSG00000206195	1929.124	1932.374	1930.05	1919.324	1931.013	1932.52
ENST00000437781	ENSG00000206195	2225.124	2228.374	2226.05	2215.324	2227.013	2228.52
