tx	gene_id	HBRRep1	HBRRep2	HBRRep3	UHRRep1	UHRRep2	UHRRep3
ENST00000615943	ENSG00000277248	0	0	0	0	0	0
ENST00000635667	ENSG00000283047	0	0	0	0	0	0
ENST00000623473	ENSG00000280363	0	0	0	0	0	0
ENST00000624155	ENSG00000279973	0	0	0	0	0	0
ENST00000422332	ENSG00000226444	0	0	0	0	0	0
ENST00000612732	ENSG00000276871	0	0	0	0	0	0
ENST00000634617	ENSG00000283023	0	0	0	0	0	0
ENST00000613107	ENSG00000276138	0	0	0	0	0	0
ENST00000623391	ENSG00000280341	0	0	0	0	0	0
ENST00000448473	ENSG00000236235	0	0	0	0	0	0
ENST00000623199	ENSG00000279442	0	0	0	0	2.145748	0
ENST00000425869	ENSG00000184624	0	0	0	0	3.710877	0
ENST00000441221	ENSG00000236097	0	0	0	0	0	0
ENST00000429435	ENSG00000236831	0	0	0	0	0	0
ENST00000252835	ENSG00000130538	0	0	0	0	0	0
ENST00000412729	ENSG00000237299	0	0	0	0	0	0
ENST00000443989	ENSG00000235759	0	0	0	0	5.516308	0
ENST00000444162	ENSG00000233408	0	0	0	0	5.739774	0
ENST00000417863	ENSG00000215268	0	0	0	0	6.171184	0
ENST00000456143	ENSG00000213727	0	0	0	0	0	0
ENST00000447704	ENSG00000230643	0	0	0	0	0	0
ENST00000428118	ENSG00000230471	0	0	0	0	4.134565	0
ENST00000438441	ENSG00000231565	0	0	0	0	5.523367	0
ENST00000440999	ENSG00000226474	0	0	0	0	0	0
ENST00000426025	ENSG00000224435	0	0	0	2.935962	0	0
ENST00000435410	ENSG00000234381	0	0	0	0	0	0
ENST00000343518	ENSG00000198062	0	0	0	15.585283	22.011816	30.299402
ENST00000621704	ENSG00000198062	0	0	5.093342	0	0	0
ENST00000452800	ENSG00000198062	0	0	0	4.063944	0	0
ENST00000422014	ENSG00000236666	0	0	0	0	2.69136	0
ENST00000390914	ENSG00000212216	0	0	0	0	0	0
ENST00000417657	ENSG00000241838	0	0	0	9.156571	13.541496	11.175878
ENST00000453395	ENSG00000225255	0	0	0	19.509679	0	0
ENST00000423297	ENSG00000235992	0	0	0	0	0	0
ENST00000438574	ENSG00000225255	0	0	0	0	0	0
ENST00000413768	ENSG00000206195	0	12.046611	6.186351	100.466279	179.862594	62.251802
ENST00000437781	ENSG00000206195	5.380266	0	0	138.426175	89.731016	134.694664
ENST00000383038	ENSG00000206195	51.93741	0	14.187837	58.252079	142.629208	144.183475
ENST00000447898	ENSG00000206195	2.377978	0	7.922614	89.676481	78.398957	67.476337
ENST00000458623	ENSG00000206195	0	0	0	22.535571	135.813026	25.448861
ENST00000603308	ENSG00000271127	0	6.368751	0	53.575696	47.667992	83.081121
ENST00000440946	ENSG00000232775	0	0	0	0	0	0
ENST00000609679	ENSG00000232775	0	0	0	0	0	0
ENST00000414726	ENSG00000232775	0	0	0	0	0	0
ENST00000607933	ENSG00000206195	0	16.425928	0	19.041032	78.390061	73.909338
ENST00000608286	ENSG00000272872	54.253263	29.594201	0	648.294851	357.393982	446.959924
ENST00000456786	ENSG00000271672	0	0	0	0	0	0
ENST00000420638	ENSG00000223875	0	0	0	3.285501	9.751554	4.025788
ENST00000398242	ENSG00000215270	0	0	0	0	0	0
ENST00000448070	ENSG00000229286	0	0	0	0	0	0
ENST00000424770	ENSG00000233866	0	0	0	0	0	0
ENST00000612550	ENSG00000278188	0	0	0	0	0	0
ENST00000399687	ENSG00000225293	0	0	0	0	0	0
ENST00000427602	ENSG00000226160	0	0	0	0	0	0
ENST00000426076	ENSG00000229658	0	0	0	0	4.473132	0
ENST00000421957	ENSG00000227367	0	0	0	0	0	0
ENST00000623630	ENSG00000280263	0	0	0	0	0	0
ENST00000450340	ENSG00000235969	0	0	0	0	0	0
ENST00000609641	ENSG00000273362	0	0	0	0	0	0
ENST00000454360	ENSG00000233995	0	0	0	0	0	0
ENST00000493696	ENSG00000239435	0	0	0	2.685362	0	1.65497
ENST00000472972	ENSG00000239435	0	0	0	0	0	0
ENST00000359963	ENSG00000198445	0	0	0	2.293196	0	0
ENST00000430910	ENSG00000240122	0	0	0	0	0	0
ENST00000558085	ENSG00000100181	0	4.947493	0	2.767958	4.240307	7.115521
ENST00000592918	ENSG00000283633	0	0	0	14.017306	0	43.241521
ENST00000400593	ENSG00000100181	0	10.594225	0	0	21.676375	8.458979
ENST00000592107	ENSG00000283633	0	18.667132	18.85317	32.740852	19.175766	37.522156
ENST00000426585	ENSG00000100181	27.158529	15.364348	17.172604	76.319336	61.502182	70.956137
ENST00000591299	ENSG00000283633	16.301391	25.908382	0	43.114419	35.766491	19.750711
ENST00000588548	ENSG00000283633	0	7.565854	4.269493	9.954128	23.054722	9.889116
ENST00000438850	ENSG00000267338	0	0	0	11.849036	34.374651	14.151048
ENST00000383140	ENSG00000100181	0	0	0	0	0	0
ENST00000585784	ENSG00000100181	0	0	0	16.567375	31.918903	0
ENST00000636884	ENSG00000100181	0	0	0	0	0	0
ENST00000588424	ENSG00000100181	13.188809	16.251733	18.186334	27.298659	57.149845	40.914136
ENST00000508033	ENSG00000249288	0	0	0	0	0	0
ENST00000415121	ENSG00000100181	0	0	0	7.933401	10.110712	0
ENST00000510265	ENSG00000249263	0	0	0	0	0	0
ENST00000456726	ENSG00000189295	0	0	0	0	0	0
ENST00000457060	ENSG00000189295	0	0	0	0	0	0
ENST00000434304	ENSG00000259271	0	0	0	0	0	0
ENST00000423580	ENSG00000273244	0	0	0	0	0	0
ENST00000457911	ENSG00000241717	6.893777	5.669316	12.678556	0	2.355925	0
ENST00000422917	ENSG00000235343	0	0	0	0	0	0
ENST00000331428	ENSG00000172967	0	0	0	2.856102	4.24344	21.025218
ENST00000425038	ENSG00000229027	0	0	0	0	0	0
ENST00000423928	ENSG00000229027	0	0	0	0	0	0
ENST00000442797	ENSG00000234121	0	0	0	0	0	0
ENST00000637740	ENSG00000283535	0	0	0	0	0	0
ENST00000422608	ENSG00000237835	0	0	0	0	0	0
ENST00000404435	ENSG00000220248	0	0	0	1.475692	0	0
ENST00000442403	ENSG00000237689	28.806759	46.971234	26.424844	13.566685	0	16.120491
ENST00000448961	ENSG00000228122	0	0	0	0	0	0
ENST00000412238	ENSG00000237358	0	0	0	0	0	0
ENST00000427470	ENSG00000225480	0	0	0	0	0	0
ENST00000458718	ENSG00000230481	0	0	0	0	0	0
ENST00000523309	ENSG00000253691	0	0	0	0	0	0
ENST00000521969	ENSG00000253460	0	0	0	0	0	0
ENST00000517943	ENSG00000254264	0	0	0	0	0	0
ENST00000521497	ENSG00000253481	0	0	0	0	0	0
ENST00000623130	ENSG00000280156	0.111981	0.092197	0.103008	0	1.225431	0.063309
ENST00000400588	ENSG00000215568	0	0	0	0	0	0
ENST00000465611	ENSG00000215568	0	0	0	0	0	0
ENST00000520505	ENSG00000215568	0	0	0	0	0	0
ENST00000523144	ENSG00000215568	0	0	0	0	0	0
ENST00000605217	ENSG00000270226	0	0	0	0	0	0
ENST00000614184	ENSG00000276400	0	0	0	0	0	0
ENST00000441006	ENSG00000237438	10.932934	31.437652	34.020068	26.57394	20.745144	22.223954
ENST00000414401	ENSG00000237438	51.510659	0	0	0	0	16.693113
ENST00000609932	ENSG00000237438	0	0	30.77799	0	0	32.834422
ENST00000609596	ENSG00000237438	49.122493	35.404988	51.623556	17.01431	29.839322	16.89398
ENST00000636648	ENSG00000237438	0	0	0	0	0	0
ENST00000608373	ENSG00000273203	24.596009	17.337292	9.693209	4.832952	4.803137	7.936206
ENST00000609791	ENSG00000273442	0	26.465492	29.685512	0	0	9.084384
ENST00000477874	ENSG00000177663	0	0	0	0	0	0
ENST00000319363	ENSG00000177663	62.573933	0	57.553987	43.94846	50.429698	49.256221
ENST00000612619	ENSG00000177663	0	57.709755	0	0	0	0
ENST00000459971	ENSG00000177663	0	0	19.304864	9.821604	0	0
ENST00000429106	ENSG00000235328	0	0	0	0	0	0
ENST00000399875	ENSG00000183307	40.330536	79.58337	61.314423	10.254715	8.50372	5.621186
ENST00000331437	ENSG00000183307	17.324051	5.051746	5.802996	0	0	0
ENST00000428078	ENSG00000235478	0	0	0	0	0	0
ENST00000441544	ENSG00000235478	18.808496	23.154132	8.642763	0	0	0
ENST00000155674	ENSG00000069998	92.817143	0	0	0	0	247.960492
ENST00000336737	ENSG00000069998	0	99.812921	95.978267	292.230241	246.049116	152.534493
ENST00000477157	ENSG00000069998	19.140424	26.766906	22.633271	10.372018	21.330309	20.632136
ENST00000399852	ENSG00000069998	0	0	0	0	0	0
ENST00000486462	ENSG00000069998	0	32.038761	0	6.677325	0	0
ENST00000463033	ENSG00000069998	0	0	92.016365	0	0	0
ENST00000480451	ENSG00000069998	28.942093	11.666121	0	19.514978	18.520421	32.008728
ENST00000329743	ENSG00000185837	0	0	0	27.079301	37.895448	0
ENST00000431923	ENSG00000185837	0	0	19.52223	0	0	0
ENST00000610390	ENSG00000093072	0	0	16.022822	0	0	0
ENST00000399837	ENSG00000093072	0	0	0	5.29178	38.668987	0
ENST00000449907	ENSG00000093072	0	0	0	0	0	0
ENST00000399839	ENSG00000093072	0	0	0	0	0	0
ENST00000330232	ENSG00000093072	31.366531	0	59.27924	45.285577	0	0
ENST00000262607	ENSG00000093072	42.552007	51.656095	0	0	0	31.212886
ENST00000469063	ENSG00000093072	0	0	0	0	0	0
ENST00000480276	ENSG00000093072	0	0	0	0	0	0
ENST00000428401	ENSG00000236325	0	0	0	0	0	0
ENST00000543038	ENSG00000093072	0	0	0	0	0	0
ENST00000441548	ENSG00000093072	0	0	0	0	0	0
ENST00000344033	ENSG00000203416	0	46.858113	0	0	0	0
ENST00000428828	ENSG00000241832	0	0	4.973536	0	3.695982	0
ENST00000453421	ENSG00000231004	0	0	0	0	0	0
ENST00000485262	ENSG00000239547	0	0	0	0	0	0
ENST00000400585	ENSG00000099954	0	0	0	0	0	11.093115
ENST00000342247	ENSG00000099954	0	4.479465	0	0	0	0
ENST00000262608	ENSG00000099954	54.108256	41.865078	64.073667	22.549513	0	0
ENST00000455617	ENSG00000229492	0	24.188687	0	0	0	5.535689
ENST00000455251	ENSG00000232305	0	0	0	0	0	0
ENST00000497534	ENSG00000099954	0	0	39.645397	0	0	25.53361
ENST00000612582	ENSG00000099954	69.261026	39.832655	67.684231	37.718798	51.708184	45.686129
ENST00000437347	ENSG00000228045	0	0	0	0	0	0
ENST00000355219	ENSG00000099954	42.639784	0	8.877231	0	0	0
ENST00000327451	ENSG00000182902	154.383473	254.774379	188.683883	0	0	0
ENST00000399813	ENSG00000182902	241.783689	94.23665	119.210274	2.296866	6.835416	11.291452
ENST00000496051	ENSG00000182902	0	34.142676	25.541656	0	0	0
ENST00000467228	ENSG00000182902	19.555918	34.477244	4.150573	0	2.823392	0
ENST00000497401	ENSG00000182902	0	0	34.472822	0	0	0
ENST00000469889	ENSG00000182902	0	0	0	0	0	0
ENST00000443935	ENSG00000236754	11.319543	0	0	2.600742	7.733402	0
ENST00000611039	ENSG00000236754	0	0	0	0	0	0
ENST00000253413	ENSG00000131100	2868.698959	2658.504727	2664.705125	802.07396	869.639786	851.508916
ENST00000399796	ENSG00000131100	0	0	0	36.7438	25.191127	0
ENST00000399798	ENSG00000131100	0	202.009583	0	32.124255	0	0
ENST00000473248	ENSG00000131100	0	11.76975	13.133756	13.416714	0	16.319713
ENST00000413576	ENSG00000131100	0	0	0	0	0	0
ENST00000481365	ENSG00000131100	36.744842	0	0	0	0	0
ENST00000484653	ENSG00000131100	0	17.568	0	0	0	0
ENST00000478963	ENSG00000131100	0	0	39.864031	0	23.649134	0
ENST00000460085	ENSG00000131100	93.846653	0	0	0	22.29822	0
ENST00000399781	ENSG00000099968	0	0	0	12.185502	0	0
ENST00000399782	ENSG00000099968	9.054245	0	18.138794	0	0	7.027478
ENST00000543133	ENSG00000099968	0	0	27.488012	0	0	0
ENST00000611738	ENSG00000099968	0	0	36.339117	0	0	0
ENST00000418951	ENSG00000099968	34.657684	0	74.288851	0	53.384657	12.923887
ENST00000616863	ENSG00000099968	0	0	0	0	0	0
ENST00000337612	ENSG00000099968	119.475449	148.904822	19.855925	14.476387	0	25.374548
ENST00000618481	ENSG00000099968	92.332193	115.558278	78.570436	0	0	0
ENST00000538149	ENSG00000099968	0	0	0	0	0	0
ENST00000317582	ENSG00000099968	0	0	174.296552	120.298589	19.244322	108.286361
ENST00000498133	ENSG00000099968	0	153.273243	0	20.61892	88.22656	57.955203
ENST00000464649	ENSG00000099968	0	0	0	0	0	0
ENST00000493680	ENSG00000099968	13.130934	32.978635	26.28199	22.161091	38.633487	8.464199
ENST00000355028	ENSG00000099968	46.690801	71.242174	0	66.491013	0	36.985717
ENST00000399777	ENSG00000099968	97.226882	0	111.256904	83.656632	165.495426	66.677164
ENST00000479296	ENSG00000099968	0	0	0	0	0	0
ENST00000485631	ENSG00000099968	243.278997	73.549235	202.308859	0	0	35.551638
ENST00000317361	ENSG00000015475	18.710744	95.778018	50.642921	0	7.628979	5.890784
ENST00000615414	ENSG00000015475	0	0	0	0	0	0
ENST00000622694	ENSG00000015475	0	0	0	84.697109	0	0
ENST00000614949	ENSG00000015475	0	0	0	0	0	11.37289
ENST00000399767	ENSG00000015475	0	0	0	30.362258	0	0
ENST00000399774	ENSG00000015475	156.016234	0	40.602665	0	79.460236	130.842013
ENST00000399765	ENSG00000015475	0	0	63.35289	14.119107	57.253351	34.392425
ENST00000494097	ENSG00000015475	5.753335	0	9.598973	5.814635	0	0
ENST00000342111	ENSG00000015475	0	0	0	0	0	0
ENST00000550946	ENSG00000015475	0	0	0	0	6.707786	13.023795
ENST00000551952	ENSG00000015475	0	194.534576	165.994134	341.251623	246.122225	290.223947
ENST00000611040	ENSG00000015475	0	0	0	0	0	0
ENST00000473439	ENSG00000015475	0	0	0	0	0	29.231175
ENST00000552886	ENSG00000015475	0	0	0	0	0	0
ENST00000617586	ENSG00000015475	0	0	0	0	0	0
ENST00000583102	ENSG00000264757	0	0	0	0	0	0
ENST00000600723	ENSG00000269220	0	0	0	2.177221	6.481447	10.707173
ENST00000441493	ENSG00000243156	223.434389	251.081356	322.683845	64.927554	64.117921	81.065526
ENST00000476405	ENSG00000093100	67.772171	93.978221	57.031691	8.671593	5.432069	4.500026
ENST00000252134	ENSG00000243156	71.192791	90.416395	124.95613	0	20.184609	23.78551
ENST00000580469	ENSG00000243156	34.374423	35.143633	39.45614	9.296316	15.266378	15.454695
ENST00000577821	ENSG00000243156	0	0	15.071513	0	0	0
ENST00000579997	ENSG00000243156	0	0	0	0	0	0
ENST00000584751	ENSG00000243156	107.438076	58.25585	131.316962	0	24.31832	19.99148
ENST00000498573	ENSG00000243156	0	0	0	25.899751	0	20.023828
ENST00000578984	ENSG00000243156	0	0	0	0	0	40.920916
ENST00000400561	ENSG00000243156	0	0	124.076833	0	0	0
ENST00000495076	ENSG00000243156	67.882461	20.133112	46.082754	9.273404	4.427806	13.152744
ENST00000578905	ENSG00000243156	6.278946	34.321993	8.409214	2.383453	0	0
ENST00000414725	ENSG00000243156	0	0	0	0	0	0
ENST00000383094	ENSG00000243156	190.038361	248.270604	0	73.959291	45.289407	65.875522
ENST00000461307	ENSG00000243156	83.841301	87.179829	101.867608	23.297145	31.868718	20.73356
ENST00000585038	ENSG00000243156	0	0	0	0	0	0
ENST00000462645	ENSG00000243156	0	23.468732	0	0	0	0
ENST00000465886	ENSG00000243156	0	0	0	0	0	0
ENST00000498345	ENSG00000243156	0	0	0	0	0	14.458242
ENST00000424046	ENSG00000243156	0	0	0	0	0	0
ENST00000385046	ENSG00000207780	0	0	0	0	0	0
ENST00000429618	ENSG00000235445	0	161.456028	91.145355	23.970485	0	27.681489
ENST00000441167	ENSG00000234913	4.061947	30.057868	11.205	0	5.551943	4.586326
ENST00000411920	ENSG00000237446	0	0	0	0	0	0
