chrom	length	bases	mean	min	max
chr1	248956422	102400	0.00	0	638
chr1_region	248956422	102400	0.00	0	638
chr2	242193529	40820	0.00	0	450
chr2_region	242193529	40820	0.00	0	450
chr3	198295559	28353	0.00	0	484
chr3_region	198295559	28353	0.00	0	484
chr4	190214555	11863	0.00	0	134
chr4_region	190214555	11863	0.00	0	134
chr5	181538259	41465	0.00	0	642
chr5_region	181538259	41465	0.00	0	642
chr6	170805979	64141	0.00	0	366
chr6_region	170805979	64141	0.00	0	366
chr7	159345973	20562	0.00	0	410
chr7_region	159345973	20562	0.00	0	410
chr8	145138636	25966	0.00	0	162
chr8_region	145138636	25966	0.00	0	162
chr9	138394717	26105	0.00	0	262
chr9_region	138394717	26105	0.00	0	262
chr10	133797422	40994	0.00	0	1110
chr10_region	133797422	40994	0.00	0	1110
chr11	135086622	21297	0.00	0	124
chr11_region	135086622	21297	0.00	0	124
chr12	133275309	27201	0.00	0	316
chr12_region	133275309	27201	0.00	0	316
chr13	114364328	14615	0.00	0	150
chr13_region	114364328	14615	0.00	0	150
chr14	107043718	77694	0.00	0	152
chr14_region	107043718	77694	0.00	0	152
chr15	101991189	15459	0.00	0	642
chr15_region	101991189	15459	0.00	0	642
chr16	90338345	6426	0.00	0	198
chr16_region	90338345	6426	0.00	0	198
chr17	83257441	8268	0.00	0	116
chr17_region	83257441	8268	0.00	0	116
chr18	80373285	14652	0.00	0	310
chr18_region	80373285	14652	0.00	0	310
chr19	58617616	5232	0.00	0	78
chr19_region	58617616	5232	0.00	0	78
chr20	64444167	6985	0.00	0	176
chr20_region	64444167	6985	0.00	0	176
chr21	46709983	11529	0.00	0	324
chr21_region	46709983	11529	0.00	0	324
chr22	50818468	11729175	0.23	0	199
chr22_region	50818468	11729175	0.23	0	199
chrX	156040895	67364	0.00	0	550
chrX_region	156040895	67364	0.00	0	550
chrY	57227415	2015	0.00	0	32
chrY_region	57227415	2015	0.00	0	32
total	3088269832	12410581	0.00	0	1110
total_region	3088269832	12410581	0.00	0	1110
