ID	geneLength	allCountsMulti	filteredCountsMulti	dupRateMulti	dupsPerIdMulti	RPKMulti	PKMMulti	allCounts	filteredCounts	dupRate	dupsPerId	RPK	RPKM
ENSG00000277248	113	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000283047	749	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000280363	54	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000279973	120	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000226444	1241	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000276871	151	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000283023	774	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000276138	107	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000280341	6114	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000236235	371	1	1	0	0	2.69541778975741	14.1098449453618	1	1	0	0	2.69541778975741	14.1098449453618
ENSG00000279442	6179	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000184624	1908	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000236097	577	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000236831	297	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000130538	982	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000237299	568	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000235759	2508	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000233408	1294	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000215268	2260	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000213727	1177	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000230643	118	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000230471	1730	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000231565	1338	1	1	0	0	0.747384155455904	3.91237105734621	1	1	0	0	0.747384155455904	3.91237105734621
ENSG00000226474	177	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000224435	1649	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000234381	822	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000198062	2293	12	11	0.0833333333333333	1	5.23331879633668	27.3951285201704	10	9	0.1	1	4.36109899694723	22.8292737668087
ENSG00000236666	2566	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000212216	107	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000241838	1123	2	2	0	0	1.78094390026714	9.32280048927735	2	2	0	0	1.78094390026714	9.32280048927735
ENSG00000225255	855	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000235992	1097	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000206195	5545	178	176	0.0112359550561798	2	32.1009918845807	168.040746709072	176	174	0.0113636363636364	2	31.7403065825068	166.152648431442
ENSG00000271127	1388	19	18	0.0526315789473684	1	13.6887608069164	71.6572745099823	19	18	0.0526315789473684	1	13.6887608069164	71.6572745099823
ENSG00000232775	1572	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000272872	694	49	49	0	0	70.6051873198847	369.600679051488	49	49	0	0	70.6051873198847	369.600679051488
ENSG00000271672	622	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000223875	1493	2	2	0	0	1.33958472873409	7.01239447385028	0	0	NA	0	0	0
ENSG00000215270	1049	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000229286	121	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000233866	586	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000278188	106	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000225293	604	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000226160	88	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000229658	1612	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000227367	1288	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000280263	1338	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000235969	246	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000273362	661	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000233995	617	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000239435	3389	1	1	0	0	0.295072292711714	1.54463041449668	1	1	0	0	0.295072292711714	1.54463041449668
ENSG00000198445	2060	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000240122	397	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000100181	9653	96	95	0.0104166666666667	1	9.94509478918471	52.0601095591014	94	93	0.0106382978723404	1	9.73790531441003	50.9755239432868
ENSG00000283633	3071	15	15	0	0	4.88440247476392	25.568637942344	14	14	0	0	4.55877564311299	23.8640620795211
ENSG00000267338	546	3	3	0	0	5.49450549450549	28.762376234776	2	2	0	0	3.66300366300366	19.1749174898507
ENSG00000249288	253	1	1	0	0	3.95256916996047	20.6907212439891	1	1	0	0	3.95256916996047	20.6907212439891
ENSG00000249263	317	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000189295	1181	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000259271	1623	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000273244	875	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000241717	2907	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000235343	1241	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000172967	1690	8	7	0.125	1	4.73372781065089	24.7798933714993	8	7	0.125	1	4.73372781065089	24.7798933714993
ENSG00000229027	1381	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000234121	145	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000283535	555	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000237835	359	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000220248	3100	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000237689	500	1	1	0	0	2	10.4695049494585	1	1	0	0	2	10.4695049494585
ENSG00000228122	204	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000237358	351	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000225480	102	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000230481	354	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000253691	367	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000253460	360	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000254264	313	0	0	NA	0	0	0	0	0	NA	0	0	0
