chrom	length	bases	mean	min	max
chr1	248956422	153992	0.00	0	554
chr1_region	248956422	153992	0.00	0	554
chr2	242193529	68793	0.00	0	562
chr2_region	242193529	68793	0.00	0	562
chr3	198295559	46206	0.00	0	678
chr3_region	198295559	46206	0.00	0	678
chr4	190214555	20918	0.00	0	184
chr4_region	190214555	20918	0.00	0	184
chr5	181538259	77752	0.00	0	906
chr5_region	181538259	77752	0.00	0	906
chr6	170805979	232486	0.00	0	522
chr6_region	170805979	232486	0.00	0	522
chr7	159345973	31963	0.00	0	464
chr7_region	159345973	31963	0.00	0	464
chr8	145138636	71833	0.00	0	822
chr8_region	145138636	71833	0.00	0	822
chr9	138394717	41115	0.00	0	488
chr9_region	138394717	41115	0.00	0	488
chr10	133797422	77285	0.00	0	1096
chr10_region	133797422	77285	0.00	0	1096
chr11	135086622	50942	0.00	0	340
chr11_region	135086622	50942	0.00	0	340
chr12	133275309	29520	0.00	0	278
chr12_region	133275309	29520	0.00	0	278
chr13	114364328	41392	0.00	0	240
chr13_region	114364328	41392	0.00	0	240
chr14	107043718	436976	0.00	0	674
chr14_region	107043718	436976	0.00	0	674
chr15	101991189	21049	0.00	0	738
chr15_region	101991189	21049	0.00	0	738
chr16	90338345	25879	0.00	0	818
chr16_region	90338345	25879	0.00	0	818
chr17	83257441	30987	0.00	0	570
chr17_region	83257441	30987	0.00	0	570
chr18	80373285	33953	0.00	0	320
chr18_region	80373285	33953	0.00	0	320
chr19	58617616	7492	0.00	0	94
chr19_region	58617616	7492	0.00	0	94
chr20	64444167	10557	0.00	0	216
chr20_region	64444167	10557	0.00	0	216
chr21	46709983	12749	0.00	0	294
chr21_region	46709983	12749	0.00	0	294
chr22	50818468	19101552	0.38	0	1775
chr22_region	50818468	19101552	0.38	0	1775
chrX	156040895	233697	0.00	0	482
chrX_region	156040895	233697	0.00	0	482
chrY	57227415	2340	0.00	0	24
chrY_region	57227415	2340	0.00	0	24
chr16_KI270728v1_random	1872759	378	0.00	0	4
chr16_KI270728v1_random_region	1872759	378	0.00	0	4
chr22_KI270731v1_random	150754	1226	0.01	0	2
chr22_KI270731v1_random_region	150754	1226	0.01	0	2
chr22_KI270734v1_random	165050	13973	0.08	0	7
chr22_KI270734v1_random_region	165050	13973	0.08	0	7
chrUn_KI270755v1	36723	3883	0.11	0	204
chrUn_KI270755v1_region	36723	3883	0.11	0	204
chr22_KI270878v1_alt	186262	100	0.00	0	1
chr22_KI270878v1_alt_region	186262	100	0.00	0	1
chr22_KI270879v1_alt	304135	18083	0.06	0	12
chr22_KI270879v1_alt_region	304135	18083	0.06	0	12
chr22_KI270876v1_alt	263666	300	0.00	0	2
chr22_KI270876v1_alt_region	263666	300	0.00	0	2
chr22_KI270877v1_alt	101331	300	0.00	0	3
chr22_KI270877v1_alt_region	101331	300	0.00	0	3
chr22_GL383582v2_alt	162811	1100	0.01	0	4
chr22_GL383582v2_alt_region	162811	1100	0.01	0	4
chr6_GL000251v2_alt	4795265	200	0.00	0	2
chr6_GL000251v2_alt_region	4795265	200	0.00	0	2
chr22_KB663609v1_alt	74013	800	0.01	0	2
chr22_KB663609v1_alt_region	74013	800	0.01	0	2
chr6_GL000252v2_alt	4604811	300	0.00	0	3
chr6_GL000252v2_alt_region	4604811	300	0.00	0	3
chr22_KI270928v1_alt	176103	300	0.00	0	1
chr22_KI270928v1_alt_region	176103	300	0.00	0	1
chr6_GL000253v2_alt	4677643	200	0.00	0	2
chr6_GL000253v2_alt_region	4677643	200	0.00	0	2
chr6_GL000254v2_alt	4827813	16405	0.00	0	111
chr6_GL000254v2_alt_region	4827813	16405	0.00	0	111
chr6_GL000255v2_alt	4606388	11306	0.00	0	92
chr6_GL000255v2_alt_region	4606388	11306	0.00	0	92
chr6_GL000256v2_alt	4929269	11101	0.00	0	95
chr6_GL000256v2_alt_region	4929269	11101	0.00	0	95
total	3120204628	20941383	0.01	0	1775
total_region	3120204628	20941383	0.01	0	1775
