transcript_id	gene_id	gene_name
ENST00000615943	ENSG00000277248	U2
ENST00000635667	ENSG00000283047	FRG1FP
ENST00000623473	ENSG00000280363	CU104787.1
ENST00000624155	ENSG00000279973	BAGE5
ENST00000422332	ENSG00000226444	ACTR3BP6
ENST00000612732	ENSG00000276871	5_8S_rRNA
ENST00000634617	ENSG00000283023	FRG1GP
ENST00000613107	ENSG00000276138	U6
ENST00000623391	ENSG00000280341	LA16c-60D12.1
ENST00000448473	ENSG00000236235	LA16c-13E4.3
ENST00000623199	ENSG00000279442	LA16c-60D12.2
ENST00000425869	ENSG00000184624	ZNF72P
ENST00000441221	ENSG00000236097	BNIP3P2
ENST00000429435	ENSG00000236831	YME1L1P1
ENST00000252835	ENSG00000130538	OR11H1
ENST00000412729	ENSG00000237299	LA16c-60G3.6
ENST00000443989	ENSG00000235759	ARHGAP42P3
ENST00000444162	ENSG00000233408	LA16c-23H5.4
ENST00000417863	ENSG00000215268	LA16c-60G3.8
ENST00000456143	ENSG00000213727	LA16c-60G3.7
ENST00000447704	ENSG00000230643	LA16c-60G3.5
ENST00000428118	ENSG00000230471	LA16c-2F2.8
ENST00000438441	ENSG00000231565	NEK2P2
ENST00000440999	ENSG00000226474	LA16c-2F2.5
ENST00000426025	ENSG00000224435	NF1P6
ENST00000435410	ENSG00000234381	MED15P7
ENST00000343518	ENSG00000198062	POTEH
ENST00000621704	ENSG00000198062	POTEH
ENST00000452800	ENSG00000198062	POTEH
ENST00000422014	ENSG00000236666	POTEH-AS1
ENST00000390914	ENSG00000212216	RNU6-816P
ENST00000417657	ENSG00000241838	LA16c-3G11.7
ENST00000453395	ENSG00000225255	LINC01297
ENST00000438574	ENSG00000225255	LINC01297
ENST00000423297	ENSG00000235992	GRAMD4P2
ENST00000413768	ENSG00000206195	DUXAP8
ENST00000437781	ENSG00000206195	DUXAP8
ENST00000383038	ENSG00000206195	DUXAP8
ENST00000447898	ENSG00000206195	DUXAP8
ENST00000458623	ENSG00000206195	DUXAP8
ENST00000607933	ENSG00000206195	DUXAP8
ENST00000603308	ENSG00000271127	LL22NC03-N64E9.1
ENST00000440946	ENSG00000232775	BMS1P22
ENST00000609679	ENSG00000232775	BMS1P22
ENST00000414726	ENSG00000232775	BMS1P22
ENST00000608286	ENSG00000272872	LL22NC03-N14H11.1
ENST00000456786	ENSG00000271672	DUXAP8
ENST00000420638	ENSG00000223875	NBEAP3
ENST00000398242	ENSG00000215270	LA16c-60H5.7
ENST00000448070	ENSG00000229286	LA16c-4G1.4
ENST00000424770	ENSG00000233866	LA16c-4G1.3
ENST00000612550	ENSG00000278188	U6
ENST00000399687	ENSG00000225293	ABCD1P4
ENST00000427602	ENSG00000226160	LA16c-17H1.3
ENST00000426076	ENSG00000229658	PABPC1P9
ENST00000421957	ENSG00000227367	SLC9B1P4
ENST00000623630	ENSG00000280263	ACTR3BP2
ENST00000450340	ENSG00000235969	CHEK2P4
ENST00000609641	ENSG00000273362	KB-67B5.17
ENST00000454360	ENSG00000233995	KB-67B5.12
ENST00000493696	ENSG00000239435	KCNMB3P1
ENST00000472972	ENSG00000239435	KCNMB3P1
ENST00000359963	ENSG00000198445	CCT8L2
ENST00000430910	ENSG00000240122	FABP5P11
ENST00000558085	ENSG00000100181	TPTEP1
ENST00000400593	ENSG00000100181	TPTEP1
ENST00000426585	ENSG00000100181	TPTEP1
ENST00000383140	ENSG00000100181	TPTEP1
ENST00000585784	ENSG00000100181	TPTEP1
ENST00000636884	ENSG00000100181	TPTEP1
ENST00000588424	ENSG00000100181	TPTEP1
ENST00000415121	ENSG00000100181	TPTEP1
ENST00000592918	ENSG00000283633	AC005301.9
ENST00000592107	ENSG00000283633	AC005301.9
ENST00000591299	ENSG00000283633	AC005301.9
ENST00000588548	ENSG00000283633	AC005301.9
ENST00000438850	ENSG00000267338	KB-7G2.9
