Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSG00000224435	NF1P6	22	-	15622601	15632051	0.000000	0.000000	0.000000
ENSG00000198062	POTEH	22	+	15690026	15721631	0.593109	18.800507	24.492891
ENSG00000236666	POTEH-AS1	22	-	15699361	15703403	0.000000	0.000000	0.000000
ENSG00000212216	RNU6-816P	22	+	15701459	15701565	0.000000	0.000000	0.000000
ENSG00000241838	LA16c-3G11.7	22	+	15721486	15722608	0.317898	8.489334	11.059719
ENSG00000225255	LINC01297	22	+	15746630	15778297	0.000000	0.000000	0.000000
ENSG00000235992	GRAMD4P2	22	-	15749156	15750825	0.000000	0.000000	0.000000
ENSG00000206195	DUXAP8	22	+	15784959	15829984	7.094037	458.844208	597.772217
ENSG00000271127	LL22NC03-N64E9.1	22	+	15796959	15798346	1.866715	49.849850	64.943298
ENSG00000232775	BMS1P22	22	-	15805263	15820884	0.000000	0.000000	0.000000
ENSG00000272872	LL22NC03-N14H11.1	22	+	15823197	15823890	20.727665	553.523682	721.118530
ENSG00000271672	DUXAP8	22	+	15826566	15827187	0.906051	24.195715	31.521650
ENSG00000223875	NBEAP3	22	+	15852990	15893942	0.385131	10.284763	13.398766
ENSG00000215270	LA16c-60H5.7	22	-	15854195	15855243	0.000000	0.000000	0.000000
ENSG00000220248	ZNF402P	22	-	16857619	16860718	0.063548	1.697023	2.210845
ENSG00000172967	XKR3	22	-	16783412	16821699	0.000000	0.000000	0.000000
ENSG00000237689	AC007064.24	22	+	16869478	16871126	0.692000	18.479572	24.074783
ENSG00000273203	AC006946.16	22	+	17067821	17070675	0.187040	4.994825	6.507150
ENSG00000237438	CECR7	22	+	17036570	17060825	0.947676	44.971561	58.587971
ENSG00000183307	CECR6	22	-	17116299	17121367	0.298284	8.150453	10.618232
ENSG00000177663	IL17RA	22	+	17084954	17115694	1.700033	47.661488	62.092346
ENSG00000235328	AC006946.12	22	-	17093612	17093939	0.000000	0.000000	0.000000
ENSG00000069998	CECR5	22	-	17137511	17165287	4.212337	297.438263	387.496063
ENSG00000185837	CECR5-AS1	22	+	17159384	17165445	0.467365	23.231171	30.265064
ENSG00000093072	CECR1	22	-	17178790	17221989	1.037586	39.879986	51.954777
ENSG00000236325	AC005300.5	22	+	17192936	17193308	0.000000	0.000000	0.000000
ENSG00000203416	FAM32BP	22	+	17213516	17214155	0.000000	0.000000	0.000000
ENSG00000227367	SLC9B1P4	22	-	16428947	16476870	0.000000	0.000000	0.000000
ENSG00000280263	ACTR3BP2	22	+	16486985	16488322	0.000000	0.000000	0.000000
ENSG00000235969	CHEK2P4	22	+	16503304	16509475	0.000000	0.000000	0.000000
ENSG00000273362	KB-67B5.17	22	+	16521059	16527237	0.000000	0.000000	0.000000
ENSG00000233995	KB-67B5.12	22	+	16572027	16574637	0.000000	0.000000	0.000000
ENSG00000239435	KCNMB3P1	22	-	16575363	16582707	0.000000	0.000000	0.000000
ENSG00000198445	CCT8L2	22	-	16590751	16592810	0.095631	2.553786	3.327017
ENSG00000240122	FABP5P11	22	-	16595089	16595485	0.000000	0.000000	0.000000
ENSG00000100181	TPTEP1	22	+	16601887	16698742	1.013123	121.464760	158.241638
ENSG00000283633	AC005301.9	22	+	16601911	16615111	1.140975	59.873470	78.001846
ENSG00000267338	KB-7G2.9	22	+	16616170	16617114	0.785714	20.982164	27.335108
ENSG00000249288	SLC25A15P5	22	-	16645695	16646581	0.000000	0.000000	0.000000
ENSG00000249263	PARP4P3	22	-	16653892	16659628	0.000000	0.000000	0.000000
ENSG00000189295	ANKRD62P1-PARP4P3	22	-	16654066	16675540	0.000000	0.000000	0.000000
ENSG00000259271	ANKRD62P1	22	-	16671090	16679493	0.000000	0.000000	0.000000
ENSG00000273244	KB-7G2.8	22	-	16676016	16694648	0.000000	0.000000	0.000000
ENSG00000241717	VWFP1	22	-	16690103	16704477	0.000000	0.000000	0.000000
ENSG00000182902	SLC25A18	22	+	17563439	17590994	0.000000	0.000000	0.000000
ENSG00000236754	AC004019.13	22	-	17580157	17589192	0.000000	0.000000	0.000000
ENSG00000099954	CECR2	22	+	17359949	17558149	0.162156	63.497845	82.723602
ENSG00000229492	AC004019.10	22	+	17418697	17419828	0.000000	0.000000	0.000000
ENSG00000232305	CLCP1	22	-	17424388	17424775	0.000000	0.000000	0.000000
ENSG00000228045	DNAJA1P6	22	-	17518676	17519029	0.000000	0.000000	0.000000
ENSG00000269220	LINC00528	22	+	17777322	17779481	0.073148	1.953387	2.544830
ENSG00000276160	GGTLC5P	22	+	18340145	18345899	0.000000	0.000000	0.000000
ENSG00000278558	TMEM191B	22	+	18527802	18530573	0.077326	3.870749	5.042728
ENSG00000184979	USP18	22	+	18149899	18177397	2.429936	64.890427	84.537834
ENSG00000187979	AC008079.9	22	-	18178038	18205915	0.000000	0.000000	0.000000
ENSG00000274044	AC011718.2	22	-	18361823	18391105	0.000000	0.000000	0.000000
ENSG00000276874	AC011718.3	22	+	18374106	18375689	0.000000	0.000000	0.000000
ENSG00000131100	ATP6V1E1	22	-	17592136	17628818	12.728984	837.225220	1090.718750
ENSG00000099968	BCL2L13	22	+	17628855	17730855	1.093269	305.264221	397.691559
ENSG00000015475	BID	22	-	17734138	17774770	3.875394	239.902863	312.540192
ENSG00000264757	MIR3198-1	22	-	17764180	17764259	0.000000	0.000000	0.000000
ENSG00000225335	XXbac-B476C20.9	22	-	18076527	18078884	0.077538	2.723868	3.548595
ENSG00000215193	PEX26	22	+	18077920	18131138	1.781888	96.835548	126.155243
ENSG00000236890	XXbac-B476C20.11	22	-	18081466	18081675	0.000000	0.000000	0.000000
ENSG00000235617	XXbac-B476C20.10	22	+	18101612	18101888	0.002773	0.074052	0.096473
ENSG00000225225	ARL2BPP10	22	-	18102457	18103649	0.000000	0.000000	0.000000
ENSG00000183785	TUBA8	22	+	18110331	18146554	0.031498	6.867164	8.946391
ENSG00000280007	AC008079.10	22	-	18110759	18131154	0.055591	1.484535	1.934019
ENSG00000222630	RN7SKP131	22	-	18605802	18606102	0.000000	0.000000	0.000000
ENSG00000275793	RIMBP3	22	-	18605815	18611919	0.196892	5.257919	6.849902
ENSG00000182824	AC008132.15	22	+	18733914	18757906	0.000000	0.000000	0.000000
ENSG00000243156	MICAL3	22	-	17787649	18024559	0.985202	161.692932	210.650040
ENSG00000093100	XXbac-B461K10.4	22	-	17787652	17811497	0.141615	3.781770	4.926807
ENSG00000207780	MIR648	22	-	17980868	17980961	0.000000	0.000000	0.000000
ENSG00000235445	XXbac-B476C20.14	22	-	17983205	17983619	0.692521	18.493484	24.092909
ENSG00000234913	XXbac-B476C20.13	22	-	18004270	18007308	0.058965	1.574636	2.051401
ENSG00000237446	RHEBP3	22	+	18019214	18020200	0.000000	0.000000	0.000000
ENSG00000161103	AC008132.13	22	+	18846811	18861049	0.007901	0.299225	0.389824
ENSG00000215544	BCRP7	22	-	18855621	18858640	0.000000	0.000000	0.000000
ENSG00000274602	PI4KAP1	22	-	18533646	18577968	3.694160	230.945084	300.870239
ENSG00000197421	GGT3P	22	-	18773665	18843399	0.000000	0.000000	0.000000
ENSG00000239989	AC008132.14	22	-	18794414	18794804	0.000000	0.000000	0.000000
ENSG00000234764	E2F6P1	22	+	18833694	18834438	0.797315	21.291965	27.738708
ENSG00000276095	AC008103.3	22	-	18873543	18894407	0.000000	0.000000	0.000000
ENSG00000279987	AC008103.4	22	-	18883502	18884682	0.000000	0.000000	0.000000
ENSG00000279560	AC007326.1	22	+	18945123	18946971	0.000000	0.000000	0.000000
ENSG00000241527	CA15P1	22	-	19031564	19034564	0.000000	0.000000	0.000000
ENSG00000183628	DGCR6	22	+	18906028	18914238	0.583811	79.456100	103.513672
ENSG00000100033	PRODH	22	-	18912777	18936553	0.843556	81.514565	106.195404
