chrom	length	bases	mean	min	max
chr1	248956422	144690	0.00	0	602
chr1_region	248956422	144690	0.00	0	602
chr2	242193529	68383	0.00	0	648
chr2_region	242193529	68383	0.00	0	648
chr3	198295559	47210	0.00	0	774
chr3_region	198295559	47210	0.00	0	774
chr4	190214555	21982	0.00	0	166
chr4_region	190214555	21982	0.00	0	166
chr5	181538259	85047	0.00	0	972
chr5_region	181538259	85047	0.00	0	972
chr6	170805979	188771	0.00	0	556
chr6_region	170805979	188771	0.00	0	556
chr7	159345973	34672	0.00	0	438
chr7_region	159345973	34672	0.00	0	438
chr8	145138636	68453	0.00	0	886
chr8_region	145138636	68453	0.00	0	886
chr9	138394717	42350	0.00	0	584
chr9_region	138394717	42350	0.00	0	584
chr10	133797422	68651	0.00	0	1198
chr10_region	133797422	68651	0.00	0	1198
chr11	135086622	49036	0.00	0	364
chr11_region	135086622	49036	0.00	0	364
chr12	133275309	29142	0.00	0	354
chr12_region	133275309	29142	0.00	0	354
chr13	114364328	36803	0.00	0	246
chr13_region	114364328	36803	0.00	0	246
chr14	107043718	333307	0.00	0	549
chr14_region	107043718	333307	0.00	0	549
chr15	101991189	20945	0.00	0	730
chr15_region	101991189	20945	0.00	0	730
chr16	90338345	28861	0.00	0	938
chr16_region	90338345	28861	0.00	0	938
chr17	83257441	29850	0.00	0	602
chr17_region	83257441	29850	0.00	0	602
chr18	80373285	30065	0.00	0	272
chr18_region	80373285	30065	0.00	0	272
chr19	58617616	8725	0.00	0	68
chr19_region	58617616	8725	0.00	0	68
chr20	64444167	10847	0.00	0	240
chr20_region	64444167	10847	0.00	0	240
chr21	46709983	15641	0.00	0	352
chr21_region	46709983	15641	0.00	0	352
chr22	50818468	15493346	0.30	0	1423
chr22_region	50818468	15493346	0.30	0	1423
chrX	156040895	197927	0.00	0	534
chrX_region	156040895	197927	0.00	0	534
chrY	57227415	2029	0.00	0	30
chrY_region	57227415	2029	0.00	0	30
total	3088269832	17056733	0.01	0	1423
total_region	3088269832	17056733	0.01	0	1423
