gene_id	gene_name	HBRRep1	HBRRep2	HBRRep3	UHRRep1	UHRRep2	UHRRep3
ENSG00000008735	MAPK8IP2	3521.50229839	3640.61944759923	3562.46226070037	3352.46008943581	3626.94956459124	3935.57043285045
ENSG00000015475	BID	2036.48040815849	1122.58197359387	1260.23146900757	931.080992268145	1038.67684448781	1044.99654075166
ENSG00000025708	TYMP	1503.09296118555	1498.90341344538	1453.69951115174	1503.72336628802	1473.47094530827	1450.35753467022
ENSG00000025770	NCAPH2	1610.07058612148	1564.93378185198	1575.40246152813	1518.98575868463	1608.01622716283	1360.55943483967
ENSG00000040608	RTN4R	1619.21069282644	1648.77894039323	1617.67952643429	1659.42803096863	1986.013	1607.52
ENSG00000054611	TBC1D22A	2322.28139974621	2371.50318514497	3230.19030296853	2325.21254005687	2710.8671717353	2371.70153182193
ENSG00000056487	PHF21B	1102.16119880661	3390.72925584237	3319.05	1292.28917789514	3320.013	1554.60386765397
ENSG00000063515	GSC2	860.0675	860.0675	860.0675	860.0675	860.0675	860.0675
ENSG00000069998	CECR5	1672.15121330201	1822.71662603109	1317.07092355309	1623.59383140311	1713.48092377076	1622.67685584611
ENSG00000070010	UFD1L	2768.18531912683	1790.86496357524	1834.98794739434	1604.86988257052	1624.65761874448	1625.66958650642
ENSG00000070371	CLTCL1	5076.22762050019	5037.94283087182	3149.03803046504	3957.75469719791	3849.20332420388	5073.08649648307
ENSG00000070413	DGCR2	4109.20083315301	4110.90191101512	3746.17765199254	3994.80324377912	3098.6517860258	4147.44255179993
ENSG00000073146	MOV10L1	2476.30791462404	2830.98723031598	765.058	1756.61643579473	1775.29631139749	1756.61643579473
ENSG00000073150	PANX2	2831.24023868974	2730.06688191089	2811.89702642242	2482.43585087485	2627.26585071939	2881.52
ENSG00000073169	SELO	1503.09628715109	1585.66132075015	1840.36499752821	1732.67482217751	1865.97212015553	1655.87018802489
ENSG00000075218	GTSE1	2939.124	970.928610010866	2940.05	2493.42702612786	2603.34320641934	2316.14287755536
ENSG00000075234	TTC38	1676.56644109063	2010.51152274014	2438.05	2251.45599185606	1840.39169415745	1636.84828248064
ENSG00000075240	GRAMD4	4163.80335516885	3264.50927392352	2517.34528032947	2931.5111565651	2102.70941446336	3414.93382058985
ENSG00000075275	CELSR1	5454.35856291784	1200.09385892193	5454.35856291784	10149.4996447599	7853.87258854803	9251.90235390548
ENSG00000077935	SMC1B	3461.61397220169	3461.61397220169	3461.61397220169	3453.324	3465.013	3466.52
ENSG00000077942	FBLN1	2220.36856077677	1855.96958988047	2236.89123598812	2140.96136891531	2148.85226935189	1864.76067875744
ENSG00000079974	RABL2B	1228.47691718963	1652.69442449535	1671.50609601599	1177.53999439117	1154.00119117228	1644.51229718261
ENSG00000093000	NUP50	3963.30971497354	3291.70117329707	4339.98989090985	3336.05974051021	4140.62042416797	3702.44879196479
ENSG00000093009	CDC45	1412.46330092536	1412.46330092536	1412.46330092536	1290.71295560954	1598.37319619651	1365.9149567464
ENSG00000093010	COMT	810.021939129523	893.756198935201	1002.15623865148	887.056180146034	808.335517222249	768.339569434494
ENSG00000093072	CECR1	3442.35640651756	3755.374	3223.48937606914	3149.38596233227	4334.013	3755.52
ENSG00000093100	XXbac-B461K10.4	4155.124	4158.374	4156.05	4145.324	4157.013	4158.52
ENSG00000099889	ARVCF	2698.87475172951	2411.33959241884	1884.73999006602	2678.95994699154	2258.85596282079	2419.19972027435
ENSG00000099899	TRMT2A	1593.27119020128	1281.89216721381	1708.59902531625	1552.56334501678	1462.56286029748	1250.10506897209
ENSG00000099901	RANBP1	758.670144994179	721.951223406191	820.649555911291	733.708667706729	754.820495927701	733.606316012445
ENSG00000099904	ZDHHC8	1962.02788414272	2845.13251516964	2293.33400331242	1485.82505798406	3034.5496776424	1397.33340931421
ENSG00000099910	KLHL22	2293.52064357546	1572.81086473418	2106.81879830599	1347.52020062391	1912.87566870842	1877.81222173233
ENSG00000099917	MED15	3350.99490204682	2539.9803351301	2179.51222091812	2162.26420139933	2111.93109796549	2515.39502438855
ENSG00000099937	SERPIND1	1625.124	1628.374	1982.86937075433	2254.324	2266.013	2267.52
ENSG00000099940	SNAP29	4114.124	3135.60528667777	2440.3718686785	2340.19426109451	1717.71037015955	2307.58755090828
ENSG00000099942	CRKL	5152.124	5155.374	5153.05	5142.324	5154.013	5078.98721201879
ENSG00000099949	LZTR1	1414.27470740784	3277.9720225028	1865.44913050234	2176.82660088687	1573.54222350506	2529.54833933437
ENSG00000099953	MMP11	3650.124	2365.87839179797	1899.05	2149.22051384873	2194.2743581673	2267.49410053912
ENSG00000099954	CECR2	5960.77745428785	6933.18976245958	5385.72599750379	7643.19666115687	9474.013	6020.00132565589
ENSG00000099956	SMARCB1	1307.20772730602	1239.91131527529	1377.47004276044	1484.7102164463	1462.32061419337	1423.73673926315
ENSG00000099957	P2RX6	3043.6037693416	2343.9928650047	1572.47885794021	1758.56009069272	2917.04471986963	2057.69120671795
ENSG00000099958	DERL3	2940.124	475.394	1115.22027298718	1153.07502448751	1149.68780148138	1359.09932014849
ENSG00000099960	SLC7A4	2134.124	2137.374	2135.05	2124.324	2133.67285923203	2137.52
ENSG00000099968	BCL2L13	2873.90748024167	3492.07155555619	2818.94983501066	2951.21069835411	2808.03422094779	2832.84314063062
ENSG00000099974	DDTL	1372.124	1375.374	1373.05	1362.324	1374.013	1375.52
ENSG00000099977	DDT	513.286066644947	527.328200168761	515.447173478309	496.571899279765	515.72577689838	518.380704844664
ENSG00000099984	GSTT2	904.737	904.737	904.737	904.737	904.737	904.737
ENSG00000099985	OSM	1684.52	1684.52	1684.52	1684.52	1684.52	1684.52
ENSG00000099991	CABIN1	4377.35555827879	3421.80037327302	3182.62829165428	5107.36418336867	5095.15294232052	4479.9541780515
ENSG00000099992	TBC1D10A	2045.33701652571	2135.1918701848	1896.5568333716	1860.5083642715	2105.39647400478	1951.83498651789
ENSG00000099994	SUSD2	3492.68465092163	3450.80638231439	3654.30638561304	3415.99142032928	3745.23107679049	3234.52
ENSG00000099995	SF3A1	1955.52292367126	1872.57131030821	1591.31586657201	2598.99680795479	2869.99603110403	2189.02031900585
ENSG00000099998	GGT5	1191.42502214688	1896.66430237745	2380.97083568369	2311.324	538.023810282626	2164.52
ENSG00000099999	RNF215	1559.29789450096	1639.75917534765	2191.18877090405	1332.16500736255	1179.00832121408	2181.24296573472
ENSG00000100003	SEC14L2	1461.14971732063	1656.15598574249	2355.47251798432	995.891222210758	3403.79597375289	1746.9968955105
ENSG00000100012	SEC14L3	1682.49757142857	1682.49757142857	1682.49757142857	1682.49757142857	1682.49757142857	1682.49757142857
ENSG00000100014	SPECC1L	4258.64067535597	4205.00510058875	3894.83153494762	4731.03484645403	5125.18697249856	5489.29805837639
ENSG00000100023	PPIL2	2967.24562999014	2869.58839963255	3371.71538249566	2051.23387843067	1750.2341210536	2252.35713508951
ENSG00000100024	UPB1	2085.70954120555	1758.374	2118.05	2107.324	2371.63576726952	2120.52
ENSG00000100027	YPEL1	3668.46525246153	3890.17542850795	3906.00628665754	4146.324	2879.67205347154	4159.52
ENSG00000100028	SNRPD3	1009.45393230263	1360.27876529308	841.093888071424	781.376246787787	830.859587536823	885.841923186693
ENSG00000100029	PES1	1850.84203521316	1518.34879278376	1813.07059038139	1806.00014556185	1595.10251532569	1551.23801047097
ENSG00000100030	MAPK1	3563.55852771417	3119.23450500061	2782.10805462486	2731.85618491848	2797.72552982325	2815.61122242631
ENSG00000100031	GGT1	856.640336931938	1739.01286633712	719.080259035348	1428.25279226908	1371.98462203647	1353.28888150717
ENSG00000100033	PRODH	1712.82721878031	2021.85377494836	2154.37798537535	1694.48238759905	2167.70503933816	2049.87345216051
ENSG00000100034	PPM1F	4927.47266453195	4795.99368645162	4110.66554889122	4774.83480322491	4905.02800777523	4146.51797543757
ENSG00000100036	SLC35E4	2432.6876632902	2437.95182486909	2427.15429549648	2485.6987104465	2328.03045065642	2474.54015214549
ENSG00000100038	TOP3B	2075.24745537333	3688.10581055748	2415.42818680819	2067.48466828471	1739.29039753426	1461.75025009767
ENSG00000100053	CRYBB3	561.0775	561.0775	561.0775	561.0775	561.0775	561.0775
ENSG00000100055	CYTH4	1241.51362009722	2828.15578670879	2497.38912032197	2613.53522669784	1173.19751569477	3036.52
ENSG00000100056	DGCR14	3649.59297913337	2368.00178528156	2964.44481926438	2088.38769722552	2158.87989691312	2161.10298245335
ENSG00000100058	CRYBB2P1	870.291048146186	980.213196353473	646.743590141713	1115.79760610226	1130.22550692355	953.83830313249
ENSG00000100060	MFNG	1915.124	1918.374	1862.05	1633.91186438203	1917.013	1538.1958756423
ENSG00000100065	CARD10	410.124	3764.374	3762.05	2609.01327284677	1992.71857065209	3008.63439170884
ENSG00000100068	LRP5L	2085.7329838705	1250.98466410871	1820.55193048977	2016.87079138796	1888.08212040796	1952.971625794
ENSG00000100075	SLC25A1	1341.124	1472.4078426492	1365.61241540376	1451.62451173068	1475.44399230112	1439.49325151776
ENSG00000100077	GRK3	5914.76948791756	5163.73585090607	5347.56013688624	5085.8105788267	7064.52350012188	4944.91193241845
ENSG00000100078	PLA2G3	2523.80173225303	2527.374	2523.80173225303	2514.324	2526.013	2527.52
ENSG00000100079	LGALS2	416.586598744457	416.586598744457	416.586598744457	408.327	420.035	421.524
ENSG00000100083	GGA1	2046.37277972343	2188.85636795765	2045.61385311085	1644.35570681317	1568.80390352203	1893.39801630607
ENSG00000100084	HIRA	3880.124	3339.30837460219	3881.05	3870.324	3493.20495910859	3883.52
ENSG00000100092	SH3BP1	1002.64808638232	2840.37287179062	2876.11277915911	2634.69468887428	2142.33098601122	1422.24116763468
ENSG00000100095	SEZ6L	4662.65889194646	4635.01826194704	5395.70794510634	6351.324	6136.013	3329.52430892792
ENSG00000100097	LGALS1	386.31596052046	391.610156498913	388.064	377.251122138927	388.906275686443	386.344696472945
ENSG00000100099	HPS4	3517.08707911952	3790.82515985077	3170.00965344113	3649.46799347878	3108.79152050656	2807.96460914598
ENSG00000100100	PIK3IP1	2339.64091526802	2215.40228681472	2318.35368244823	2303.57381562684	2402.78887292416	2315.88879055622
ENSG00000100101	RP1-37E16.12	4734.52	4734.52	4734.52	4734.52	4734.52	4734.52
ENSG00000100104	SRRD	3847.124	2308.46363528539	2422.68655158918	2446.91250666083	1326.69458523321	1469.52764025981
ENSG00000100105	PATZ1	2983.12528844787	2992.24151373401	2988.40485977502	2930.91256409451	2952.1422625046	2908.1025607449
ENSG00000100106	TRIOBP	3021.76811021929	3094.33479843366	2319.08064005512	2561.24942001657	2313.28304114111	2641.95562999174
ENSG00000100109	TFIP11	2523.74725453274	2166.82067916443	1682.39712202582	1599.13748999121	1582.53325184519	1517.5912014863
ENSG00000100116	GCAT	1075.92174828534	1402.73160901923	1333.46044326717	1290.92089869538	1350.13640377302	1116.46063881921
ENSG00000100121	GGTLC2	688.4751	688.4751	688.4751	688.4751	688.4751	688.4751
ENSG00000100122	CRYBB1	929.124	928.394362758051	930.05	919.324	931.013	932.52
ENSG00000100124	ANKRD54	2011.124	1775.25627021352	1682.40201238223	1791.53505135026	1786.96476015537	1569.87843173272
ENSG00000100129	EIF3L	947.97226589792	1272.09372351208	1268.23182180969	914.092189481174	781.940189527749	1008.95683048154
ENSG00000100138	SNU13	1352.58334444906	1402.18779439762	1332.11288227909	837.843949079889	923.308833421946	1091.27708609979
ENSG00000100139	MICALL1	3060.65243824844	4150.00251432597	4538.05	3850.5111979022	2877.76652038043	3656.97654799068
ENSG00000100142	POLR2F	780.132960188972	629.627465643201	824.904768509305	509.299545232866	446.812219162103	474.110096640704
ENSG00000100146	SOX10	2706.124	2658.8757028588	2707.05	2592.30422829821	2598.02450831868	2646.66231256679
ENSG00000100147	CCDC134	1097.124	1100.374	1098.05	1087.324	1099.013	1100.52
ENSG00000100150	DEPDC5	2055.7321444979	2682.16371257881	5067.81393451248	2170.59333496098	929.416639578698	1437.98403670998
